,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
SI:DKEY-153M14.1,0.0,0.0,0.1280688892156497,0.0,0.16908179224350714,0.3710516161091008,0.6175593873403139,0.0,0.7412232068047164,0.18172766994472997,0.22551947819331303,0.04081295399016865,0.43744444479896893,0.2480140204650457,0.12934683949018513,0.0,0.0,0.0,0.43948260210400447,0.0
FXYD6,0.2836839797985898,0.12856544117021418,0.2513997139497854,0.19482332682726733,0.32131067210728687,0.5620977544891573,0.3452581635698679,0.20827009522011153,0.2873164761710727,0.1932312787330145,0.1458181234266395,0.26814953667461994,0.4830500526935402,0.06933486532748641,0.16779326359494598,0.063361662563448,0.13615459353931356,0.13902562328513432,0.0,0.0
ZGC:158463,0.0,0.0,0.11569440583891115,0.0,0.22476265565398584,0.322012769755703,0.5554931421541244,0.0,0.9240771991552686,0.13984405880601886,0.24780305189525692,0.07187638313132882,0.418004511463753,0.23477119545860714,0.1480278210624111,0.0,0.0,0.0,0.38466221667317496,0.0
SI:DKEYP-3B12.10,0.0,0.0,0.13751818842330688,0.0,0.09696489951199158,0.30984774027117157,0.5029653556434888,0.0,0.9883407491195371,0.005338774309824457,0.06221272561499165,0.12677659731073643,0.2497731223908748,0.31201066543445344,0.12008130105758724,0.004015658868708449,0.0,0.0,0.45750987768719426,0.0
C1QB,0.2809705699643905,0.3872816388735081,0.2666730098008993,0.1954812904941755,0.09738728300000872,0.448734698591479,0.5274054635721065,0.17609654583540005,0.26374248989479115,0.21414679357940627,0.20983699540480666,0.10975545356405386,0.5812308032372345,0.0,0.018488302294771646,0.10273475740645248,0.11942785372935132,0.150623164668419,0.03297485031046354,0.0
SI:DKEY-108K21.12,0.0,0.0,0.0,0.0,0.0,0.301881677307598,0.4753957212509484,0.0,0.6865341794423131,0.035330026706445535,0.49231325312732865,0.12229587343815937,0.6773787251081301,0.16795372613560589,0.026780193704156074,0.08554776806319041,0.0,0.0,0.0,0.0
SI:DKEY-16M19.4,0.18734756541546282,0.0,0.0,0.06721002205518128,0.3185366676998041,0.008177878081456475,0.5723900578058765,0.0,0.7383170034641747,0.25103203845053823,0.059335416336699726,0.0,0.8203728093097612,0.0,0.0,0.0,0.0,0.0,0.14072212454087424,0.0
ARL14,0.5141484831905864,0.25024407193488496,0.15229404298938753,0.2874473863283749,0.2437446368876141,0.15164339183321987,0.4388845370905644,0.42451281652673034,0.21752049319049183,0.2593326120601834,0.07674291238094497,0.07581676184702975,0.37590862846900625,0.0,0.17427296030294073,0.32773218856612707,0.09222941348173486,0.13066187975276874,0.0,0.1595018371720304
OTUD4,0.0,0.0,0.23229141463164044,0.0,0.2880858206002551,0.4104694480612165,0.6825970697004068,0.0,0.7568487053659373,0.08493962506862514,0.2806764807593649,0.0530930673342062,0.6486599489559262,0.3315662941984389,0.0,0.0,0.0,0.0,0.5115635606271518,0.0
RAB34B,0.0,0.0,0.3201452703922328,0.34233319602374246,0.21287211463462383,0.272826130387174,0.0005052918502261385,0.0,0.5904343438924895,0.14763610108981082,0.3381302009161505,0.023926462846138058,0.8568690409277487,0.1125771639918465,0.0,0.0,0.0,0.0,0.030357670618466375,0.0
