,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
18,FAM78BB,0.8862244873360071,KLHL22,1.3333344009655956,MGLL,1.2309063311613824,HES6,1.0229390905329638,CHD6,0.7887918203161817,SI:CH211-178N15.1,0.9171146953178515,DUT,0.9033156780441204,IER2,0.7082801643327388,POLR3GLA,0.6798320276114374,E2F7,0.6775270643855857
19,ADGRE10,0.8841299566856406,NRXN1B,1.3031943038524323,EVPLA,1.216377486665536,PRICKLE1B,1.019389340347446,SI:DKEY-261J4.3,0.7792135337100753,JAKMIP2,0.9143801579783942,ZGC:158463,0.9028632450638899,TDGF1,0.7063710556898315,SI:DKEY-16M19.4,0.6796076937930439,SI:DKEY-204L11.1,0.6722870764502294
20,ZNF986,0.8806370116301786,CPE,1.2714533865197535,SI:DKEYP-67A8.4,1.2084280837821295,HER1,1.0045500421837776,RGS14A,0.775004672503328,CAMSAP2A,0.9073712281086791,U1,0.8837851204979563,SI:CH211-113A14.15,0.678618430742878,MCM6,0.6790587493242647,RASL11B,0.6696687346673306
21,SKP2,0.8788580084855633,CYR61L2,1.2532101388984584,KLF17,1.2081706569807886,VED,0.9920290471562692,KLF2B,0.77393730185577,LAMC1,0.8867413499302472,CLIP4,0.8788120359188697,ZGC:163077,0.6755768277312351,ZGC:163040,0.6720955155289197,FOXI1,0.6692440929533201
22,PRMT1,0.8751391862292685,SI:CH211-241E1.5,1.2337241485983135,CLDNB,1.1975851749208788,SP5L,0.97087459465601,ZGC:56231,0.7709226524142726,ZNF644B,0.8792104469187003,CDKN1BB,0.8766759814926205,ZEB1A,0.6654608306432189,SI:ZFOS-44A5.1,0.6690117244670181,SI:CH211-239D6.2,0.6544686012222505
23,ZGC:91910,0.8748196822844294,SETD2,1.2088059442077947,FUT9B,1.1765529568437776,MSX3,0.9685095577659393,ZGC:158852,0.7641069814862212,NCOA7,0.8787322373067858,SI:DKEY-48G21.5,0.8746070421610688,SI:CH1073-159D7.7,0.6620248405876941,PFKFB4B,0.667510052143923,BCL3,0.6380245757266112
24,SUPT4H1,0.8734513579045169,SI:CH73-46J18.5,1.203742552964854,FTR82,1.1750424975644287,LEF1,0.9336330042322978,DRL,0.750852244508217,CABZ01009880.1,0.8728713541609076,SI:CH211-7C8.2,0.8740661322266743,GSC,0.6571072290649328,RPS15A,0.6667720998200946,ISG15,0.6306477934241354
25,DDX17,0.8678068692344202,ZNF1057,1.1988612411384736,GRHL3,1.168507749607789,LAMB1A,0.9167476286704233,PCM1,0.7479699338715723,GRNAS,0.871668639303669,TOP1L,0.866340627210815,RASGEF1BA,0.6377678596845053,RPS2,0.6656240934630863,RPS27.2,0.628971357194949
26,FKBP7,0.8660409534178353,ZNF1068,1.198236129614272,PLEKHF1,1.1556402530657834,ARL4AB,0.9150667775608258,DDX4,0.7411752832180811,CSF1RB,0.8644293447695734,SI:CH211-113A14.16,0.8656549361026769,DDIT4,0.6147905777783227,PKDCCB,0.6593429424812693,RGS20,0.6248430187409477
27,BIRC5B,0.8632175259976317,MLXIP,1.1977825046951018,ZGC:153911,1.1492760903820567,SZL,0.9130514266001521,TAOK3A,0.7283595628284552,PARP6A,0.862559515891158,SI:CH1073-190K2.1,0.865171832348401,SI:DKEYP-114G9.1,0.6126513609445147,SI:CH211-113A14.25,0.6575499247720155,LNX1,0.6183475075202647
28,THY1,0.8582217714358521,CHD7,1.153462712731826,PERP,1.1389214809867068,WNT8A,0.8949882102877764,BDP1,0.7275246217589737,PHYHIP,0.8566668194504476,C1QB,0.8627890971611001,ZGC:165555,0.611319212502458,LFNG,0.6575097337468577,SNX11,0.6141036246253442
29,ASB11,0.8557393935707119,DDC,1.152263948024895,CYT1L,1.128094890205555,VENT,0.8948804632143821,NCOR2,0.7252683843962364,BAALC,0.8527471884703817,EPCAM,0.8542783888197704,SI:CH211-113A14.18,0.6095461250085775,ZNF319,0.6574921059718377,GADD45AA,0.5766312113519688
