,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SI:DKEY-153M14.1,0.0109480366225156,0.0,0.14077774637439266,0.0,0.0,0.590046035406345,0.6841183894870323,0.0,0.5448707358445894,0.0,0.47913935442088224,0.10017002206262071,0.09914937031587027,0.34747314913716665,0.31319283625434785
FXYD6,0.0,0.27855468243319487,0.2447349667357988,0.1216740928272739,0.051157054043383846,0.6892363717033317,0.3935232507482529,0.0707882660716104,0.42566095701003176,0.10242936047275522,0.24369795484008167,0.2862920634021192,0.1646503389642598,0.07464219054965045,0.5485364497933319
ZGC:158463,0.002936423976646278,0.0,0.11902097701386868,0.017762601365557136,0.0,0.5782314975694259,0.5877959166557879,0.0,0.6541001810908624,0.0,0.5765646021369647,0.13186822884770433,0.10352793416909496,0.31640155378009016,0.3403315780163161
SI:DKEYP-3B12.10,0.04489581228213068,0.0,0.1373073216269948,0.0,0.025589440013297604,0.5202396103314502,0.5389971895041823,0.0,0.6873510316477333,0.0,0.4719552929052086,0.1833431838600798,0.02044408228941144,0.3974650454567295,0.11117442846261201
C1QB,0.25360145178353405,0.38200972842885633,0.26815051726057526,0.25191072246628304,0.07706797278448947,0.5317052040139049,0.62594494061842,0.18808964885180335,0.3336378902686572,0.0969439300414287,0.17133944171856602,0.1431396612748484,0.09113229873757736,0.03871321136621942,0.3528395395644426
SI:DKEY-108K21.12,0.0,0.0,0.0,0.05611358193820304,0.021466886853714912,0.5486551476961469,0.6257971416540952,0.0,0.47907378565079556,0.0,0.6426919117290405,0.2068463192857212,0.10147532141577094,0.22449686511790826,0.1766588849241929
SI:DKEY-16M19.4,0.00830662180873487,0.0,0.0,0.1375151694475217,0.0,0.37047525735491943,0.6157866522653208,0.0,0.7990175585553261,0.0,0.18858363520045163,0.05574404301173887,0.011212592968159935,0.0,0.765645108427207
ARL14,0.11395960725202363,0.4509988211132115,0.1349699953583109,0.184444267486573,0.2767143496946157,0.2898283598937595,0.4133951270456795,0.24388539773558104,0.5241627664518035,0.12473459696238694,0.12012717550349539,0.09307011075475025,0.17169161267265853,0.026301922152346616,0.5442227142190599
OTUD4,0.03871214692097298,0.0,0.2223843885038021,0.06303000930075367,0.0,0.6647452616839572,0.8092764439914035,0.0,0.5195713419778306,0.0,0.5774271221875805,0.11754665164620008,0.0,0.3777399492853174,0.40778438289847335
RAB34B,0.0,0.0,0.3023027270645808,0.38426181665494824,0.0,0.5723650436497988,0.19615361862764383,0.0,0.42152835880139033,0.0,0.4609685074280953,0.11229357741227165,0.03859336514626437,0.12777044394018677,0.5636606337732133
SI:CH211-267E7.11,0.0,0.0,0.28178403196475355,0.5211984530831733,0.0,0.5527901250392694,0.19252660842817013,0.0,0.5445889877943979,0.0,0.41638307248307327,0.22747954977335352,0.07224970917137287,0.04821040937760299,0.6060706438499859
SI:CH211-130H14.6,0.0,0.0,0.017853707429522067,0.03300497284925057,0.0,0.44728716556500214,0.34729845659341374,0.0,0.6781995672157639,0.0,0.4072538783110648,0.11923878748259424,0.18185368735213694,0.24014501724489734,0.6059404141930297
SI:CH211-195B11.4,0.03456228834081289,0.0,0.17680048272396195,0.036054656699471964,0.0,0.4870828792724261,0.2614477843690514,0.016858074008945696,0.743573051152367,0.0,0.3213699401309684,0.14520294730669978,0.0,0.2755042275929797,0.761501741158922
SI:DKEY-261M9.17,0.0,0.0,0.015150434347150141,0.0,0.0,0.05700151749211053,0.7628128395923928,0.0,0.13661942266925584,0.0,1.6651348679261808,0.08196047470429711,0.0036138783073568787,0.14004137449836068,0.2950300216104039
CR450785.2,0.04306510151784831,0.0,0.01849759885872472,0.0,0.0,0.37715369130963067,0.2603663190349737,0.0,0.32594213205394623,0.0,0.5410833250786308,0.06594866883888353,0.2223042084861088,0.0637426433025955,0.8653357253979628
CFD,0.2580506584180441,0.677454994718872,0.0,0.16844677729280075,0.25118205463345333,0.27006512854204995,0.35633183304346255,0.10337771768936377,0.4281688199766194,0.08211149519669748,0.1657595608182415,0.020724181208275697,0.10266466931297683,0.055505546968215726,0.5397274466807482
BX640584.2,0.0,0.0,0.0,0.0,0.0,0.6272921712623188,0.0038222693315442674,0.0,0.45062873169690454,0.0,0.2696247947589314,0.18300567413500404,0.2652777969383503,0.11981372180357876,0.8182384889361319
SI:CH1073-418F12.2,0.0,0.0,0.0,0.040476322426275926,0.0,0.5164326711349975,0.1337089782872767,0.0,0.4365585694657457,0.0,0.2465674002647404,0.23382976251840779,0.1851918808580411,0.39340623742862524,0.6461015927552233
SI:CH1073-159D7.7,0.32345542648068987,0.0,0.10361059322900734,0.12189494031584847,0.06848949355105545,0.37312854642755616,0.6636184564842835,0.0918646989354275,0.47816793739182595,0.13659268875947347,1.0660731480675338,0.06725456096602696,0.1579070397494794,0.27846772112412976,0.0953899566703646
DUT,0.004249624182787141,0.0,0.20052547225455233,0.04645294650135395,0.0779058641927495,0.6847245289679458,0.5754030177447081,0.0,0.49009711122932126,0.0,0.3282562940888933,0.15194603691446737,0.011471502608057398,0.2908182810450051,0.49882495615731215
ZNF981,0.0,0.0,0.0,0.12104752423126396,0.07103006670903074,0.45240253045809076,0.14919001405274038,0.0,0.5536085864373785,0.0,0.5765044858194917,0.0,0.11614876509193398,0.0,0.575283303333283
SI:CH211-113A14.16,0.16280963798417653,0.0,0.0,0.1024719433336139,0.002214076597800873,0.39012197614913185,0.7521641182266291,0.03201984657126351,0.6798258087820191,0.012111815930290712,0.6889987930261894,0.08419219074641218,0.15040742260356577,0.11706665927821258,0.34115111667393205
SI:DKEY-6D5.4,0.0,0.0,0.2835045169844826,0.5065420055594024,0.0,0.5446701148562114,0.20585798928635463,0.0,0.5904835238332118,0.0,0.4003042328287779,0.2251211788201684,0.06132907021902552,0.02694995642394606,0.6620483573469074
SI:DKEY-23A13.15,0.015102905497339902,0.1408797145001607,0.0,0.11543986848625708,0.18689956037302077,0.6133925244014501,0.5852238649095411,0.04412036991740896,0.19161915236522375,0.0,1.1443125932700937,0.23064654025528086,0.09884667264660574,0.0,0.2890435797283312
ADGRE10,0.0,0.0,0.11448398481117136,0.02465749273170798,0.025172387303770947,0.4128309426813601,0.22601341865614902,0.053163637483263186,0.4437592533432662,0.0,0.3548081374492667,0.12736408567031252,0.6465815315964385,0.3546926760367223,0.693949675770591
CU655961.2,0.06183334649641586,0.0,0.026049849171562525,0.10788743692997343,0.11701632218982824,0.3939254982463054,0.3724312867933481,0.0,0.4803365396490394,0.0,0.21030100897301174,0.0,0.4949748506688285,0.0,0.41787113704008466
SI:CH211-190K17.31,0.0,0.0,0.09244627789462222,0.10471646650123191,0.0,0.5499383110487063,0.18170363889202615,0.031775908497993714,0.2678537270337643,0.0,0.3353186824057102,0.19582900242996767,0.2798038711803581,0.15119726530239508,0.9150710000045112
SI:DKEYP-3B12.8,0.0,0.0,0.006620086945439541,0.06580950731358047,0.0,0.4738577567471561,0.37560129943645687,0.0,0.3383639050236059,0.0,0.4926243621156342,0.06541998059677565,0.20144238269514847,0.0,0.20445048960857157
FAM78BB,0.0,0.0,0.0,0.11551163778291862,0.0,0.5058757958400012,0.3750259809063858,0.0,0.4618280991038412,0.0,0.1709936756171239,0.17480918034851461,0.29708480445509894,0.1470283119551179,0.8065091703179085
CABZ01111915.1,0.0,0.0,0.0,0.09756595783634255,0.0,0.1633270820078095,0.2169910180107735,0.0,0.6491683766533363,0.0,0.15618490537749055,0.12508133566296448,0.22769690926532504,0.233881647094099,0.7084445150776192
WDR21,0.018539725546906548,0.0,0.0064830322887762,0.0,0.1852944726188345,0.4652952960383031,0.0,0.0018311134723036826,0.4157876091731541,0.0,0.5697452641180486,0.15645929815372234,0.2826594074637079,0.10843896159915985,0.6549113443788636
SI:DKEY-95P16.2,0.0825460562778523,0.0,0.0,0.1987271673584082,0.0,0.3731884256147614,0.46621829217473604,0.09054423587226546,0.8165611268299718,0.0,0.21756401108636284,0.10830136754525346,0.06863040867127095,0.0,0.711942102939234
NCALDA,0.0,0.0,0.14048672514974989,0.05552573988830173,0.1654907767219623,0.6197878927204793,0.1246270856619898,0.04847793974693016,0.43255229394032585,0.0,0.37325872695436074,0.1422952318876126,0.28238132931288756,0.0,0.9554301570246289
