,0,1,2,3,4,5,6,7,8,9,10
SI:DKEY-153M14.1,0.33207860183263505,0.0,0.20507849386054616,0.0140507913046293,0.0,0.0,0.7465112042242626,0.0,0.34887373417656986,0.10761664441847059,0.7834766596722066
FXYD6,0.49765456788603274,0.19368798034419732,0.2463557059389894,0.21992717184352734,0.09873872287043542,0.1562997908302947,0.6524193415313169,0.1290610856138103,0.35875998280912114,0.2507838727258367,0.36341090815755667
ZGC:158463,0.351296427568693,0.0,0.16898047476070951,0.03975203070778735,0.0,0.0,0.6432951215778019,0.0,0.4036872797737653,0.13461882225166197,0.9025629473127118
SI:DKEYP-3B12.10,0.12624672392387964,0.0,0.20350816027952762,0.0,0.0,0.0,0.5841315732514786,0.0,0.4416958743327618,0.18736254715257109,0.8647390522168522
C1QB,0.33626527974889225,0.4067561964872416,0.276242356551462,0.2826838975830627,0.09263104187793743,0.12064474908548603,0.7792726976456951,0.15267578671021623,0.43301021853146127,0.15514419420722184,0.27480446831043737
SI:DKEY-108K21.12,0.1985266728173382,0.0,0.0,0.070882205685616,0.04710404465719282,0.0,0.723194236394929,0.0,0.2792584686577187,0.18656114102877988,0.844590771375444
SI:DKEY-16M19.4,0.6077465959328694,0.0,0.0,0.26468505503135686,0.0,0.0,0.5392243336281962,0.0,0.7456116732660845,0.08578425345104548,0.34487233752785823
ARL14,0.44334327790105976,0.36381939707656996,0.16829106905063998,0.3325293474403301,0.31193379420554207,0.11159601998986435,0.42096649459951646,0.409923566290204,0.5813440160011338,0.12424306043372912,0.08584437072666729
OTUD4,0.346401506746524,0.0,0.28843759961512394,0.0927194118116488,0.0,0.0,0.8997447559303656,0.0,0.3450661858514886,0.13207330110347654,0.8706863712136207
RAB34B,0.5329714433151316,0.0,0.28189154598064603,0.4291860512151031,0.0,0.0,0.4152860394858976,0.0,0.1552977331547312,0.08716604128456341,0.6969945744678875
SI:CH211-267E7.11,0.5658741581633377,0.0,0.2554899426729028,0.5801234947783305,0.0,0.0,0.366190838247871,0.0,0.25834632757346604,0.19636405444292265,0.6843905556955557
SI:CH211-130H14.6,0.6352838940138362,0.0,0.05659321531605772,0.11243430483329139,0.0,0.0,0.4240119753068674,0.0,0.49095613169159713,0.10364726675648127,0.5724291984803623
SI:CH211-195B11.4,0.7041210702122688,0.0,0.18071763875001165,0.12906740467284208,0.0,0.0,0.33229894464778464,0.0009912926848868202,0.5504383088199525,0.15867986325530978,0.6002532597423409
SI:DKEY-261M9.17,0.21133911888626639,0.0,0.07010928802241477,0.0,0.0,0.0,0.4721512109141176,0.060827661215260925,0.0,0.11270022382234898,1.388236398505234
CR450785.2,0.9024342604323581,0.0,0.022947724653073803,0.02852785934287005,0.0,0.0,0.26009528556513667,0.0,0.18203737628651417,0.08641810725042523,0.6492172937288846
CFD,0.4970553082863028,0.6389903302307228,0.0,0.27441342221282927,0.28357001862116843,0.08586098179068564,0.34871057607787825,0.1916650152194201,0.5186000557735765,0.05396199981363159,0.16848209410451456
BX640584.2,0.9049332126878958,0.0,0.0,0.0,0.006229216488378212,0.0,0.28260413093374726,0.0,0.218524153893281,0.15584315334837398,0.5366706035454706
SI:CH1073-418F12.2,0.734351196474623,0.0,0.011115375614012159,0.08816966807479232,0.0,0.0,0.32854969331039935,0.0,0.23180933142464902,0.21225297627912426,0.49278100864457874
SI:CH1073-159D7.7,0.20187103358341332,0.07968785793310605,0.18803660798055957,0.07068872175261018,0.10383032299649146,0.12943421755263082,0.6047880516125462,0.0354355945616899,0.26943036332633685,0.11252453793862943,1.244754218449322
DUT,0.49529385411981347,0.0,0.2212604740613411,0.09133877646818697,0.0,0.0,0.7415731862987902,0.0023284228068205827,0.32164842526289555,0.1406932136425967,0.6314499001436094
ZNF981,0.5700466628365098,0.0,0.0,0.19142779331301965,0.02475603256353533,0.0,0.2500978232254687,0.0,0.2921376433679713,0.0,0.7566833415468667
SI:CH211-113A14.16,0.32086392924615853,0.0,0.042942150778314904,0.14966228342701307,0.06192817776557541,0.0,0.6715706390111292,0.03646618878810058,0.5624564916877594,0.12420467288084296,0.8491313964087266
SI:DKEY-6D5.4,0.5921977280770755,0.0,0.25886150114463835,0.5794499461407217,0.0,0.0,0.37737350879667503,0.0,0.31047950036247096,0.19576915176484566,0.6604959885892946
SI:DKEY-23A13.15,0.25000842853204136,0.13170348438296117,0.0,0.13132225636849573,0.1893698425103333,0.0,0.7808856806082464,0.15705231227969071,0.0,0.19895293097440603,1.09968953547446
ADGRE10,0.869999498922652,0.0,0.20392034486609764,0.03899365402748156,0.21084789585186298,0.0,0.32336850882793433,0.035650180097605115,0.2453555074726827,0.09722355306305139,0.5248325622841506
CU655961.2,0.4694472499295797,0.0,0.056827977808373606,0.1320574028986527,0.2970205474313124,0.0,0.41959140688154106,0.0,0.41850362131362967,0.0,0.3734884990334272
SI:CH211-190K17.31,0.9888808978532125,0.0,0.09240495565902981,0.16579209469097858,0.0,0.0,0.3636128301866692,0.030847546181754056,0.11146971977672249,0.1662052420950353,0.4823502080693849
SI:DKEYP-3B12.8,0.2232103712010922,0.0,0.027019137914138697,0.06690165561522221,0.0,0.0,0.49278619653458433,0.0,0.1482490755144413,0.057243804350949785,0.7070287124094818
FAM78BB,0.834499344283074,0.0,0.04553745387537542,0.21032915612985464,0.008358008956369236,0.0,0.5399087350676778,0.0,0.34852449103962607,0.1516162403514713,0.28613478364478345
