,0,1,2,3,4,5,6,7,8,9,10,11,12
SI:DKEY-153M14.1,0.0,0.0,0.12444375030251084,0.0,0.0,0.0,0.5802309487295627,0.0,0.9038291677155258,0.0895947154887815,0.47865758949856646,0.47262585222285464,0.25964864612605876
FXYD6,0.0,0.2980719824601389,0.23496152421330282,0.10374567082694189,0.06453895171611906,0.11245855935881283,0.6853847283692684,0.09483498163013365,0.397818013290524,0.2933826153058856,0.27051358245285956,0.6944625509203401,0.12625052157457883
ZGC:158463,0.0,0.0,0.1404471144746732,0.007876495594100143,0.0,0.0,0.5279306175990202,0.0,0.8919961543774835,0.11824821407423759,0.5712053668907127,0.5622523160293221,0.15482167259800828
SI:DKEYP-3B12.10,0.01939178625257929,0.0,0.17005357695605106,0.0014027543610546673,0.014771916503176056,0.0,0.4618778406027939,0.0,0.9505850952843625,0.171200401260094,0.4630970962859356,0.33665547180923105,0.13285403530669712
C1QB,0.10820251427344348,0.5096186889078677,0.22702789764950754,0.1509097057966855,0.03903214179024786,0.07698124550051015,0.6171629435844472,0.03134007537352657,0.6342198077855559,0.1525980825001615,0.2558647690979245,0.5125393020302159,0.1695815231159477
SI:DKEY-108K21.12,0.0,0.0,0.0,0.04451270430971801,0.03780605427187259,0.0,0.5320530990799887,0.0,0.7944446560643725,0.2003518821143827,0.6536157915287742,0.36111748703579116,0.10280022796158539
SI:DKEY-16M19.4,0.006664435674860343,0.0,0.0,0.13212605554151088,0.0,0.0007428579215323755,0.3392475520798479,0.07963589686336695,0.7942989925238766,0.04727863072320537,0.16713018622315676,0.9721349877344466,0.0
ARL14,0.13810239767918972,0.45253547770593994,0.12967531472051713,0.19899667004758373,0.2804387797782075,0.1118511213555632,0.3101446176969539,0.31589333143442555,0.4506223167641005,0.08467455525020594,0.11372012542476342,0.6356403970410225,0.13389941367007746
OTUD4,0.0,0.0,0.2034246485296159,0.04650733200786917,0.0,0.0,0.6597627337368631,0.0,1.0014465022265886,0.12333379965048698,0.5811408599248854,0.5190348885434948,0.25218508323135186
RAB34B,0.0,0.0,0.32642846258776836,0.3793400577235546,0.0,0.0,0.48101173921471063,0.0,0.2920164404079541,0.10224891157619394,0.4793691242521959,0.7619941229350831,0.0
SI:CH211-267E7.11,0.0,0.0,0.3125987365617641,0.5172423082121267,0.0,0.0,0.44223930686364943,0.0,0.35779828067171016,0.21346367389558207,0.4296899761236618,0.8389290570124307,0.0
SI:CH211-130H14.6,0.0,0.0,0.04208404681932616,0.03526217001844714,0.0,0.0061528213030379135,0.383135327635181,0.1216926281257685,0.5306424980344624,0.10563243562579402,0.40570988823250725,0.8375034807978825,0.15673812582232982
SI:CH211-195B11.4,0.04540093886311539,0.0,0.15359864148298405,0.08067879433577259,0.0,0.0,0.3959449795096757,0.20101483462262168,0.491383967635297,0.14263902491592753,0.30002646111385994,0.8859239952355777,0.2387945800538142
