,0,1,2,3,4,5,6,7,8,9
SI:DKEY-153M14.1,0.44670498046333085,0.0,0.1578251916566888,0.06490934529346445,0.0,0.0,0.9765501846793218,0.23156719501579706,0.43702172264540623,0.09485954284604496
FXYD6,0.5960628611866754,0.24607883074582404,0.2195161896356105,0.1782484899751892,0.0759797966333615,0.1688559766887816,0.7188561008814134,0.1719030219600842,0.3031514259974765,0.22959487552285104
ZGC:158463,0.4639397377078996,0.0,0.12046879051001948,0.1157796301410352,0.0,0.0,0.9028631955311223,0.298972405236963,0.5447970225024509,0.12798765401352083
SI:DKEYP-3B12.10,0.2527981548201962,0.0,0.1429828788125925,0.08658919257646432,0.03768662751794712,0.0,0.8513578974158464,0.19787484792698606,0.5999237955741565,0.17069664881119087
C1QB,0.47498379100527816,0.4827455426269912,0.24501056756083223,0.22126695963488535,0.05240239337549721,0.10130735469143798,0.8627890585205489,0.10489168169422249,0.3006717292636874,0.13322766114428175
SI:DKEY-108K21.12,0.2725165516404046,0.0,0.0,0.12382026577947765,0.03602955557615553,0.0,0.9522038788391862,0.420398797137189,0.35256956923454547,0.18054208311871556
SI:DKEY-16M19.4,0.6952523541568767,0.0,0.0,0.26344545507574285,0.0,0.0,0.617191928243764,0.06474806004830058,0.6796077778900227,0.08422088828057084
ARL14,0.5528613830924556,0.49971956234835924,0.16182709216357347,0.24278089677590367,0.2530441579399815,0.02745249405055438,0.44971774446719576,0.19725976142247972,0.4971879748864326,0.11200259300886552
OTUD4,0.47108285035955116,0.0,0.2382142669469997,0.14373449889438994,0.0,0.0,1.1480985706599272,0.30625359420791753,0.41081062158780357,0.11876011758357301
RAB34B,0.6081399409982491,0.0,0.25085228104794427,0.4834896668388752,0.0,0.0,0.5965069216554633,0.29374350549096395,0.2532809100279562,0.08334246343137428
SI:CH211-267E7.11,0.6442491173906955,0.0,0.22302263650184215,0.6385671044774754,0.0,0.0,0.5543412825284163,0.2502963957722138,0.36707828418520905,0.19021516661052226
SI:CH211-130H14.6,0.6848438127181243,0.0,0.04187329397958116,0.13942156133725625,0.0,0.0,0.5425893814553662,0.29756183626012483,0.5298893785744261,0.11074140217477088
SI:CH211-195B11.4,0.7554475330501598,0.0,0.16028422245092547,0.17433185719436217,0.0,0.0,0.459966516793273,0.2667593506786801,0.632245036855866,0.16923247032399089
SI:DKEY-261M9.17,0.21940929091746042,0.0,0.09696983292649447,0.049368040042981176,0.0,0.0,0.828059842173948,1.1869369845691888,0.07448034166412386,0.1792708277104242
CR450785.2,0.9107725011075717,0.0,0.009245408050563148,0.05999826233571902,0.0,0.0,0.38333432639504567,0.42544410955898065,0.2680664352679206,0.11996254814450313
CFD,0.5790385814037563,0.7082369089476004,0.0,0.2262660413953787,0.24789002561526138,0.028059965463900414,0.38833379297034876,0.14400249715670474,0.44871762382549824,0.06077601590962942
BX640584.2,0.9520955572404729,0.0,0.0,0.0047374900619357755,0.00975600321000852,0.01635993277794596,0.3826946521217469,0.21919242194508784,0.2983963650585696,0.15735333731153886
SI:CH1073-418F12.2,0.7845868309392167,0.0,0.0,0.10361819848799633,0.0,0.0,0.4386353289484362,0.19468100882550132,0.28960426852529114,0.2161642397397052
SI:CH1073-159D7.7,0.20095406548142355,0.0,0.15562633620475494,0.2079011298497499,0.16907846402418572,0.38422615906020896,0.8338012521604508,0.6620248198101969,0.49620169426755656,0.13017785047797037
DUT,0.5764377556947253,0.0,0.1834866999974523,0.10922292457281338,0.0050824227627712945,0.0,0.9033156330409303,0.23564004920179324,0.36059140935096745,0.12749621218447132
ZNF981,0.5977835807734451,0.0,0.0,0.25635300559100616,0.016982489346387786,0.0,0.42921476466341774,0.4252456761902895,0.42919389542672376,0.0
SI:CH211-113A14.16,0.40519358776026215,0.0,0.00429834143114603,0.20774418040159606,0.06715817016143838,0.09201402218583431,0.8656548880096447,0.39704030694856207,0.6279343273133253,0.13115043080486977
SI:DKEY-6D5.4,0.671121696181524,0.0,0.22953375861927183,0.6339600569750087,0.0,0.0,0.552893649192378,0.24628060314953393,0.4012563904499378,0.1907059785390435
SI:DKEY-23A13.15,0.2552546580332097,0.0569765806805138,0.0,0.22045575013365168,0.24195312636513927,0.159494920878456,0.9756518859835821,0.8276439386672038,0.08933061308352311,0.21491559866739818
ADGRE10,0.8841299349725703,0.0,0.20291628325113215,0.048929685200032026,0.20052295429160671,0.0,0.417534519393667,0.3463392730935345,0.29762762971059203,0.10432341011401663
CU655961.2,0.5371220486960082,0.0,0.035733879469565334,0.14695650792666518,0.3123369518326068,0.0,0.5165945062455466,0.06480366733342993,0.4229843330448127,0.0
SI:CH211-190K17.31,1.0028321723220286,0.0,0.07867955442977176,0.15266903009574978,0.0,0.055987126394724564,0.42334543173083306,0.31398824433520583,0.13931557686640555,0.17687886985264545
SI:DKEYP-3B12.8,0.28899727032649036,0.0,0.0,0.12067513489732838,0.0,0.04951944108023966,0.6773207601609749,0.2683341040492031,0.2669935235431359,0.047428916120272585
FAM78BB,0.8862244577514531,0.0,0.04487043649082668,0.1718624057874446,0.0,0.0,0.5767961155879929,0.16895810571201111,0.2519924721208508,0.15162328587795637
CABZ01111915.1,0.7152539661795633,0.0,0.04056896906079705,0.1967198272118389,0.0,0.0,0.1901025442721767,0.17530341118276632,0.5305734623641213,0.16361922179231894
WDR21,0.7285764754388302,0.0,0.0,0.0679840005081789,0.169539087447181,0.07989219749006958,0.25434382547658835,0.509503723314687,0.3300168446888907,0.16550528396681513
