,0,1,2,3,4,5,6,7,8,9,10,11,12,13
SI:DKEY-153M14.1,0.0,0.0,0.12118230646788125,0.0,0.0,0.0,0.5867477205586162,0.0,0.9217548070164777,0.08150466819217732,0.46119716333510574,0.4452467614916222,0.06359063338941735,0.26497907772867857
FXYD6,0.0,0.2931906720201782,0.22978279672652557,0.12229003312854556,0.021297457241226576,0.09660934809581184,0.6829616225652536,0.12020969898902284,0.4035589607302692,0.2922251144274899,0.26410820220751624,0.6461755030208575,0.17812262023317657,0.13794849460064346
ZGC:158463,0.013992521925369285,0.0,0.13798428471624977,0.0,0.0,0.0,0.5316418434282336,0.0,0.9139730493082304,0.10682619498873316,0.5489883104058435,0.53946860243257,0.06368965764341118,0.1538515854723716
SI:DKEYP-3B12.10,0.06533757205080758,0.0,0.16368564686570597,0.0,0.006446755511512883,0.0,0.4593470968850982,0.0,0.9629199236066901,0.15351733261312586,0.4335321670082832,0.3371333247424484,0.0,0.12677203291938652
C1QB,0.10130944927255268,0.5204912768937748,0.22796663104356626,0.13921696731696442,0.02843528954461461,0.06751039391980453,0.6269877455498765,0.03520248223254284,0.6408380657764825,0.1445240460011295,0.2493945125497703,0.5060874606045651,0.06695075742004815,0.1800543004302084
SI:DKEY-108K21.12,0.0,0.0,0.0,0.04660832716786988,0.0,0.0,0.5412754656056042,0.0,0.8182846894279499,0.19739489440015887,0.6439224552063387,0.3267460359859635,0.07872040110416906,0.11444554317153025
SI:DKEY-16M19.4,0.022175261406159927,0.0,0.0,0.10567578074066761,0.0,0.025536143394097346,0.3405376981397448,0.05412566692895864,0.8164533220665566,0.03105089044259511,0.16203989912477157,0.9872527447778731,0.0,0.0
ARL14,0.12582075349169186,0.43947222301464267,0.13071331943329154,0.18399023226016287,0.2912445117280585,0.1205978199430118,0.30767541104036844,0.3132028125851914,0.4596732156319926,0.08699960903867744,0.10875889087203656,0.6195622568118653,0.17045517307035918,0.14210867468372665
OTUD4,0.02059773637716605,0.0,0.21187177543141847,0.020468382891470814,0.0,0.0,0.6713334926623856,0.0,0.997836290790643,0.1045462296903631,0.558838475637837,0.541772308120925,0.0,0.24059631427870234
RAB34B,0.0,0.0,0.34337883765293503,0.38407838621840357,0.0,0.0,0.49544656918570357,0.0,0.316788703138448,0.09796621846477323,0.4702726782723463,0.7529021688444832,0.0,0.016481996550480046
SI:CH211-267E7.11,0.0,0.0,0.3274631604841617,0.5239110462501412,0.0,0.0,0.4522287454247685,0.0,0.3882270079785435,0.20618651493140994,0.41727027638749464,0.8335720776190741,0.01378494819573444,0.0
SI:CH211-130H14.6,0.0,0.0,0.037593462597978855,0.042306573832601856,0.0,0.0,0.38555798803811236,0.12394315994012128,0.5450067822155064,0.10360359324599663,0.4043079766693328,0.7871689869741261,0.1471661467040622,0.1576869388747064
SI:CH211-195B11.4,0.07558739135444874,0.0,0.16692611336487861,0.049379943131984,0.0,0.0,0.3946142641509487,0.16298189466641586,0.5118534809073585,0.11770605085572153,0.3033162417090429,0.9189971543108053,0.0,0.22435524265149517
