,0,1,2,3,4,5,6,7,8,9,10,11,12,13
SI:DKEY-153M14.1,0.0,0.0,0.12118230121253927,0.0,0.0,0.0,0.5867475451734724,0.0,0.9217550040231642,0.08150465257935166,0.46119671482050656,0.4452468747207888,0.06359063486314502,0.26497916430423535
FXYD6,0.0,0.2931907361967725,0.22978280508307317,0.12228998712258794,0.021297421562782064,0.09660930933045592,0.6829614976306755,0.12020961666576115,0.40355911475452416,0.2922250704126448,0.2641081727503737,0.6461755878278794,0.17812260279402212,0.1379483748793184
ZGC:158463,0.01399246700473261,0.0,0.137984272156181,0.0,0.0,0.0,0.5316417531011679,0.0,0.913973282005882,0.10682618838121823,0.5489877766671423,0.5394687073000735,0.06368963772713172,0.15385173466381838
SI:DKEYP-3B12.10,0.06533747189538414,0.0,0.16368561055105216,0.0,0.00644680604223159,0.0,0.45934705669860476,0.0,0.9629201356954981,0.15351735159308097,0.43353154528386,0.33713339285616367,0.0,0.12677227996120904
C1QB,0.10130927101262294,0.520491421918132,0.22796664323363017,0.13921683003672294,0.028435267306869322,0.06751042168842075,0.6269875227352322,0.035202220449476115,0.6408382738618409,0.14452400492048187,0.24939444789906734,0.5060877469703541,0.0669507345146377,0.18005414831703798
SI:DKEY-108K21.12,0.0,0.0,0.0,0.04660835032430627,0.0,0.0,0.5412752673159553,0.0,0.818284945725407,0.197394857581079,0.6439220770649442,0.32674617526370026,0.07872038012962253,0.11444562506381471
SI:DKEY-16M19.4,0.02217523220752504,0.0,0.0,0.10567579555038367,0.0,0.025536145966893638,0.34053741096255596,0.05412577742057753,0.8164533989645301,0.0310508468673802,0.16203956092045008,0.9872528052551374,0.0,0.0
ARL14,0.12582064835599513,0.43947232809843273,0.13071331579065126,0.1839901589942644,0.29124447109732843,0.12059782119890736,0.30767523381389217,0.3132027125022304,0.45967329669682805,0.0869995722189046,0.1087588490967366,0.6195623933747073,0.17045516561834279,0.14210852979299327
OTUD4,0.020597745820583355,0.0,0.2118717535560131,0.02046842283861866,0.0,0.0,0.6713332754486806,0.0,0.9978365339504405,0.10454620037235463,0.5588379991413067,0.5417724292088254,0.0,0.24059640215855976
RAB34B,0.0,0.0,0.34337879925388964,0.38407840364638884,0.0,0.0,0.4954465468229922,0.0,0.3167889088253094,0.09796617780869171,0.4702724346684326,0.7529022255229607,0.0,0.016482029342014946
SI:CH211-267E7.11,0.0,0.0,0.3274631379715582,0.5239110667297151,0.0,0.0,0.45222873362046695,0.0,0.38822719191043953,0.20618647055908768,0.4172699847846921,0.8335721579451082,0.013784868135975221,0.0
SI:CH211-130H14.6,0.0,0.0,0.03759344219123734,0.04230662763086315,0.0,0.0,0.3855579068090797,0.12394336211011286,0.5450068717535974,0.10360357161991973,0.404307641077028,0.7871689824096388,0.14716610361414842,0.15768696948810015
SI:CH211-195B11.4,0.07558733798111385,0.0,0.16692608420106889,0.049380010712830734,0.0,0.0,0.39461422226810305,0.1629821412572119,0.5118535743478902,0.11770604183311666,0.30331581336117247,0.9189971255357597,0.0,0.22435527979995584
SI:DKEY-261M9.17,0.0,0.0,0.060524351437928135,0.0,0.0,0.0,0.0691440682135316,0.0,0.7321150690322715,0.08320297595750743,1.6041041996928147,0.31937436828833077,0.006890274063904576,0.0
CR450785.2,0.04178423441547908,0.0,0.00752969953294095,0.0,0.0,0.0,0.343099808104265,0.0,0.26667988773523066,0.05932840757246768,0.543373028453169,0.9336982665096282,0.16969214953733272,0.15885324070210677
CFD,0.31509896572975915,0.656260037816457,0.0,0.16975480416888244,0.23165650345014507,0.02941243999032506,0.27711375473973704,0.207526866840959,0.3817609493869294,0.02424363277152699,0.17420101944785926,0.574544133650081,0.11023130682313109,0.13346172908790005
BX640584.2,0.05957843917665033,0.0,0.0,0.0,0.0,0.0,0.5117900343727692,0.0228989512813546,0.11628528911091558,0.15271398708900014,0.3032710757928416,0.9606711142563842,0.20713008344773548,0.12561676817451672
SI:CH1073-418F12.2,0.0,0.0,0.0,0.027783674219508208,0.0,0.0,0.4371190684064136,0.0,0.28882899946977514,0.20685801444516713,0.28492564482727617,0.7900721899712523,0.13671025497189568,0.29069397361718136
SI:CH1073-159D7.7,0.25847288642337135,0.0,0.1147164204138645,0.07565225465578018,0.08349352252088044,0.26951600257148156,0.3680716098257075,0.08406748120639598,0.9159769532397326,0.05378655869527667,0.9910962271168878,0.22040838477034824,0.11634647956599022,0.17989936876856077
