,0,1,2,3,4,5,6,7,8
SI:DKEY-153M14.1,0.49662754380291224,0.0,0.15774866999222542,0.05861183250978877,0.0,0.0,1.047542201738491,0.33019631043028447,0.11982430280981131
FXYD6,0.6285962205565435,0.26452671643157505,0.2181940175855581,0.16728379757520712,0.05848433386549528,0.17198215247354423,0.7442431557208516,0.2328427374667208,0.22104177814466675
ZGC:158463,0.5165582286538697,0.0,0.11726322079908531,0.11302918686478007,0.0,0.026697252254673294,0.979151760490146,0.4620771385268007,0.14980295647434805
SI:DKEYP-3B12.10,0.2863119211755089,0.0,0.1539057416872308,0.08290134227290194,0.030030063460308492,0.008283801961970158,0.9289362251088694,0.476548920211674,0.22365100078024966
C1QB,0.5094963870750026,0.5046575426224162,0.24308850499491794,0.20546472376796424,0.03492301035164308,0.08364729262773785,0.8919276525715772,0.18198425156047937,0.1485545569658372
SI:DKEY-108K21.12,0.3282124467925902,0.0,0.0,0.12190223948983277,0.11982037332989125,0.0028669493169006274,1.0327434575034622,0.3342805731898608,0.15252827591445797
SI:DKEY-16M19.4,0.7071999978017744,0.0,0.0,0.2598388361635519,0.0,0.0,0.6655600475611547,0.5340115013082744,0.1348957065707943
ARL14,0.5759781766662389,0.5080231889931339,0.17682092253537873,0.24670180399071412,0.2320381236609618,0.009808720329644888,0.48484610045706705,0.4508250677436056,0.14683764281643416
OTUD4,0.5357622328450138,0.0,0.22320866367409117,0.13582445946802704,0.0,0.029193827482693464,1.2212829866832897,0.317267467388446,0.11610830781759092
RAB34B,0.6615958429151754,0.0,0.23512646159108724,0.4850746913267662,0.0,0.008630040002978968,0.6449995077772015,0.2538571548288651,0.05322076274198546
SI:CH211-267E7.11,0.6855322303656105,0.0,0.2171335636332758,0.6422361089328045,0.0,0.0,0.6094591457940403,0.33171130456546094,0.1700828992119964
SI:CH211-130H14.6,0.7365521048907091,0.0,0.043299563215474866,0.14213140035371133,0.0,0.002194454276884519,0.6071148582759512,0.5008790643701513,0.10743942815645106
SI:CH211-195B11.4,0.7844725322061792,0.0,0.16804186464204543,0.17880186149815797,0.0,0.0,0.5202291474402214,0.6008429556176289,0.18886490085915938
SI:DKEY-261M9.17,0.3666575870595992,0.0,0.0,0.06447122024816072,0.23003049764833694,0.15668345979517784,0.9425034994971917,0.37096410171560057,0.0
CR450785.2,0.9651292010008398,0.0,0.0,0.06430236097051997,0.025991248079221766,0.0260957777304492,0.4378203694349017,0.3210501095441771,0.09179674340882202
CFD,0.6135124090594808,0.7274917261089626,0.0,0.2275527159621228,0.21291047237982674,0.0,0.42382796235555514,0.375287347331362,0.09238827960599603
BX640584.2,0.9709355379941075,0.0,0.0,0.00307821711843744,0.005293363373949753,0.0536424013616598,0.40915334283715155,0.27506061955524697,0.15804551790817908
SI:CH1073-418F12.2,0.8131488026299027,0.0,0.0,0.10282422166686499,0.0,0.009510494602580999,0.4772915666813993,0.24189251455923189,0.20709542037299025
SI:CH1073-159D7.7,0.2593120561102533,0.0,0.12447894169503552,0.21274733155099962,0.2927496956283251,0.4820287605908493,0.8993845784319361,0.5762959712066614,0.1061555698488028
DUT,0.6077343293301972,0.0,0.17521972574372063,0.10275194526247766,0.038301857166429795,0.0,0.9539153239784677,0.2964630359958132,0.12761266935519283
