,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7
14,SI:DKEY-30F3.2,0.9006991191689866,GPRC5BB,1.6224632185495491,CLDN23,1.280016508807142,ZIC2A,1.0704877572105054,SKA2,0.8948334762742185,LAMC1,0.9240974741010675,FTL,0.963962195680576,ZIC2B,0.7248519892354665
15,FAM78BB,0.9002402274062109,HUWE1,1.4778239353706293,ZGC:193505,1.269990395981918,NHSL1B,1.0643270072050812,SI:RP71-45K5.2,0.8880711817945192,HSD17B2,0.9200829260213581,KIAA0101,0.9617948125900736,PFKFB4B,0.7136045614346097
16,BIRC5B,0.8996818682792905,KLHL22,1.3676890540969864,FTR83,1.2516704979695397,ATP1B3A,1.054133198592057,FHDC3,0.872204784244183,SI:CH211-178N15.1,0.9136164117051628,RPL12,0.960563533979676,PKDCCB,0.7134956028692246
17,RAC1A,0.8973774308919087,NRXN1B,1.3557316430015014,KLF17,1.2505977690475891,PRICKLE1B,1.0143847429459618,NEK2,0.831776352447165,SI:DKEY-58J15.10,0.9115691586440949,STM,0.9589398649805655,PCDH1B,0.7127540813283975
18,BX324155.1,0.89227335906835,PON1,1.3400777896279035,FA2H,1.2404986312049657,HES6,1.0089700055154378,SI:DKEY-163F14.5,0.8235348917116116,PARP6A,0.8868953299266273,SI:DKEY-234I14.20,0.9554865417359841,OTX1A,0.7092609913847823
19,DDX17,0.8843666914976941,CABZ01001464.1,1.3236265846918724,EVPLA,1.2313919306018237,APOC1,1.0083450513130598,ANKRD12,0.8192266223031452,NCOA7,0.8866745092341605,SI:CH211-194E1.8,0.9535983664736926,CX43.4,0.7090138714532487
20,WEE2,0.8788889759589724,CPE,1.3108066427612597,SI:DKEYP-67A8.4,1.223782553982416,HER1,1.0002075209248644,ZGC:56231,0.812949436755401,BX546500.1,0.8806067078323301,SI:CH211-113A14.16,0.9534680232980459,ZGC:163040,0.7041174515338696
21,SI:DKEY-221L21.2,0.8716869977437436,CYR61L2,1.2698006818482857,FUT9B,1.2142184080623057,SP5L,0.9810007633773786,LPCAT4,0.8066562382834073,RNF213,0.8777704281975799,SI:DKEY-261M9.17,0.9476644391927039,SI:CH1073-80I24.3,0.7031076406970627
22,ADGRE10,0.8711806917576826,SETD2,1.2218264014880775,MGLL,1.2136541553489217,VED,0.9737303393547772,RPAIN,0.8035792882282253,RYR1A,0.869420739187775,U1,0.9454108966703154,TCF7L1A,0.7029727818995959
23,SI:DKEY-1D7.3,0.8709264554335473,MLXIP,1.212539520183456,GRHL3,1.204508120894556,MSX3,0.9500517534983065,BOKB,0.7994953766370243,PDLIM5A,0.8621951425096768,SI:DKEYP-3B12.10,0.9421857428912609,H2AFX,0.691253082036311
24,ZGC:91910,0.8705783754063319,SI:CH211-241E1.5,1.210070398547043,CLDNB,1.1939305991870854,LEF1,0.9437499459988491,MAP7,0.794475976379429,JAKMIP2,0.8556131922506417,CLIP4,0.9316553652013713,KIF26AB,0.6890111173239892
25,SUPT4H1,0.8702465164443991,SI:CH73-46J18.5,1.2051659080265682,FTR82,1.1922245214417433,ARL4AB,0.9331734041173668,CNOT4B,0.7791077192200633,ZNF644B,0.8553002863419588,CDKN1BB,0.9310242693668355,ADD3B,0.6881086529392798
26,ZNF986,0.8686537014474366,ZNF1068,1.194945364113594,PLEKHF1,1.1691421431723652,LAMB1A,0.89947872298863,ZGC:77112,0.773235902301516,CSF1RB,0.8538891917245317,SI:CH211-113A14.10,0.9188593498529456,ZNF319,0.6870804927573655
27,THY1,0.8671268799694685,ZNF1057,1.1878295970411814,ZGC:153911,1.1640586647394584,WNT8A,0.8959027091768221,PGK1,0.7718128326135675,CAMSAP2A,0.850979654878809,SI:CH1073-190K2.1,0.9139752855075925,CDH2,0.6865197759354906
28,PRMT1,0.863690345775811,CHD7,1.1795217079488862,CYT1L,1.1583325845969397,SI:CH211-279M15.1,0.8933973798804946,GRA,0.7679756541490185,KLHL22,0.8468345936950299,SI:CH211-7C8.2,0.9075835111654295,FSCN1A,0.680734672133122
29,SKP2,0.8561002980258862,POLR2A,1.1793939919437066,PERP,1.1462015081155215,SZL,0.8919913141932615,MKNK2A,0.7633418334363521,BAALC,0.8447943642504964,SI:CH1073-159D7.7,0.907214336890621,ALCAMB,0.677875317045355
