,0,1,2,3,4,5,6,7,8,9
SI:DKEY-153M14.1,0.446705095737711,0.0,0.1578252103667187,0.06490930962779161,0.0,0.0,0.9765503550566698,0.23156719039820176,0.43702137262652246,0.09485951047262609
FXYD6,0.5960629155113653,0.24607887264152684,0.21951619228813352,0.17824845990224353,0.07597981412582552,0.16885598958495748,0.718856208212256,0.17190299531991815,0.3031511860905247,0.2295948619345073
ZGC:158463,0.46393987969481715,0.0,0.12046880415345719,0.11577960070686491,0.0,0.0,0.9028633662703759,0.29897239718727475,0.5447966802995778,0.12798761986557036
SI:DKEYP-3B12.10,0.25279831828197263,0.0,0.1429828939658548,0.08658917492770102,0.03768659148432527,0.0,0.8513580619687637,0.19787484881187217,0.5999234979949419,0.17069661576654158
C1QB,0.47498385781046815,0.4827456253130745,0.24501057122567246,0.2212669192883936,0.05240239326317082,0.10130736248496283,0.86278918138432,0.10489166449455903,0.3006714742754471,0.13322764043620167
SI:DKEY-108K21.12,0.272516667836096,0.0,0.0,0.12382023329204146,0.03602952585852407,0.0,0.9522040434328726,0.4203988194314722,0.3525692464147909,0.18054205327823655
SI:DKEY-16M19.4,0.6952525570299505,0.0,0.0,0.2634454442483964,0.0,0.0,0.617192082706031,0.06474801893827865,0.679607409285118,0.0842208580717623
ARL14,0.5528614936438282,0.4997196252395611,0.16182710107028933,0.2427808961694477,0.2530441565719042,0.027452477207241897,0.44971782817301825,0.19725974148241288,0.49718778852675977,0.11200257821200271
OTUD4,0.4710829748554323,0.0,0.23821428850536125,0.14373445493719544,0.0,0.0,1.1480987618722622,0.3062535889809123,0.4108102154835499,0.11876007823624338
RAB34B,0.6081400356185818,0.0,0.2508523033148181,0.4834896396660025,0.0,0.0,0.5965070611436911,0.2937434865430391,0.25328057128382386,0.08334243468756564
SI:CH211-267E7.11,0.6442492330183776,0.0,0.22302265572331204,0.6385670815406786,0.0,0.0,0.5543414275453812,0.2502963702414896,0.36707795098079793,0.190215138606805
SI:CH211-130H14.6,0.6848439512172502,0.0,0.04187330104024031,0.13942154382630537,0.0,0.0,0.542589515930329,0.29756181033933704,0.5298890735963332,0.11074137932244986
SI:CH211-195B11.4,0.7554476971023786,0.0,0.16028422698245282,0.1743318474722719,0.0,0.0,0.4599666457145524,0.26675931240690653,0.6322447362045506,0.16923245014102187
SI:DKEY-261M9.17,0.21940935808800588,0.0,0.09696985852331397,0.04936799125730941,0.0,0.0,0.8280599793525519,1.1869370595461495,0.07448000716163738,0.17927079398226725
CR450785.2,0.910772583406566,0.0,0.00924542495571015,0.059998235646717905,0.0,0.0,0.3833344393464467,0.4254440802183791,0.26806611622802,0.11996253411753381
CFD,0.5790386668613209,0.7082369974930607,0.0,0.22626603899908776,0.24789003848122315,0.02805995885662216,0.38833386176573154,0.14400248164939783,0.4487174584719205,0.06077600903451153
BX640584.2,0.9520956436135541,0.0,0.0,0.004737465926085519,0.009756004732212033,0.016359957870305364,0.38269476294334653,0.2191923909734314,0.2983960291410789,0.15735332622915565
SI:CH1073-418F12.2,0.7845869109946781,0.0,0.0,0.1036181769645261,0.0,0.0,0.4386354388701776,0.1946809837515508,0.2896039811985868,0.21616423079626348
SI:CH1073-159D7.7,0.2009541776340894,0.0,0.15562635040935066,0.2079011211685636,0.1690784332747171,0.3842261444364947,0.8338013768325886,0.6620248596993143,0.4962014877819976,0.13017782894222238
DUT,0.5764378361799333,0.0,0.18348671268135755,0.10922288753996044,0.005082429525722961,0.0,0.9033157816198433,0.23564002564419043,0.36059110343437895,0.1274961874349964
ZNF981,0.5977836735278831,0.0,0.0,0.2563529898610957,0.01698247949335076,0.0,0.4292148736156293,0.42524566873287595,0.42919366935102155,0.0
SI:CH211-113A14.16,0.40519375925508583,0.0,0.004298353565334023,0.2077441634863802,0.06715814547325644,0.09201399236898483,0.8656550521925346,0.39704030603827517,0.6279340258112225,0.13115039790231728
SI:DKEY-6D5.4,0.6711218255013176,0.0,0.22953378033877175,0.6339600358150895,0.0,0.0,0.5528938018942406,0.2462805794241771,0.4012560308342138,0.19070595013218566
SI:DKEY-23A13.15,0.25525469604018397,0.05697662181428801,0.0,0.22045569722887537,0.24195309384361083,0.1594949417958791,0.9756519990821096,0.8276439711636778,0.08933037248357821,0.21491556977317214
ADGRE10,0.8841299772466592,0.0,0.202916310322876,0.048929662091939594,0.20052295622752905,0.0,0.4175346321960519,0.34633926283427857,0.29762734916472616,0.10432340076523904
CU655961.2,0.5371221080771121,0.0,0.03573388696868455,0.14695649541121872,0.312336975161118,0.0,0.516594604919705,0.0648036405977194,0.4229841385339756,0.0
SI:CH211-190K17.31,1.0028322075791682,0.0,0.07867956643650052,0.15266899529114836,0.0,0.05598718044797987,0.42334552449067064,0.3139882036636252,0.13931526113123605,0.17687885519869032
SI:DKEYP-3B12.8,0.28899734645707104,0.0,0.0,0.12067510824545045,0.0,0.04951945076314961,0.677320878014677,0.2683340974968236,0.2669932899037699,0.04742889043593669
FAM78BB,0.8862245332034873,0.0,0.044870462867378905,0.1718623711769974,0.0,0.0,0.5767962544507097,0.16895807936004262,0.2519921072832529,0.15162326706546964
CABZ01111915.1,0.7152540998675796,0.0,0.040568975283387335,0.19671982260861282,0.0,0.0,0.1901026439536167,0.17530338005273985,0.5305732215204381,0.16361920500361743
WDR21,0.7285765438790129,0.0,0.0,0.06798398992945064,0.16953909164882913,0.07989219659695045,0.2543439105927935,0.5095037088018209,0.33001663557051786,0.16550527731716067
SI:DKEY-95P16.2,0.6991369540174796,0.0,0.0,0.32675956127983746,0.0,0.0,0.5198900969976978,0.1265683516957428,0.744200651265148,0.13491870163621036
NCALDA,0.9828478382436103,0.0,0.11716998486297749,0.1428366742090015,0.11786253052168551,0.004497965251209093,0.42912280235644673,0.44405575690435184,0.28833949526033537,0.11887451529177274
SI:DKEY-15H14.4,1.0185127443369133,0.0,0.042275598759611815,0.06142795693448304,0.0,0.0,0.4458855115087514,0.2895812701745944,0.06709684625177982,0.20023832449084927
SI:CH211-117M22.2,0.39026685478088824,0.0,0.2594046378550364,0.02507106370913997,0.0,0.0,0.9638473853209993,0.4395271319560174,0.16291182055406084,0.0
