,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
SI:DKEY-153M14.1,0.1562030901947189,0.0,0.13580187261160725,0.0,0.0039953740879516125,0.35552270324770635,0.6326618789817414,0.0,0.0,0.05508543631864115,0.21761424556536677,0.020675771067917792,0.5577961088443957,0.23994749528155135,0.12425603267848093,0.0,0.0,0.0,0.838419906556795,0.0
FXYD6,0.2006450599234696,0.18268788266418248,0.21586076802220222,0.2082427358256365,0.23791522437823434,0.613264243151589,0.32784939642705924,0.0,0.3286488448499677,0.21529905648905576,0.17343564892347113,0.2744506301915543,0.5727503354868759,0.06701210922387424,0.1665198404706272,0.05395568009980316,0.112244671789571,0.12230415108816853,0.18628341110080102,0.0
ZGC:158463,0.09620343100162006,0.0,0.14470357465410358,0.0,0.06250865761982216,0.2977769198147516,0.5477239915076404,0.0,0.0,0.023752828457653974,0.24137752329332937,0.04168517496995216,0.5992893141419745,0.22748592122686834,0.1301310199460669,0.0,0.0,0.0,0.987225059052053,0.0
SI:DKEYP-3B12.10,0.0,0.0,0.18455873583496218,0.0,0.00950643137192125,0.23552972969107377,0.5141146487849059,0.0,0.0,0.0,0.04048271397969871,0.08766930774192969,0.39846459424392294,0.2954105520681957,0.08789554600520665,0.04541450272128317,0.0,0.0,1.119036038450761,0.0
C1QB,0.18699878333018344,0.43995600325032436,0.21872867817278524,0.16581976450245114,0.0,0.4995252686916341,0.5065800240458505,0.029964321746091798,0.20848744984411863,0.19488859618022691,0.22786234218425383,0.1083124583071511,0.611634741215404,0.0,0.06074201483264665,0.07694948529314288,0.11441830629877724,0.09626398794576446,0.2545320567285687,0.15151999231414523
SI:DKEY-108K21.12,0.0,0.0,0.011516759781359746,0.027776850468855353,0.0,0.35473484928685173,0.4509441642838091,0.013785225565925666,0.0,0.0,0.501911679841395,0.12778600846728608,0.6179646227821983,0.17402261770285604,0.07026100226972086,0.07538585835498424,0.0,0.0,0.6472377176492968,0.0
SI:DKEY-16M19.4,0.16236363653708763,0.0,0.0,0.1020981629209627,0.0,0.10952231743540539,0.5398373523206278,0.0,0.19773765100400562,0.05219756452854168,0.06827483980954448,0.0,1.0520819592459925,0.0,0.0,0.0,0.0,0.0,0.5389721854682308,0.029459857485263835
ARL14,0.2583852963301536,0.3317716077369466,0.064458573360082,0.2692750903374701,0.14442342407068615,0.20880655271694637,0.4094913581073603,0.2579313154865149,0.4860125320615137,0.24796402285542415,0.0881001949810458,0.08713461301704704,0.5154075064876787,0.0,0.22001251950722864,0.2825377709284825,0.12336627756805606,0.10666240975079311,0.12166206274449004,0.16080832819732285
OTUD4,0.053912303591483524,0.0,0.195572314371004,0.0,0.02991667254569259,0.3991039863430373,0.7095506510776736,0.0,0.0,0.17590398387681122,0.26582687830418456,0.03271149751258311,0.7564243703053304,0.3207554346441886,0.0,0.0,0.0,0.0,0.8914325351900002,0.0
RAB34B,0.08072010390560364,0.0,0.38006953647692,0.3571537343338959,0.0,0.35676161938545253,0.0,0.0,0.0,0.01856960534269399,0.3497733613463163,0.020173128330328957,0.9247135938081354,0.11059377957610612,0.0,0.0,0.0,0.0,0.4649278811690628,0.0
SI:CH211-267E7.11,0.09859001498285769,0.0,0.33866272025092287,0.5098880924151339,0.0,0.29400599398839133,0.057514480217760636,0.0,0.0,0.07095105625297943,0.2714097031811422,0.12321260634031209,0.947016647811168,0.030657321031046656,0.0032564137325075053,0.0,0.0,0.0,0.5807298010179123,0.0
SI:CH211-130H14.6,0.16427288261255718,0.0,0.056874391587907205,0.06862293810134186,0.10895041019649218,0.284902464493368,0.2645269377064861,0.0,0.2563820581681197,0.06233563054715562,0.29851532385219837,0.07201878801103241,0.8134288955118738,0.24267294957312316,0.12904293878002787,0.0,0.0,0.0,0.41781589895813914,0.0
