,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
18,FAM78BB,0.8862245332034873,KLHL22,1.333334554399262,MGLL,1.2309063481596212,HES6,1.02293906948833,CHD6,0.7887917835408663,SI:CH211-178N15.1,0.9171146922792165,DUT,0.9033157816198433,IER2,0.70828018653192,POLR3GLA,0.6798318507927549,E2F7,0.6775270761424951
19,ADGRE10,0.8841299772466592,NRXN1B,1.303194447309151,EVPLA,1.21637749326741,PRICKLE1B,1.0193893511896215,SI:DKEY-261J4.3,0.779213603340298,JAKMIP2,0.914380165172173,ZGC:158463,0.9028633662703759,TDGF1,0.7063710497023463,SI:DKEY-16M19.4,0.679607409285118,SI:DKEY-204L11.1,0.6722870911808639
20,ZNF986,0.8806370650118682,CPE,1.2714535183096036,SI:DKEYP-67A8.4,1.208428109771186,HER1,1.0045500487056582,RGS14A,0.7750046485435168,CAMSAP2A,0.9073712226145784,U1,0.8837851916124978,SI:CH211-113A14.15,0.6786184687137526,MCM6,0.6790586765466582,RASL11B,0.6696687503089057
21,SKP2,0.8788580665137502,CYR61L2,1.2532102817288204,KLF17,1.2081706728346997,VED,0.9920290199800453,KLF2B,0.7739373110794884,LAMC1,0.8867413418821297,CLIP4,0.8788121173129023,ZGC:163077,0.6755768249647605,ZGC:163040,0.6720954432282574,FOXI1,0.6692441123248444
22,PRMT1,0.8751392453127985,SI:CH211-241E1.5,1.2337242741425936,CLDNB,1.1975851662149075,SP5L,0.9708746047001423,ZGC:56231,0.7709226532796378,ZNF644B,0.8792104638218424,CDKN1BB,0.8766760812074086,ZEB1A,0.6654607978056993,SI:ZFOS-44A5.1,0.6690116100092487,SI:CH211-239D6.2,0.6544686127169368
23,ZGC:91910,0.8748197347283789,SETD2,1.2088060735356334,FUT9B,1.176552965163386,MSX3,0.9685095657296726,ZGC:158852,0.7641069977432535,NCOA7,0.8787322319298022,SI:DKEY-48G21.5,0.8746070584997229,SI:CH1073-159D7.7,0.6620248596993143,PFKFB4B,0.6675098957936644,BCL3,0.6380245850778682
24,SUPT4H1,0.8734513940527301,SI:CH73-46J18.5,1.2037426780545524,FTR82,1.1750425117117533,LEF1,0.9336330087765745,DRL,0.7508522826258888,CABZ01009880.1,0.8728713373723848,SI:CH211-7C8.2,0.8740662277344389,GSC,0.6571072558116109,RPS15A,0.666771924972654,ISG15,0.6306478062783563
25,DDX17,0.8678068961568112,ZNF1057,1.1988613524010665,GRHL3,1.1685077580467198,LAMB1A,0.9167476487585008,PCM1,0.7479699797016088,GRNAS,0.871668607778429,TOP1L,0.8663407162966414,RASGEF1BA,0.6377678566204397,RPS2,0.6656239723815619,RPS27.2,0.6289713539104722
26,FKBP7,0.866040982043788,ZNF1068,1.1982362532839659,PLEKHF1,1.1556402677356168,ARL4AB,0.9150667824595015,DDX4,0.7411752496855529,CSF1RB,0.8644293344838138,SI:CH211-113A14.16,0.8656550521925346,DDIT4,0.6147905680768254,PKDCCB,0.6593429673306196,RGS20,0.6248430268476539
27,BIRC5B,0.8632174516369245,MLXIP,1.1977826246967658,ZGC:153911,1.1492761035881436,SZL,0.9130514595881603,TAOK3A,0.7283595936226889,PARP6A,0.8625595161018794,SI:CH1073-190K2.1,0.8651718467642656,SI:DKEYP-114G9.1,0.6126513750923592,SI:CH211-113A14.25,0.6575498923262528,LNX1,0.6183475174558646
28,THY1,0.858221792137276,CHD7,1.1534628228933896,PERP,1.1389214930476326,WNT8A,0.8949882126728265,BDP1,0.727524631357239,PHYHIP,0.8566668179906379,C1QB,0.86278918138432,ZGC:165555,0.6113192407994147,LFNG,0.6575097355274672,SNX11,0.6141036262543436
29,ASB11,0.8557394272672287,DDC,1.1522640805877375,CYT1L,1.1280949178408743,VENT,0.894880475047286,NCOR2,0.7252684012162989,BAALC,0.852747197752511,EPCAM,0.8542784657333327,SI:CH211-113A14.18,0.6095461365327632,ZNF319,0.6574921385251778,GADD45AA,0.5766312190850607
