,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
15,ADGRE10,0.8138985283113126,HUWE1,1.4405409551420194,CLDNB,1.233889806380018,SP5L,1.0766914498835598,RGS14A,0.7940497761997632,GTF2H5,0.6812515288208554,SI:CH1073-159D7.7,0.7396314149197835,SP5L,0.7403459670618083,ALDOB,0.7521310139597049,KCNK4,0.9043631482205328,SI:DKEY-261M9.12,0.9049484454971963,EXO5,0.7244236701621688
16,ZNF1060,0.8127748825925528,PON1,1.4028255515833572,FTR83,1.2183059574385795,ATP1B3A,1.0721165873196419,OTX1B,0.7936310325142168,TSR2,0.6784566193311115,PRKRIP1,0.7377892289262694,TDGF1,0.7397872214420056,SI:CH211-170D8.2,0.7489730418629468,JAKMIP2,0.8889877154709478,ENSDART00000172356,0.8982606247183212,PLEKHN1,0.6949202626720566
17,CR450785.2,0.8042503310597415,CABZ01001464.1,1.3010125494936022,MGLL,1.2148682811936105,ZIC2A,1.0681832877104689,BMI1B,0.789962303350755,CPN1,0.6749809731156603,RPS17,0.7206175738596258,GRA,0.7342581364029416,CRABP2B,0.7473326145180776,NFKBIL1,0.8800688215961494,SI:DKEYP-14F10.3,0.8925802975905542,IGF2A,0.6938936569123073
18,BZW1A,0.8035911438608053,KLHL22,1.2405539863979997,ZGC:193505,1.2139409384200193,HES6,1.0652432935656135,ZGC:56231,0.7792624359195622,RND1L,0.6748927466604524,SI:DKEY-23A13.4,0.7140300694402612,DDX4,0.7289532410265906,SLC38A3B,0.7472519842708749,FTR36,0.8771610959463149,SI:CH73-36P18.5,0.8912887532299012,SNX11,0.684196396143023
19,RHEBL1,0.7981100279930834,SETD2,1.2398047177884262,ZNF185,1.2117106673416074,VED,1.0550370387928387,CHD6,0.766284398192797,CLDND,0.6686977092509211,RPL39,0.7060512108114438,ETS2,0.7140290899352202,FAUA,0.7421349584667059,SCOCB,0.874598252461005,CA9,0.8885887425695614,SI:DKEY-204L11.1,0.6749228922955628
20,IDE,0.7879489712082056,CYR61L2,1.2269165743730364,EVPLA,1.2012088868425557,NHSL1B,1.0387166534416676,SLC25A25A,0.755296772130685,ATP5B,0.6676643634358549,EGFRA,0.7010456534146682,RASGEF1BA,0.6949100429101359,GNL3,0.737931265665875,BAALC,0.8667946659980803,ZGC:173652,0.8738007921180375,E2F7,0.666987953366959
21,ZGC:91910,0.7765262600975648,NRXN1B,1.2125578091140474,SI:DKEYP-67A8.4,1.1927876942726068,HER1,1.0032413874501331,MID1IP1L,0.7402373122880123,GSTO2,0.6669661969108588,UQCRH,0.6995626519560957,SOX2,0.6654214119903932,HSPB1,0.7268295247010202,TNFAIP8L2A,0.8592366817289385,HIST1H4D,0.8701813128334605,SI:CH211-239D6.2,0.6633997070212045
22,BX511215.1,0.7705892940756683,PCNT,1.2112443073992696,GRHL3,1.186445215627308,PRICKLE1B,0.9910646344752899,GRA,0.7312366236692116,SI:CH211-268B13.3,0.666557915911598,PROCA,0.6981158731635018,KIF26AB,0.6603370084131014,PFKFB4B,0.7267996141272808,KCTD5,0.8573557527801852,ZGC:163040,0.8658560733645081,BCL3,0.650029905914144
23,ASB11,0.7625956903585782,SI:CH211-241E1.5,1.208653075924461,FTR82,1.1686549554832713,MSX3,0.977808248823315,ZGC:158852,0.7242128792436783,SI:DKEY-13I19.8,0.6664328427632192,SLC35A4,0.6940688763927951,AMOTL2A,0.6395197361679696,SI:ZFOS-44A5.1,0.721466874968612,CABZ01009880.1,0.855179384526777,SI:CH211-113A14.16,0.8622169930172117,ISG15,0.6454677753262326
24,ZNF1040,0.7612235559727091,SI:DKEYP-79B7.4,1.1853127770295806,FUT9B,1.1668425796989124,ARL4AB,0.9419637466521272,RRBP1B,0.7059668463195145,FXYD6,0.6654971750657781,TMEM258,0.693014348980629,HIGD1A,0.6378802280136738,FZD7A,0.7198879124450155,SI:CH211-171H4.5,0.8341222056633726,ZNF995,0.8617546256538696,LNX1,0.6331679840043123
25,THY1,0.7584518395318414,MLXIP,1.173342226674922,PLEKHF1,1.1638161483964653,ZNFL2A,0.9286867746244618,BCL2L10,0.7034942837376409,NUDT4A,0.6590117961674569,SI:DKEY-153M14.1,0.6882961827574517,ARG2,0.615825299389983,SOX3,0.7161028223680767,ARID3A,0.8135616654278841,FP236812.1,0.8563245827756024,RASL11B,0.6305651302310665
26,BX640584.2,0.7565135437273133,CPE,1.172528034111673,KLF17,1.1453570554421821,LEF1,0.9276998099086186,FKBP8,0.6966534347141905,CR388042.3,0.6574560576915451,SI:CH211-113A14.24,0.6869451860392406,FAM13A,0.6097730864978264,SOX19A,0.7143942672603136,KLHL22,0.8102111090597509,SI:CH211-113A14.18,0.8552216386557933,FOXI1,0.626157485638403
27,DDX17,0.7562902501236171,POLR2A,1.1699446288494322,CYT1L,1.1359257197159682,SZL,0.9274246087497258,SI:RP71-45K5.2,0.6899372424027806,SFRP1A,0.6503697603203272,U1,0.6833857105160479,NET1,0.6033092494216449,PSMA4,0.712563945952178,RNF213,0.8090641218162818,ZGC:158463,0.8540329127017212,RGS20,0.6192195402882398
28,WEE2,0.753092577750659,ASPM,1.1629519306703806,ELOVL1A,1.129468471764167,SI:DKEY-149I7.2,0.8992208352047742,RAD18,0.6879475594812553,SI:CH211-147G21.5,0.6498239337483065,SI:CH1073-317D10.1,0.6824792249461877,GLT8D1,0.602250494464856,RPS2,0.7112196286117699,SI:DKEY-58J15.10,0.8083953778640468,TM4SF19,0.8475887510295915,RPS27.2,0.5939944992250552
29,RAC1A,0.7495252050173917,SI:CH211-168H21.2,1.1372733072481296,PERP,1.1223281453283973,WNT8A,0.8852967062838549,LSM4,0.6877881718533879,FTL,0.6496526471826369,SI:DKEY-151G10.6,0.6786562304366397,LRIG3,0.5916378475943914,LHX5,0.7064829870532455,LAMC1,0.8051771162348861,SI:DKEY-97L11.1,0.836478176293089,GADD45AA,0.5839201205599452
