,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
17,ZNF995,0.871287442314037,CABZ01001464.1,1.318237505509526,ZNF185,1.222033803134965,ZIC2A,1.0647607923271978,ZGC:56231,0.805108518018857,SI:CH211-171H4.5,0.9743642231477785,SI:CH211-194E1.8,0.7947942053280102,ETS2,0.7096481696746101,SLC38A3B,0.7449509570059686,IGF2A,0.69097783729086,SI:DKEY-261M9.15,0.9108398398573669
18,ADGRE10,0.8699995102078054,SETD2,1.2453062604247107,MGLL,1.2068188841099308,SP5L,1.0621110715671538,MID1IP1L,0.8023688247493325,JAKMIP2,0.9721243761105969,SI:DKEY-23A13.4,0.7937301933269969,SP5L,0.6969972039051167,ADD3B,0.7388916511898277,SI:DKEY-204L11.1,0.6702941417948964,ENSDART00000172356,0.9090045942792262
19,ZNF1040,0.8676656527144296,CYR61L2,1.2378140188206503,CLDNB,1.1965453168898907,HES6,1.0485563841251184,CHD6,0.7875837321818673,GBP3,0.9680558477097964,TOP1L,0.7912540527568084,TDGF1,0.6897228561105103,GNL3,0.7362558898167699,E2F7,0.6605641549412095,HIST1H4D,0.9029944228232946
20,SI:DKEY-146C18.5,0.864252809594702,KLHL22,1.2321101602511937,EVPLA,1.1860027496549965,NHSL1B,1.0452098892293054,RGS14A,0.7851641147815219,SI:DKEY-58J15.10,0.9651646483945141,RNASEP_NUC,0.7873378391985604,FAM13A,0.6748995729516266,HSPB1,0.7327529215430323,SI:CH211-239D6.2,0.6573545463291277,ZGC:158463,0.9025629065489099
21,WEE2,0.852650985157444,SI:CH211-241E1.5,1.2138676742800372,SI:DKEYP-67A8.4,1.1833825395034006,PRICKLE1B,1.0198766460853064,SLC25A25A,0.7845110277159887,TNFAIP8L2A,0.9637195481463904,SI:DKEY-23A13.15,0.7808856947511601,AMOTL2A,0.6466694405352416,LSM8,0.7261807129525203,SNX11,0.6478048113977303,SI:DKEY-261M9.12,0.8823580623266651
22,ZNF986,0.8492633414341237,PCNT,1.2074109882341133,KLF17,1.1732778633875034,HER1,1.0026644911730622,ZGC:158852,0.7669657400041168,PLECA,0.9591036017237256,EPCAM,0.7805675731283643,SOX2,0.6457606153984766,ZGC:109934,0.7168760515324425,BCL3,0.6418223605228847,OTUD4,0.8706863441456739
23,ASB11,0.8481207937541413,SI:DKEYP-79B7.4,1.1828707402429883,FTR82,1.1680730791178606,MSX3,0.977993774097897,NCOR2,0.7530583016347902,RHD,0.9371434753396555,C1QB,0.7792727316253496,RASGEF1BA,0.6437835683609726,NNR,0.7135110854982244,ISG15,0.6391615556133935,SI:DKEY-97L11.1,0.8685406311665858
24,DDX17,0.8461932891431254,POLR2A,1.1776940881775098,GRHL3,1.167818092582753,ARL4AB,0.9500930431987402,BCL2L10,0.7528486581995101,UPK1A,0.9303225845930043,CLDND,0.7784524699796447,KIF26AB,0.6202875813937809,RPL35,0.7121732814644514,RASL11B,0.634465988068946,SI:DKEYP-3B12.10,0.8647389948503945
25,RAC1A,0.8459142561333803,NRXN1B,1.1772470047795256,PLEKHF1,1.1633792756206638,ZNFL2A,0.9450319927729127,RRBP1B,0.7290675503229601,RNF213,0.9274297536543876,SI:DKEYP-3B12.7,0.7696300706947113,SESN3,0.616184627978454,LHX5,0.7089850895898333,LNX1,0.6224691595899737,TM4SF19,0.8536264013096653
26,SKP2,0.8353351331795316,MLXIP,1.15759678464282,FUT9B,1.1598766161451133,SZL,0.934297816524093,RAD18,0.7281648624609534,BAALC,0.9152065835121397,SI:DKEY-13I19.8,0.7623457024367253,HIGD1A,0.6140494599899858,H2AFX,0.7058570717097608,RPS27.2,0.6185064284932406,ZGC:163040,0.8535526853125763
27,FAM78BB,0.8344993794277825,ASPM,1.1566255941170793,PERP,1.1220279098881014,LEF1,0.9273382711283409,RPAIN,0.7257345255111023,NR6A1B,0.9079821668701756,RPS17,0.75575432486546,NET1,0.612067430348347,RPLP1,0.6983150963465848,RGS20,0.615871893810876,ZNF1125,0.853219018534724
28,BX511215.1,0.8309279837214861,ZNF1068,1.1537892897263167,CYT1L,1.1210335133919616,LAMB1A,0.89377967035568,LASP1,0.725219681952752,RNF220B,0.9039872586632439,PSMA4,0.7550462981254025,LRIG3,0.6054833128884716,FZD7A,0.6978993033707225,FOXI1,0.6147895460841617,SI:CH211-113A14.16,0.8491313583061957
29,SI:DKEY-156K2.3,0.82629514959155,SI:CH211-168H21.2,1.1459663857287625,ELOVL1A,1.1198303516891754,WNT8A,0.893737238795386,FKBP8,0.724736016941809,CABZ01009880.1,0.8976067906917418,CLIP4,0.7536864375393135,CABZ01084942.1,0.6030388277631096,SI:ZFOS-44A5.1,0.6973859239758949,GADD45AA,0.5767237995382567,SI:CH73-36P18.2,0.8455353913241401
