,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SI:DKEY-153M14.1,0.019082673849492512,0.0,0.1606251343587916,0.0,0.0,0.567514207615291,0.7278129313862178,0.0,0.5285977483930416,0.0,0.4423745001484647,0.09106877374674499,0.148674955305248,0.3294499296941951,0.3764972578567903,0.0,0.0
FXYD6,0.0,0.2654009990976398,0.26388879360980194,0.11063451690472574,0.0174094768866838,0.6803982808467157,0.3841442940604132,0.032293585805792016,0.3991128062773464,0.11202153425585824,0.2376314117846658,0.2764482225516631,0.173339109600396,0.07091868252534961,0.5749440272136224,0.1426811472827366,0.08155652439649962
ZGC:158463,0.0069712588906785606,0.0,0.14272073393906123,0.015551467942101152,0.0,0.5667378574355058,0.6275686592055031,0.0,0.6651684652210447,0.0,0.5235036868491564,0.12295865560253322,0.1416237553719858,0.30369526488087173,0.4002197276181972,0.0,0.0
SI:DKEYP-3B12.10,0.028355583971268795,0.0,0.16284899933596142,0.0017894901388980362,0.018301698899235108,0.5085105361229059,0.6128168667432,0.0,0.7055913170160139,0.0,0.3879630622530803,0.18008893225945471,0.047809049467280415,0.38705823467048817,0.17451049530075727,0.0,0.0
C1QB,0.24072707835384768,0.4369579697528498,0.2490156511111237,0.20129573870326314,0.10082264230915736,0.5353651911157041,0.6076517739654959,0.14102647557816161,0.29113040277366337,0.10778730270517857,0.22472915618655878,0.1246997788305228,0.14339415610752487,0.017845754300013013,0.4371841081755486,0.0,0.10258441422703088
SI:DKEY-108K21.12,0.0,0.0,0.0,0.04349407253000057,0.08090191954634092,0.5724705059020869,0.5748742413511506,0.006549496914386802,0.49538179902885104,0.0,0.643212611065018,0.19565995243356654,0.1384713585645831,0.2131700549079695,0.24151616157608252,0.0,0.0
SI:DKEY-16M19.4,0.02933556454209163,0.0,0.0,0.12437253602777734,0.0,0.34253625255943704,0.622709508450406,0.0,0.7365610873197195,0.0,0.1938914052327629,0.042484881087361814,0.08329945420516317,0.0,0.8194243502497719,0.0,0.0
ARL14,0.06614829006878409,0.5219117081637271,0.1277787375793471,0.1367810303004078,0.23528890748481918,0.3003863458305093,0.4063343284190446,0.19300111004495468,0.5194574428745458,0.10668849979205022,0.14978489015865853,0.08344775384012723,0.2376581143446674,0.02114173019835073,0.5994201750967194,0.08344695646792599,0.06858759510482064
OTUD4,0.04240635354165205,0.0,0.24974206787331119,0.05537938546204377,0.0,0.6376260265650816,0.8687291882634304,0.0,0.49146267118806725,0.0,0.541785096947895,0.1011515835126593,0.0,0.36312666709235963,0.5082011486023136,0.0,0.0
RAB34B,0.0,0.0,0.33110586734560526,0.3802273673966606,0.0,0.5859469345058025,0.14621205929156336,0.0,0.42392206422616074,0.0,0.46814665127762184,0.09323325186122618,0.06281725693055915,0.12259922661380313,0.6234729612966332,0.0,0.0
SI:CH211-267E7.11,0.0,0.0,0.3226522656657792,0.5173261367925891,0.0,0.5691058582937537,0.15356876077467863,0.0,0.553797306056796,0.0,0.4112969456661491,0.2095243151913914,0.10440591918234085,0.04086732303667946,0.6489842490902039,0.0,0.0
SI:CH211-130H14.6,0.0,0.0,0.04941887606583056,0.02412217002285052,0.0,0.46041931978924705,0.3165886455843858,0.0,0.6874613880786764,0.0,0.39249193752968475,0.11491596020842836,0.20946787977338213,0.23892356935034947,0.6457769815586869,0.0,0.0
SI:CH211-195B11.4,0.05553369160909917,0.0,0.1992711550576813,0.026344605954388183,0.0,0.478663984501885,0.2663928476712681,0.0437849570802882,0.7409767657531143,0.0,0.2874343931095204,0.1278750297107888,0.001498168029823275,0.26861727534408336,0.802907299972163,0.0,0.0
SI:DKEY-261M9.17,0.0,0.0,0.053462743398856684,0.0,0.0,0.1326715590274378,0.6237925231881405,0.0,0.2265999439207744,0.0,1.686253114957445,0.07602962375405094,0.03154968252046973,0.1505729741420891,0.37414713560583357,0.0,0.0
CR450785.2,0.11256117306859065,0.0,0.03035435350907246,0.0,0.0,0.38270562607014674,0.21814011952029871,0.04070769075290123,0.3227358105507867,0.0,0.5323228094551175,0.03866889769912071,0.24020360433817242,0.05819555221982008,0.8820712389583232,0.0,0.0
