,0,1,2,3,4,5,6,7
SI:DKEY-153M14.1,0.4584216212796421,0.0,0.16969835917091267,0.06656892188727469,0.0049208550738960135,0.0013151604684658426,1.0588587366439053,0.3583716065104459
FXYD6,0.6212235410682213,0.26684259479934347,0.22666984216468206,0.17544630646916268,0.06893764917172696,0.1784212453214042,0.7608873862300489,0.25909667781771417
ZGC:158463,0.47798376991884983,0.0,0.1338560498038079,0.12062605181195017,0.0027463211686110925,0.034434717235225155,0.9907202066790419,0.49183686287080997
SI:DKEYP-3B12.10,0.27177438958055194,0.0,0.18492683443325428,0.09023994702703271,0.020415015358496214,0.020883817015201263,0.9421857428912609,0.48544639140911433
C1QB,0.5039678054991936,0.5068932527923357,0.24815568459515355,0.20846038393594438,0.03780838146916565,0.08960102596114176,0.8999606407915702,0.19068945726125186
SI:DKEY-108K21.12,0.31095089668264336,0.0,0.0,0.12739294438720736,0.118427889792104,0.008564070691745099,1.04122792172372,0.35322699738261026
SI:DKEY-16M19.4,0.6898848627746774,0.0,0.0,0.2712014312938148,0.0,0.0,0.673020691335512,0.5679069891775235
ARL14,0.5695948572038355,0.5142083814478771,0.1782341507576425,0.2523269400048834,0.2305863956057835,0.009861413054236434,0.49305261631305475,0.4656203056882034
OTUD4,0.4902117389625868,0.0,0.2342964209830144,0.14308858465441116,0.0,0.033706389252548805,1.231762425520806,0.35129358929486304
RAB34B,0.6131284452021782,0.0,0.23201972269197527,0.4899847853778543,0.0,0.014473680868360183,0.6500394109210549,0.31037450865112537
SI:CH211-267E7.11,0.6599893460164805,0.0,0.22634902264488777,0.6522738354313733,0.0,0.0,0.6221439057667126,0.3816469392174577
SI:CH211-130H14.6,0.7003731801146391,0.0,0.046996492013543466,0.1517859796265965,0.0,0.003891241428398981,0.6167733985657434,0.5494238248883733
SI:CH211-195B11.4,0.7623421618829495,0.0,0.1764883920434023,0.1917454072882359,0.0,0.0,0.5339324495844961,0.6488046096011563
SI:DKEY-261M9.17,0.27878860686494505,0.0,0.0,0.0634160490456717,0.252562207939033,0.13822820288126159,0.9476644391927039,0.4357703185760195
CR450785.2,0.9137280408855165,0.0,0.0,0.0752622478483913,0.051661013200466524,0.028866185098458858,0.44830408842212316,0.39419656428760885
CFD,0.5945941890440711,0.7254893196348757,0.0,0.23321747177436308,0.2268387078249873,0.0,0.42858700896424906,0.3943977467628768
BX640584.2,0.9390652306672487,0.0,0.0,0.01451825716708124,0.025243618297965082,0.061030037581462956,0.4227505192375732,0.34846624393188164
SI:CH1073-418F12.2,0.803810132047287,0.0,0.0,0.11850375756985267,0.0,0.023553101418209474,0.49309678630742065,0.29790871132093877
SI:CH1073-159D7.7,0.20718010518155625,0.0,0.1475760343476149,0.21095765300865396,0.2969409563030617,0.47878284441205354,0.907214336890621,0.5938699323881913
DUT,0.5721756499318852,0.0,0.18180313572068257,0.11194916688127657,0.05062333804529926,0.0,0.966492126631908,0.32940020681428006
ZNF981,0.5712977523386948,0.0,0.0,0.26271684851741706,0.13803541296157826,0.0,0.5104980895682464,0.4963681154889148
SI:CH211-113A14.16,0.4281193500935766,0.0,0.022525335342710142,0.21359792399551064,0.10776394164774686,0.13092363378506308,0.9534680232980459,0.5933317322218232
SI:DKEY-6D5.4,0.6831225339587816,0.0,0.2361495948300227,0.6466546943215712,0.0,0.0,0.6221464985254098,0.4127084103160439
SI:DKEY-23A13.15,0.2345198182952899,0.0019604592953176487,0.0,0.23277742195678883,0.5169916426759693,0.3210266581601666,0.9960556308109496,0.30921488251582263
ADGRE10,0.8711806917576826,0.0,0.19251713387347458,0.06127916903669138,0.2735378498374375,0.0,0.47244877071653224,0.37221099453051354
CU655961.2,0.5141568293367447,0.0,0.07294885879683946,0.1453231941774331,0.2747100695919795,0.0,0.5813207291954579,0.294541592903214
SI:CH211-190K17.31,1.0012190746642111,0.0,0.04328748768391802,0.16584729372974133,0.02613835650183608,0.11296012268822615,0.45394265948647167,0.25991649316498194
SI:DKEYP-3B12.8,0.29251313023391695,0.0,0.0,0.11514199840249728,0.009487278486924447,0.11332329113912355,0.7206516123369847,0.2708353499042691
FAM78BB,0.9002402274062109,0.0,0.04423215902189826,0.18053469870171668,0.0,0.0,0.6303441089223448,0.23484249214956052
CABZ01111915.1,0.7175867648084868,0.0,0.058192879268308594,0.2140222478609766,0.0,0.0,0.2465788721120687,0.5472897624216775
WDR21,0.7104806444176716,0.0,0.0,0.08171411949118798,0.297088497180543,0.1461321669646623,0.31522336465530393,0.4736055677234515
SI:DKEY-95P16.2,0.6981636676375069,0.0,0.03255941511197543,0.3378217130506283,0.0,0.0,0.5755203670745909,0.6685624122691115
NCALDA,0.9604972162628048,0.0,0.08021639651168147,0.15265440439847597,0.2504201520671351,0.04719733086544225,0.47705689053686895,0.4119385275511589
SI:DKEY-15H14.4,1.0393557203165433,0.0,0.011712459655702962,0.07923705046237767,0.014775553400177381,0.011466133296139394,0.4983390346446826,0.16101389852579884
SI:CH211-117M22.2,0.37878512432890327,0.0,0.21665113323639118,0.025086082409948595,0.10635211783159569,0.0,1.0375274451567384,0.22566039095563212
SI:DKEY-23A13.18,0.23787141159272057,0.551457786949321,0.1282403465710069,0.2815180124067644,0.23836781843416616,0.35280721575018364,0.6972779797973921,0.4506682198532947
NDUFB4,0.6461281978588224,0.0,0.0,0.07348041285194833,0.024653484595554442,0.0,0.2619163586251477,0.3167691752479564
MCL1B,0.6852243326289784,0.027680173729468304,0.45674530210094866,0.2039002371575561,0.28202762116676916,0.08940926405424723,0.5161710523575714,0.26816062378036976
