,0,1,2,3,4
SI:DKEY-153M14.1,1.1205215712687175,0.0,0.1568979532461862,0.07980856304147574,0.0
FXYD6,0.990348544791013,0.28467160923710977,0.26759991714623516,0.19383637220979272,0.09560730418381219
ZGC:158463,1.163183878595615,0.0,0.1465947753361164,0.12300919378833122,0.0
SI:DKEYP-3B12.10,1.003057174759753,0.0,0.1701001319965508,0.09709544354745099,0.0
C1QB,0.9537330753634882,0.49959577498906227,0.26800015987910353,0.25348750699483064,0.0
SI:DKEY-108K21.12,1.0530952932372415,0.0,0.0,0.14530273150375245,0.0
SI:DKEY-16M19.4,1.1093587524563648,0.0,0.06872711475598753,0.2636972051103688,0.0
ARL14,0.7722868008904984,0.5108640027003111,0.2304745813556301,0.26944587248451773,0.305254142159964
OTUD4,1.2495318664758213,0.0,0.21274307287758965,0.1677069745255202,0.0
RAB34B,0.9262662614059861,0.0,0.2867115873951464,0.4676680161264044,0.0
SI:CH211-267E7.11,0.9610798640875504,0.0,0.29398671103441454,0.6222284222983507,0.0
SI:CH211-130H14.6,1.0481070929673602,0.0,0.13598733447734473,0.12891517455116216,0.062044830611144235
SI:CH211-195B11.4,1.0722664303559994,0.0,0.2929083074063239,0.16169363259009562,0.05390625191358691
SI:DKEY-261M9.17,1.06513981970676,0.0,0.0,0.08805901192868167,0.09326746694566189
CR450785.2,0.919722009558897,0.0,0.06639143735798636,0.05826820329987966,0.33979960960915345
CFD,0.6729565894616549,0.6864699908445031,0.05787528873967145,0.2773271917980603,0.37515548736231413
BX640584.2,0.9339901511857637,0.0,0.0,0.0,0.3243388387776894
SI:CH1073-418F12.2,0.8826606762618144,0.0,0.06904871102955179,0.09869297218949795,0.17824184602816004
SI:CH1073-159D7.7,1.2248083984023614,0.16649065750166223,0.12390965355743544,0.17956490817591653,0.011210879149229998
DUT,1.1114288725482016,0.0,0.1940237513063987,0.130880239710941,0.020880471999983434
ZNF981,0.8577040739332847,0.0,0.0,0.25825904472728195,0.24844298021910752
SI:CH211-113A14.16,1.2187950290622207,0.04600766888273329,0.040642588637235806,0.20708860734389867,0.0
SI:DKEY-6D5.4,0.9894176646275196,0.0,0.3108795104445615,0.6165813878161707,0.0
SI:DKEY-23A13.15,1.1095279979839476,0.164724226820875,0.0,0.21022961297547998,0.1498068388758733
ADGRE10,0.8548523629431515,0.0,0.26147890633747434,0.06434588677769121,0.5226345068880649
CU655961.2,0.7530498855815627,0.0,0.08955525356000275,0.16721214459692385,0.33141499927556556
SI:CH211-190K17.31,0.9100927797701901,0.0,0.14030192833636462,0.14937450627992385,0.36247232111698174
SI:DKEYP-3B12.8,0.8085221437990772,0.0,0.0,0.12669760195224522,0.0
FAM78BB,0.9740935718348634,0.0,0.11011116339217311,0.17658223532561673,0.19288224779147686
CABZ01111915.1,0.7500653218114898,0.0,0.1608386519649004,0.19093856889491065,0.20842136346791948
WDR21,0.7793639247473773,0.0,0.03081499333026987,0.08236673642352191,0.5481487469550184
SI:DKEY-95P16.2,1.089010710417913,0.014188556390870893,0.13502397268144198,0.31359137180426566,0.004012009187647072
NCALDA,0.9477144733146112,0.0,0.16326217125613063,0.1542045165944949,0.5196705520905681
SI:DKEY-15H14.4,0.9041333396455813,0.0,0.09582480613044497,0.060797923840224304,0.31725252273054366
SI:CH211-117M22.2,1.0205783081398012,0.0,0.19050932997977998,0.05361177986714472,0.0
SI:DKEY-23A13.18,0.9293566576894473,0.6716647908001896,0.1162863384259691,0.27132063833138154,0.047768507449130644
NDUFB4,0.611639539472477,0.0,0.060959391905136336,0.06117306115516771,0.24925511330106687
MCL1B,0.7707331943349022,0.03365206910237532,0.4832971473387826,0.24009325903385492,0.4299648451497786
RPL6,1.063995628769676,0.01279838772266511,0.21378439236588398,0.3165525998448607,0.07968781040080845
PDIA3,0.9967817187515051,0.01687086266514086,0.04240213359706027,0.3131522344265924,0.24640857238127836
SI:CH1073-190K2.1,0.904802084280124,0.0,0.0,0.1150239182169206,0.0
SI:CH1073-26E8.2,0.7658728812997707,0.0,0.0,0.03797592845217479,0.16475881699171552
HIST1H4D,0.8006340549902526,0.0,0.0,0.040027154818389976,0.0
ZGC:165555,0.7673759030803659,0.0,0.0,0.08902206163203091,0.012548305207142386
FP016247.1,0.6718114072347398,0.0,0.1553977630083216,0.08855620563131936,0.0
TADA1,0.9324646918478176,0.0,0.05904258052058349,0.0,0.3390953343020675
SI:DKEY-193H7.5,0.95832542509758,0.0,0.18761132851068177,0.08455575453802885,0.14413269347349247
SI:CH211-210C8.5,0.5208339137701541,0.0,0.13782301260376284,0.21922438789794307,0.3810876055466205
SI:DKEYP-3B12.15,0.5073858439288209,0.0,0.2529125581415463,0.019908367084306856,0.23343290972466432
SI:DKEY-77P23.8,0.548189595069209,0.0,0.23620087257161296,0.006936435613488051,0.19935027891985088
SI:DKEYP-3B12.13,0.5271840994814726,0.0,0.23401511522510976,0.04985649186290559,0.2056728142338971
SUPT4H1,0.9046937470274952,0.12420797223502517,0.2519445874336388,0.30575944038128433,0.3764867373943322
TMED9,0.772298001537558,0.0,0.2245277437468198,0.1555845897103657,0.4644162107714819
ZGC:92287,0.842855184072769,0.0,0.2955445686614627,0.12565555398121017,0.27588730508393106
SI:DKEYP-14F10.3,0.8298049913538466,0.0,0.0618461114798073,0.03211689556547646,0.2093873308619043
SI:DKEY-23A13.10,1.0031838072159274,0.20655610467850907,0.17525536064644756,0.23976377264921592,0.20512006781263806
CDKN1BB,1.013624297906936,0.09730635016596839,0.15685032468687105,0.2768029247105899,0.24488772093545413
