,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
11,IPO9,0.9046372260041171,NME2A,1.7562833532217557,CLDNB,1.2452520609565905,ZNF503,1.231769463319727,SI:DKEY-30F3.2,0.890044663019486,SI:DKEY-19C16.12,0.7237245531356435,CLIP4,0.7820717783463466,FOXB1A,0.809488823493993,SI:DKEYP-3B12.10,0.6788015988550739,HSD17B2,0.8540156300358098,SI:DKEY-261M9.15,1.0036190737438935,SESN1,0.8046449124917743,TMEM205,0.5920023936174643,ZGC:113425,0.6081621196612895,SI:DKEY-11O15.10,0.7698772634087057,ZNF185,0.6474740885779833
12,CAPRIN2,0.8980659820010475,GPRC5BB,1.7472693501871888,EPS8L1,1.2437806775388216,DLD,1.1551495678060963,CR391944.1,0.8781511548942529,SI:DKEY-193H7.5,0.7156149510919251,SI:CH211-117M22.2,0.776131263011426,TCF7L1A,0.7765476608612834,SI:CH211-113A14.16,0.6717937990178514,CNNM1,0.8501640864306487,SI:DKEY-261M9.11,0.8744387726661593,CDKN1A,0.7815198805517622,SI:DKEY-221L21.2,0.5695467110530756,SLC7A8A,0.601558203040802,OTX1B,0.7632006189274272,SI:DKEY-234L24.10,0.64637640857617
13,UBR5,0.8836997394145336,HNRNPA0B,1.7463280146701228,CEBPB,1.2283380547766616,APOC1,1.1435831689393194,PRMT1,0.8626589412073032,SI:DKEY-5I16.2,0.7063915939063885,TMEM258,0.7753032077620376,NOTO,0.7733003845934917,FP236812.1,0.6701461108407811,TNFAIP8L2A,0.8495332147544054,SI:DKEY-108K21.21,0.869220011955019,ZGC:64022,0.7584442079401295,KAZALD2,0.5647827791710724,SI:DKEY-93M18.3,0.5993702396677726,NEK2,0.7599246869202211,CNNM1,0.6408517236346355
14,VED,0.8792325248205605,ZGC:173587,1.520890911537479,SI:CH211-125O16.4,1.2059320434433516,ZIC2A,1.1367276539882787,SKP2,0.8569976971595064,SI:DKEY-122C11.4,0.7038912546386608,SI:DKEY-261M9.15,0.7727319878994087,LFNG,0.7729885748761639,KRT97,0.6662125326873328,SI:CH211-171H4.5,0.8350745761870856,GBGT1L4,0.8391038093321441,SLC4A2A,0.727270300732151,UGCG,0.5627201812753572,SLC9A8,0.5967409787591824,BMI1B,0.7591685880934398,CABZ01064859.1,0.6245033093602749
15,KIF20A,0.862310940009129,PON1,1.5000408516526407,SI:DKEYP-67A8.4,1.1799713313901623,VED,1.1209457168829284,CR450785.2,0.8567770177530412,CR388042.3,0.702206383296573,SI:CH211-194E1.8,0.7672142610899011,CST3,0.7572446720202773,CNIH4,0.6654418811782752,NFKBIL1,0.8337547921260309,HIST1H4D,0.7918442064666951,EXO5,0.7242355385920091,ZNF1060,0.5524076350909533,FBXO30A,0.5934258289835999,BOKB,0.7353160830907127,PPL,0.6065626323452141
16,BAMBIA,0.8406298459171543,CABZ01001464.1,1.412901782527199,MGLL,1.1571865514556432,IM:7138239,1.1091233343038591,RAC1A,0.8366212286128552,CR812792.1,0.6996815949159957,SI:CH211-272F15.5,0.7671083532623869,CDH2,0.7440296048680699,SOX2,0.6632358241581083,GBP3,0.8326668378702916,TRIM105,0.7651437592765734,SNX11,0.6862959098750407,TAOK3A,0.5519810496808747,SI:DKEY-1D7.3,0.5845027615611416,WDR62,0.7137109689194202,RHD,0.5985695958349151
17,MAP3K1,0.8331820671388147,KLHL22,1.3907649004800406,FUT9B,1.1454548560861622,NHSL1B,1.032848372413896,SI:DKEYP-114G9.1,0.8361754190833885,IFI30,0.6953923236412197,GTF2H5,0.7592402736578223,GSC,0.7318515159685897,PFKFB4B,0.6575770359191597,KCNK4,0.8243247445601337,BX324216.1,0.7197874213587098,SI:DKEY-204L11.1,0.6855007393879146,SI:DKEY-261J4.3,0.548485403564897,KIF18A,0.5820546184213751,TRIM35-29,0.7125205823655182,SI:CH211-276A17.5,0.5977214584815844
18,LRRC8C,0.8200765117153398,SI:CH211-241E1.5,1.3230786901134988,GRHL3,1.1424446275138924,ATP1B3A,0.9876217288816871,ZGC:91910,0.8233577251347739,SI:DKEY-211G8.5,0.6910068450624774,SI:DKEY-151G10.6,0.7536826140598589,FSCN1A,0.7310268275549988,SI:CH73-110P20.1,0.6493762725287704,SCOCB,0.8194131661196846,SI:DKEY-146C18.5,0.7131189887016727,SI:CH211-239D6.2,0.6763786909523352,CLDND,0.5479570049096475,HNF4A,0.575385684044831,ZGC:158852,0.7050403508276134,TRIM25L,0.593608982560597
19,HIST1H2BA,0.8199397916468211,NRXN1B,1.2930455846080626,FA2H,1.134469396620918,HES6,0.9818916495772868,BX640584.2,0.8183475877886753,ZNF1125,0.6855257355319279,RPL35,0.7496497409533249,NET1,0.7195683750806486,UBA52,0.6490102750263613,GRB7,0.8163039127335667,SI:DKEYP-14F10.3,0.7080525055129678,IGF2A,0.6736778247427714,ZGC:56231,0.5469568892469724,METTL22,0.5736791744215931,KLF2B,0.7041373684992035,RNF220B,0.593153579726852
20,KRCP,0.8170248158885057,DDC,1.269227232764997,ZGC:193505,1.1341992396314988,HER1,0.9802001669380921,SI:DKEY-1D7.3,0.810339772505892,PPIB,0.6821811109935103,SI:CH211-113A14.10,0.7488626102085358,AMOTL2A,0.7190991788226464,ZGC:158463,0.6484798037214585,JAKMIP2,0.8109949950983749,SI:CH211-113A14.18,0.705607271989543,BCL3,0.6635162968202044,ERCC8,0.5356274698968776,MAL,0.5631180390645308,CLDNG,0.7015613473675869,TMEM8C,0.5907646351093356
21,VENT,0.8051299461940569,ZNF1068,1.2678414709437018,ZGC:153911,1.1084841547171806,SZL,0.9794939659030123,WEE2,0.8102386683864208,FXYD6,0.6767980961007894,FTL,0.7462931221726898,LRIG3,0.7150472953147464,GNL3,0.6457909884315062,BAALC,0.7945356503988157,SI:CH211-113A14.26,0.6972841314588222,PLEKHN1,0.6631644516565479,BTG4,0.5232185891405082,SI:DKEYP-117H8.4,0.5625585093060941,MID1IP1L,0.6770354163180138,ESRP1,0.5894504677507462
22,KAZALD2,0.8041161516093698,SI:CH211-168H21.2,1.2536124806700069,PLEKHF1,1.1065557772550494,PRICKLE1B,0.9749100559153873,BX324155.1,0.808761713330852,TMED9,0.6747346656857492,RPL39,0.7451669537469593,SOX2,0.6835436869202203,H2AFX,0.6436027822833237,KCTD5,0.7821937982344924,SI:CH211-113A14.16,0.6595108690349373,E2F7,0.6486480716401131,SI:DKEY-11O15.10,0.523152607999091,CECR1A,0.5604901794016507,CHD6,0.6768553746419205,FA2H,0.5767758182980554
23,POLR2A,0.7949838444968211,SI:DKEYP-79B7.4,1.2303522749688591,ZNF185,1.0971290511912648,SP5L,0.9748358039601738,FAM78BB,0.8071910152457588,SI:DKEY-13M3.1,0.6657861305203137,FAM133B,0.7432610720508108,DACT2,0.6792954241947513,CABZ01111915.1,0.6398034240520345,HCK,0.7695557825271768,BX511215.1,0.6559449368832814,ISG15,0.6472776296034116,NPLOC4,0.5188161134650279,DUSP4,0.5604731057038482,CNOT4B,0.6679975224645139,UPK1A,0.5756392339888178
24,CDK12,0.7881922912302511,CPE,1.1849757121706033,FTR82,1.095139266501715,MSX3,0.9718370482457743,BX901907.2,0.7965562446570854,HS3ST3B1B,0.6630718397507657,RPL27,0.7415828813513107,RASGEF1BA,0.6666073438715089,FAUA,0.6391039963120887,SI:DKEY-58J15.10,0.7643082773100827,SI:CH73-36P18.5,0.6486480787958475,LNX1,0.6458227205832824,GDF3,0.5177952541430616,ANXA1A,0.5491070612201039,FHDC3,0.6630425337305709,MYLK4B,0.5604076138299267
25,PRKAR1AA,0.7823056147616372,CR318603.2,1.1754983032273183,PERP,1.0886563896870902,ARL4AB,0.9698484404389278,RBM4.3,0.7956378150402243,SI:CH211-105D18.7,0.6613256288992833,U1,0.7404783231442624,ALCAMB,0.6561429955284738,SI:DKEY-23A13.4,0.6324310791603841,CABZ01009880.1,0.7556453214655522,SI:DKEY-261M9.12,0.6325147774566676,RASL11B,0.6073295632026507,CU655961.2,0.514980724165944,CR361561.2,0.5457524371899825,ANKRD12,0.657526387397614,SI:DKEY-28A3.2,0.5591369969036877
26,KLF2B,0.7815973223407662,HUWE1,1.15242952065613,ELOVL1A,1.0835017540671723,LEF1,0.9490430792424788,ALDOB,0.7912784637930018,DUT,0.6604068496306464,RPL12,0.7404396247496887,SLC38A5B,0.6507947592047504,RPS15A,0.6324204806541547,PHYHIP,0.7491444952114761,SI:DKEY-13M3.1,0.6312136398479214,RGS20,0.6025333960065717,CTH1,0.513439296829081,TARS2,0.5446455793893558,SLC25A25A,0.6440802281954625,GBP3,0.5504310511297444
27,SI:DKEY-108K21.26,0.7788079157138945,SETD2,1.1492273691081947,GATA3,1.0834423909288562,VENT,0.9138343791452497,ZGC:173702,0.7855300935155055,SI:DKEY-60A16.4,0.6576202640073902,SI:DKEY-153M14.1,0.7400909656062564,IER2,0.638702862840113,RPS2,0.631741973369157,FTR36,0.7461023881817997,CA9,0.6274000163440866,GADD45AA,0.5865683427598377,FHDC3,0.510588485207874,SI:CH1073-205C8.3,0.5427605997191213,PGK1,0.6403802301563409,SI:CH211-166A6.5,0.5501519208863748
28,DUSP6,0.7726830719957632,ZNF1080,1.1327118147034636,FTR83,1.083068060239637,SI:DKEY-261J4.5,0.9076969000434895,ZNF986,0.7819335140989119,NUDT4A,0.6536909407423426,SI:DKEY-261M9.17,0.7383657238849927,FAM13A,0.6381220636332785,PRDM14,0.6291653067749414,LAMC1,0.7442266703146052,SI:DKEY-108K21.12,0.6201949553755923,RPS27.2,0.5763682189659955,HSP70L,0.5093890325167998,CABZ01002768.2,0.5382988133314811,MYCLB,0.639262119478267,CSF1RB,0.5430633498348888
29,SI:CH73-368J24.14,0.7646767976802805,ZNF1057,1.1071018434921966,CLDNF,1.0743244826586758,SPRY2,0.884825023137753,SI:DKEY-16M19.4,0.7708951807029953,SI:CH73-240M14.2,0.6483966375369086,RPL23,0.7353530819558681,SP5L,0.6352940741062718,RPL6,0.6281742759541228,KLHL22,0.739477332977393,PAN2,0.6201669235250684,ZGC:92360,0.5574610414079276,CLDNG,0.5059769485234884,FTR82,0.5355937775902688,VAT1,0.6378874285925562,PTPRFB,0.5383832204140439
