,0,1,2,3,4,5,6
SI:DKEY-153M14.1,0.6159828293366573,0.0,0.15827753096609695,0.07529866578872489,0.0,0.06429302845683484,1.0176293111006607
FXYD6,0.6512248031679605,0.2529083041841741,0.24197147028800053,0.1888104510212042,0.13041615211001295,0.18684431387461528,0.725008754472294
ZGC:158463,0.699985061543322,0.0,0.12217239923655324,0.1256505251696114,0.0,0.1169924980428812,0.9500979799225189
SI:DKEYP-3B12.10,0.5264371626063535,0.0,0.16624792623858026,0.0974027516382999,0.0,0.10851752044122032,0.9103153064568357
C1QB,0.5194707628423902,0.48449917005462545,0.26016841632290205,0.23072628044461954,0.09872506452393774,0.1017007209498421,0.8575523373575423
SI:DKEY-108K21.12,0.49429004987096903,0.0,0.0,0.13666763695797793,0.0696850613511351,0.09300583383294773,0.9999107745789341
SI:DKEY-16M19.4,0.927203212190641,0.0,0.0,0.2766920795107588,0.0,0.0,0.6625262692960806
ARL14,0.724196241285506,0.5328320261817022,0.18289707877474898,0.24809895506022475,0.22668149180681402,0.026818059429596856,0.49804006687207475
OTUD4,0.6473648206994277,0.0,0.21968343200291665,0.1569806688081724,0.0,0.09311934912593747,1.1788232438928616
RAB34B,0.712288832994355,0.0,0.2328171934958066,0.4923294603578669,0.0,0.06650901989025641,0.5955950669750977
SI:CH211-267E7.11,0.7988843133951763,0.0,0.23478667264462752,0.658806598446537,0.0,0.0004893595504961796,0.5863028325305226
SI:CH211-130H14.6,0.9056424809889309,0.0,0.058914880817145965,0.1468170963625114,0.0,0.062226659324672966,0.5894042860197533
SI:CH211-195B11.4,1.0088554978675828,0.0,0.1929730057155712,0.1860925266202632,0.0,0.04563464684365744,0.5180744707164398
SI:DKEY-261M9.17,0.5111508767578449,0.0,0.0,0.0628942689356432,0.14243697362374133,0.29742691146620776,0.8939905556705475
CR450785.2,0.991444325235371,0.0,0.0,0.07031732510998973,0.09430835270810439,0.06422736176375757,0.4067992477168235
CFD,0.7022587086230149,0.7297222139870774,0.004233375954886723,0.2380811957635997,0.25749534535269,0.0,0.4209556294017128
BX640584.2,0.9885946359212122,0.0,0.0,0.007393179186170286,0.08142191650227688,0.08531732828891846,0.3750103294242705
SI:CH1073-418F12.2,0.8553899302521905,0.0,0.007991788675827234,0.11347278662119491,0.024527309997514568,0.04678228429210054,0.4518482469581232
SI:CH1073-159D7.7,0.5155897555860887,0.015376417321104648,0.1312583758311553,0.21247487189554617,0.19624178409037474,0.5906236349160002,0.896490971786516
DUT,0.6872307212931112,0.0,0.1829518295847419,0.12379893008092047,0.06989972243044588,0.0,0.9444185470354078
ZNF981,0.7762017416678513,0.0,0.0,0.2641517656964484,0.11380958856589804,0.04132666277238937,0.49303954727362465
SI:CH211-113A14.16,0.7115738609136055,0.00018972105837033874,0.019987782269352838,0.2200338374098589,0.04916195661554187,0.22319374994282565,0.9340401805585374
SI:DKEY-6D5.4,0.8344691880884888,0.0,0.2444763391223765,0.6515206540266616,0.0,0.011444594564718235,0.5830153640624887
SI:DKEY-23A13.15,0.3760625187299413,0.018885799222267807,0.0,0.24100084002043612,0.4601725254650201,0.3924774711524949,0.9689371036031611
ADGRE10,0.9264649916242735,0.0,0.20922560186755562,0.05865764450286566,0.31987701953849407,0.020789192645461616,0.4412666332747273
CU655961.2,0.6024321246105075,0.0,0.07424661138422362,0.15076585766014866,0.29652523756290966,0.0,0.5663756579301384
SI:CH211-190K17.31,0.9738794597836018,0.0,0.0675202919982631,0.1591172992258069,0.11308644163382144,0.1060019954659786,0.4076160356984749
SI:DKEYP-3B12.8,0.41645462322407645,0.0,0.0,0.11831837675265902,0.0,0.17020274288769555,0.6828393604993657
FAM78BB,0.8947188057973512,0.0,0.05981256888466344,0.17965268539631266,0.06359219497121381,0.0,0.5826027394009468
CABZ01111915.1,0.9110377082125122,0.0,0.08446920869294273,0.20614722630084936,0.0,0.0,0.25001626033396945
WDR21,0.8514946521663231,0.0,0.0,0.07245718372998391,0.2915750543067844,0.22129191883546143,0.2864973344158822
SI:DKEY-95P16.2,0.9742939650682189,0.03587927919881989,0.03248225902665446,0.32634199376479117,0.0,0.0,0.585121277047896
NCALDA,1.0283081384573596,0.0,0.09819665969537197,0.14645527631327707,0.29547246155731455,0.07417740404231954,0.43816124112559024
SI:DKEY-15H14.4,0.9602582567714701,0.0,0.033426098002456765,0.0712340002957647,0.11107932902662503,0.0,0.44181987777153103
SI:CH211-117M22.2,0.4850546946973222,0.0,0.20395927764643002,0.03904628868184518,0.08514271915333972,0.043654252638051116,0.9933506677608951
SI:DKEY-23A13.18,0.4552676885634707,0.5940690436455159,0.10791347677408845,0.27716823078807934,0.17303537122216495,0.38547755148621926,0.703924922825242
NDUFB4,0.7187677070931585,0.0,0.013079006087828325,0.06646523696381518,0.05900753386513044,0.0,0.24778382857633033
MCL1B,0.7047232900462173,0.012419987472032096,0.4694445029508227,0.2137625424020761,0.3304880258637839,0.12161518180951253,0.47514170859495797
RPL6,0.8298856197931292,0.029585023044094105,0.16232306615375566,0.30307598770183575,0.05479415576294971,0.0,0.7588831246411352
PDIA3,0.6802639785013729,0.0,0.011779839704914457,0.3073263690827752,0.2592738267921968,0.17409427470121566,0.7149033664045267
SI:CH1073-190K2.1,0.3740551867067393,0.0,0.0,0.09958201278392888,0.0,0.24685720656959606,0.8509944739153902
SI:CH1073-26E8.2,0.5838218984700967,0.0,0.0,0.03555379527070585,0.10765884802649806,0.09566744006552304,0.4971980812491461
