,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
19,PALLD,0.767518995810147,SI:CH211-241E1.5,1.297127032003317,ZGC:193505,1.1961107007293474,NHSL1B,1.0173364415930901,KLF2B,0.7523651119238911,FTL,0.6897133177585527,RPL39,0.7156770496352184,GRA,0.7147542925190402,FAUA,0.6881022555391502,JAKMIP2,0.8305444670915991,SI:CH211-113A14.16,0.8115874813778893,IGF2A,0.6602412219450048,SI:DKEY-146C18.5,0.8139205565301003
20,ULK1B,0.762324116349304,HUWE1,1.271438979478188,ZNF185,1.1942556000055262,SP5L,1.0144192793606082,GRA,0.7430465859525864,SI:CH211-147G21.5,0.6885931353966619,SI:DKEY-151G10.6,0.7037599233054418,LFNG,0.7115928698840448,RHEBL1,0.6850371841104341,TNFAIP8L2A,0.8299977035811658,SI:DKEY-97L11.1,0.8105379224022418,ISG15,0.6601924967398672,PRMT1,0.8039744939696404
21,LFNG,0.751225991620255,CPE,1.2669452743434992,SI:DKEYP-67A8.4,1.188851497564169,SZL,0.9841384063253439,ZGC:158852,0.7334936101436459,SI:DKEY-13I19.8,0.6880708465713462,STM,0.7011776622171201,SP5L,0.703121050168895,RPS2,0.6847621789961112,SCOCB,0.8165364070227589,SI:CH211-113A14.18,0.8028159373045429,BCL3,0.6569120996894199,WEE2,0.8020998694815649
22,KAZALD2,0.7504368604142401,ZNF1068,1.260979573968629,GRHL3,1.183319137272135,HER1,0.983166669710017,SLC25A25A,0.7321681882359673,MKRN4,0.6864323371844845,TMEM258,0.7004525951471193,LRIG3,0.6976932221199272,SI:CH211-195B11.4,0.6834171296751397,KCTD5,0.8147036406396946,CA9,0.8016513327028874,E2F7,0.6503363935215761,SKP2,0.7942622645035619
23,VENT,0.7483852101177327,DDC,1.260518104535346,PLEKHF1,1.1744453239952306,MSX3,0.9802020290180876,MID1IP1L,0.704681809471578,SI:DKEY-5I16.2,0.6862881960201673,U1,0.6938463094337166,ETS2,0.6751345094042093,FZD7A,0.6817372377881455,RHD,0.8015886258745771,FP236812.2,0.7811690863338804,PLEKHN1,0.6486542716698731,SI:DKEY-199M13.4,0.7877778298592282
24,INSM1B,0.7471227471970194,SI:CH211-168H21.2,1.2562647115963483,FUT9B,1.170248090527294,ARL4AB,0.9530900659738356,SI:RP71-45K5.2,0.7033985836394602,EMC6,0.6698243461088977,EGFRA,0.6913894460967256,TIAM1B,0.6714649028192354,RPL6,0.6796092595745917,CABZ01009880.1,0.8004208510097106,SI:CH73-36P18.5,0.7797514234038958,LNX1,0.6422591785396465,RAC1A,0.7821959816337128
25,ZGC:111868,0.7390119745819178,SI:DKEYP-79B7.4,1.230185595756382,FTR82,1.1590060670412659,LEF1,0.9494058622562921,RRBP1B,0.6925738112853368,NCALDA,0.6624628475266934,RPL35,0.6913407397329124,FSCN1A,0.6705872465735783,RGCC,0.6755616551168392,ARID3A,0.7974687633661547,BX511215.1,0.7749054956376977,RASL11B,0.6246565220230951,BX640584.2,0.7780250725604011
26,BAMBIA,0.7348521261365687,CYR61L2,1.228082814280511,CYT1L,1.152100081751117,PRICKLE1B,0.933768212681419,MAP7,0.6868097406792745,WEE2,0.6621430129028086,RPL27,0.6887056291470794,PRDM14,0.6671339912900981,SP5L,0.6748526121143477,FTR36,0.7890989387611399,TM4SF19,0.7730137594908634,RGS20,0.6037311270095419,SPAW,0.7733662973688876
27,VGLL4L,0.7347397606867403,CR318603.2,1.1859692203165055,KLF17,1.1479444952872413,VENT,0.9112469147040952,BCL2L10,0.6837478053959496,SI:DKEY-19C16.12,0.658451755549102,PSMA4,0.6874728141636185,DDX4,0.6543765879898163,SLC38A3B,0.6748021602402615,UPK1A,0.786939740072738,ZGC:158463,0.7660566655398166,RPS27.2,0.5918042272122676,FAM78BB,0.7686005115529966
28,KRCP,0.7284773303065589,SETD2,1.183512205477066,ELOVL1A,1.1330000327933305,DRL,0.8861115835203789,LSM4,0.6811684637469655,SI:CH211-105D18.7,0.6576100631785083,PROCA,0.6788771546048198,KIF26AB,0.6483816512738494,CRABP2B,0.6719743843353474,SI:DKEY-58J15.10,0.7847903010929947,WDR21,0.7631407184599435,GADD45AA,0.5837077134552499,ASB11,0.7625091367869539
29,MAP3K1,0.7280811781082067,ZNF1080,1.156171105010939,PERP,1.1299122315653167,SPRY2,0.8804181494928393,LASP1,0.6775917426489649,GTF2H5,0.6554171085164952,UQCRH,0.6762748693644137,RASGEF1BA,0.6409223466357424,SOX19A,0.6705563566647789,KLHL22,0.7716091379405845,SI:CH211-113A14.26,0.7563807597200265,ZGC:92360,0.5540964119957706,MCL1B,0.761765741481923
