,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
17,ZNF995,0.8712874512099105,CABZ01001464.1,1.318237522347307,ZNF185,1.2220338033413267,ZIC2A,1.0647607642957182,ZGC:56231,0.805108499902206,SI:CH211-171H4.5,0.9743642191819584,SI:CH211-194E1.8,0.7947941792867359,ETS2,0.7096481440563179,SLC38A3B,0.7449510134206668,IGF2A,0.6909778289244738,SI:DKEY-261M9.15,0.9108398489527287
18,ADGRE10,0.869999498922652,SETD2,1.2453062775079489,MGLL,1.2068188769481751,SP5L,1.0621110722813465,MID1IP1L,0.8023688042736508,JAKMIP2,0.9721243739877911,SI:DKEY-23A13.4,0.7937301666948648,SP5L,0.6969972178687404,ADD3B,0.7388917086646907,SI:DKEY-204L11.1,0.6702941342702101,ENSDART00000172356,0.90900464196435
19,ZNF1040,0.8676656288511125,CYR61L2,1.237814032787686,CLDNB,1.196545308526983,HES6,1.0485563616358247,CHD6,0.7875837310328192,GBP3,0.9680558324103434,TOP1L,0.7912540183307336,TDGF1,0.689722831930505,GNL3,0.7362559391845119,E2F7,0.660564148067831,HIST1H4D,0.9029944399586609
20,SI:DKEY-146C18.5,0.8642528351301901,KLHL22,1.2321101625121962,EVPLA,1.1860027433847409,NHSL1B,1.045209864189476,RGS14A,0.7851641107183225,SI:DKEY-58J15.10,0.9651646526591365,RNASEP_NUC,0.7873378095839906,FAM13A,0.6748995613703118,HSPB1,0.7327529581644118,SI:CH211-239D6.2,0.6573545405413193,ZGC:158463,0.9025629473127118
21,WEE2,0.8526509901609028,SI:CH211-241E1.5,1.2138676847051013,SI:DKEYP-67A8.4,1.1833825165351088,PRICKLE1B,1.0198766199257814,SLC25A25A,0.7845110185295165,TNFAIP8L2A,0.9637195381597592,SI:DKEY-23A13.15,0.7808856806082464,AMOTL2A,0.6466694258867998,LSM8,0.726180733027934,SNX11,0.6478048053909328,SI:DKEY-261M9.12,0.8823580884011966
22,ZNF986,0.8492633028977253,PCNT,1.2074110017923991,KLF17,1.173277855820352,HER1,1.0026644697386198,ZGC:158852,0.7669657312699744,PLECA,0.959103579363098,EPCAM,0.7805675373281978,SOX2,0.6457606435370062,ZGC:109934,0.7168760547805447,BCL3,0.6418223549524278,OTUD4,0.8706863712136207
23,ASB11,0.848120771898051,SI:DKEYP-79B7.4,1.182870749306083,FTR82,1.1680730714784957,MSX3,0.9779937524549707,NCOR2,0.7530582883842917,RHD,0.9371434747390109,C1QB,0.7792726976456951,RASGEF1BA,0.643783554604597,NNR,0.7135111112242938,ISG15,0.6391615505748526,SI:DKEY-97L11.1,0.8685406266575196
24,DDX17,0.8461932770617796,POLR2A,1.1776941022891856,GRHL3,1.1678180806859424,ARL4AB,0.9500930160642538,BCL2L10,0.7528486558731969,UPK1A,0.9303225633051768,CLDND,0.7784524332788427,KIF26AB,0.6202875849595545,RPL35,0.7121732839506121,RASL11B,0.6344659801581692,SI:DKEYP-3B12.10,0.8647390522168522
25,RAC1A,0.8459142098145107,NRXN1B,1.1772470194745976,PLEKHF1,1.163379267149971,ZNFL2A,0.9450319801574327,RRBP1B,0.7290675434455219,RNF213,0.9274297558052897,SI:DKEYP-3B12.7,0.7696300486113754,SESN3,0.6161846304035551,LHX5,0.7089851313909831,LNX1,0.622469153746,TM4SF19,0.853626404738578
26,SKP2,0.8353350948023893,MLXIP,1.1575967966995844,FUT9B,1.1598766081044347,SZL,0.9342977928017444,RAD18,0.728164853683664,BAALC,0.9152065793337879,SI:DKEY-13I19.8,0.7623456633736307,HIGD1A,0.6140494338558694,H2AFX,0.7058570559380811,RPS27.2,0.6185064241138163,ZGC:163040,0.8535527233550844
27,FAM78BB,0.834499344283074,ASPM,1.1566256015575314,PERP,1.1220279002102092,LEF1,0.927338248555135,RPAIN,0.7257345245823791,NR6A1B,0.9079821719666339,RPS17,0.7557542898769066,NET1,0.6120674109327346,RPLP1,0.6983151046808973,RGS20,0.6158718892711246,ZNF1125,0.8532189806778617
28,BX511215.1,0.8309279994313289,ZNF1068,1.1537892975530422,CYT1L,1.1210335005032372,LAMB1A,0.893779663893201,LASP1,0.7252196758835177,RNF220B,0.9039872534690818,PSMA4,0.7550462670939599,LRIG3,0.6054833124057405,FZD7A,0.6978993585812466,FOXI1,0.6147895385833799,SI:CH211-113A14.16,0.8491313964087266
29,SI:DKEY-156K2.3,0.8262950968416262,SI:CH211-168H21.2,1.1459664073835147,ELOVL1A,1.1198303425661862,WNT8A,0.8937372163137098,FKBP8,0.7247360122742387,CABZ01009880.1,0.8976067791726192,CLIP4,0.7536864169036764,CABZ01084942.1,0.6030388012057313,SI:ZFOS-44A5.1,0.697385927625887,GADD45AA,0.5767237936984578,SI:CH73-36P18.2,0.8455354141286442
