,0,1,2,3,4,5,6,7,8,9,10,11,12
SI:DKEY-153M14.1,0.0,0.0,0.1244437487074433,0.0,0.0,0.0,0.5802310065181487,0.0,0.9038294273252249,0.08959470640732649,0.4786574177022853,0.47262597590874195,0.2596486898514233
FXYD6,0.0,0.2980719587145184,0.23496153811072895,0.1037456612230936,0.06453893905362354,0.11245853630165625,0.6853847919241502,0.09483500573488678,0.3978181133913425,0.2933826118832322,0.2705136089379698,0.6944626520644479,0.12625043467551686
ZGC:158463,0.0,0.0,0.14044709283043544,0.00787651977972736,0.0,0.0,0.5279307019844959,0.0,0.8919964332551661,0.11824820819437501,0.5712051887840358,0.5622524126480904,0.15482175314524624
SI:DKEYP-3B12.10,0.01939177983805989,0.0,0.17005353679036547,0.0014027841732896715,0.014771924423366329,0.0,0.46187793630847246,0.0,0.9505853685855513,0.17120040123754754,0.46309684773048265,0.3366555388785453,0.1328541808379458
C1QB,0.10820245383952672,0.5096186741117457,0.22702791740813313,0.15090965247297106,0.039032127667722724,0.0769812549345646,0.6171629630092061,0.03134001149156192,0.6342199673806628,0.15259807307329987,0.255864741237987,0.5125395051712414,0.1695813961683038
SI:DKEY-108K21.12,0.0,0.0,0.0,0.04451271172366767,0.037806056911609424,0.0,0.5320531468408111,0.0,0.7944449194842947,0.20035188037616591,0.6536156846623025,0.3611175807163539,0.10280028018856315
SI:DKEY-16M19.4,0.006664418361952293,0.0,0.0,0.13212608293129804,0.0,0.0007428326322777599,0.33924755746951407,0.07963601998747105,0.7942991604331432,0.047278616130230655,0.16713008473435906,0.9721350706834145,0.0
ARL14,0.13810236198787018,0.45253545712455895,0.12967532560763947,0.19899664830884028,0.2804387566414332,0.11185110483884743,0.3101446255044183,0.31589335861273476,0.4506223881807163,0.0846745471285186,0.11372014551666344,0.6356405257570954,0.1338992855708536
OTUD4,0.0,0.0,0.20342464146871408,0.046507345266832895,0.0,0.0,0.6597627881824336,0.0,1.0014467996945073,0.12333378837730784,0.5811406863748032,0.5190350199529328,0.25218513577515134
RAB34B,0.0,0.0,0.3264284370222446,0.3793400680710494,0.0,0.0,0.481011828111651,0.0,0.2920166086964104,0.10224890027606129,0.47936911799602966,0.7619941807113619,0.0
SI:CH211-267E7.11,0.0,0.0,0.31259871474472845,0.5172423188053967,0.0,0.0,0.44223940873930806,0.0,0.35779844175910724,0.21346366832292266,0.42968996387305586,0.838929109728071,0.0
SI:CH211-130H14.6,0.0,0.0,0.04208403403914808,0.03526220048955442,0.0,0.006152820703510713,0.38313537474363896,0.12169274762084707,0.5306426542913739,0.1056324311996575,0.40570983194876287,0.8375035365474185,0.15673812147704258
SI:CH211-195B11.4,0.04540091400478792,0.0,0.15359862898342602,0.08067883517888379,0.0,0.0,0.39594505976867395,0.20101498656773784,0.491384085952397,0.14263902835696174,0.3000263628162833,0.885924047769318,0.2387945935014303
SI:DKEY-261M9.17,0.0,0.0,0.03916976165525287,0.0,0.0,0.0,0.04789187272059271,0.0,0.7016062552576808,0.08248954389348699,1.6214806629419716,0.33919169859343345,0.0
CR450785.2,0.06443742931812751,0.0,0.003218981269013282,0.0,0.0,0.0,0.33272757567055183,0.0,0.24860915336724926,0.05689071757858843,0.5551357134684275,0.9695851283614705,0.1673025088316845
CFD,0.32453742647386463,0.664719088003955,0.0,0.1987806461496015,0.19823393976914888,0.0,0.2780491442783442,0.22637110895058363,0.36881433574406114,0.037809527876697856,0.1880548910758453,0.5622769027353356,0.13200098398539406
BX640584.2,0.09105806170108736,0.0,0.0,0.0,0.003681709536704038,0.0,0.5060761583755313,0.02536910637551056,0.09117158095956099,0.15044282137239165,0.30088892551335433,1.0120820602116611,0.13341101151594964
SI:CH1073-418F12.2,0.0,0.0,0.0,0.027961647752730946,0.0,0.0,0.43261152066143976,0.0,0.26821320491766226,0.20674633652148933,0.2976692864698337,0.8343399428546692,0.28847955152427046
SI:CH1073-159D7.7,0.24455607988990702,0.0,0.11257167864414809,0.09679531012482737,0.09310647381284015,0.2670291817790431,0.3595704207802967,0.09488576531451634,0.8933283473181,0.0592010398292678,1.0153468478331447,0.2312881013363778,0.19183609935703247
DUT,0.0,0.0,0.17529645372257505,0.04805214661490899,0.03193860362392606,0.0,0.678104566294726,0.036193358954076014,0.7007135183513992,0.15980966577488373,0.3546777437742198,0.5913222082351598,0.24026092929633527
ZNF981,0.0,0.0,0.020455157304652912,0.15578889316531738,0.030291550669321123,0.0,0.3754416430088749,0.07018767976054448,0.35474080540734443,0.0,0.5649649861782475,0.7432362987321712,0.0
SI:CH211-113A14.16,0.09982436689074235,0.0,0.0043476792263413225,0.06175843730426896,0.0611576395215288,0.1333836257027938,0.3662552451541124,0.07441895233684735,0.990658360561219,0.07539162423025565,0.6395490226319345,0.5790155005410014,0.0
SI:DKEY-6D5.4,0.0,0.0,0.32107999384938263,0.5044636964584024,0.0,0.0,0.43652020216364545,0.0,0.36166224780695005,0.20952064712159899,0.40765095409618857,0.9091844496446277,0.0
SI:DKEY-23A13.15,0.0,0.1811020936490594,0.0,0.09584428522048223,0.16620648157265744,0.0,0.6243979467024938,0.0,0.5533087099883931,0.2404462551556823,1.1545062051638018,0.3819437325366429,0.0
ADGRE10,0.0,0.0,0.1451603603993157,0.0,0.2699823194762936,0.0,0.39539666197695217,0.02308553289123602,0.27638277841737086,0.09777457208824332,0.3652270471072846,0.9754122276578698,0.30295273334990425
