,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10
17,ZNF995,0.8712921413757078,CABZ01001464.1,1.318238913785353,ZNF185,1.2220361396952175,ZIC2A,1.0647628543676197,ZGC:56231,0.8051095609293347,SI:CH211-171H4.5,0.9743651020348206,SI:CH211-194E1.8,0.7947946936655716,ETS2,0.7096483589032097,SLC38A3B,0.7449500997287396,IGF2A,0.6909775051376388,SI:DKEY-261M9.15,0.9108330310487519
18,ADGRE10,0.870004253757451,SETD2,1.2453076569376136,MGLL,1.2068212916857777,SP5L,1.0621134113137873,MID1IP1L,0.8023698287743307,JAKMIP2,0.9721257074497206,SI:DKEY-23A13.4,0.7937304363615983,SP5L,0.6969972951749132,ADD3B,0.7388910092066543,SI:DKEY-204L11.1,0.6702937765375323,ENSDART00000172356,0.9089990667079617
19,ZNF1040,0.8676702217341995,CYR61L2,1.2378152699769707,CLDNB,1.1965476627176213,HES6,1.0485586428409026,CHD6,0.7875851192014663,GBP3,0.9680575741159032,TOP1L,0.7912544212253343,TDGF1,0.6897230956611387,GNL3,0.7362549624616463,E2F7,0.6605637350825204,HIST1H4D,0.9029882203719527
20,SI:DKEY-146C18.5,0.8642576770506595,KLHL22,1.23211152317856,EVPLA,1.1860051113031136,NHSL1B,1.045211866242618,RGS14A,0.7851656070208167,SI:DKEY-58J15.10,0.965165651641301,RNASEP_NUC,0.7873388680304212,FAM13A,0.6748996219914004,HSPB1,0.7327524287734714,SI:CH211-239D6.2,0.6573541631339616,ZGC:158463,0.9025568183465061
21,WEE2,0.8526558514346411,SI:CH211-241E1.5,1.2138689477228704,SI:DKEYP-67A8.4,1.1833849478386667,PRICKLE1B,1.0198787590020093,SLC25A25A,0.7845120659395243,TNFAIP8L2A,0.9637203921562536,SI:DKEY-23A13.15,0.7808865692320778,AMOTL2A,0.6466696192962986,LSM8,0.7261799951524951,SNX11,0.6478044708391097,SI:DKEY-261M9.12,0.8823527943515113
22,ZNF986,0.8492676334856397,PCNT,1.2074124450178045,KLF17,1.1732800934299796,HER1,1.0026663628591443,ZGC:158852,0.7669667341200296,PLECA,0.9591055447722012,EPCAM,0.7805681457904473,SOX2,0.6457608318841259,ZGC:109934,0.7168751409204975,BCL3,0.6418219906044383,OTUD4,0.8706798191101743
23,ASB11,0.8481253934467639,SI:DKEYP-79B7.4,1.1828721243422609,FTR82,1.168075407198408,MSX3,0.9779956434329922,NCOR2,0.7530592888833348,RHD,0.9371441459774995,C1QB,0.7792731612552484,RASGEF1BA,0.6437837607384094,NNR,0.7135104508001813,ISG15,0.639161178296065,SI:DKEY-97L11.1,0.8685358917416144
24,DDX17,0.8461977262565469,POLR2A,1.1776953620446549,GRHL3,1.1678204943860144,ARL4AB,0.9500947674600361,BCL2L10,0.7528498045082631,UPK1A,0.9303239760681514,CLDND,0.7784532357239107,KIF26AB,0.6202875353121452,RPL35,0.7121723241724661,RASL11B,0.6344656763781426,SI:DKEYP-3B12.10,0.864733196320363
25,RAC1A,0.8459186277069273,NRXN1B,1.1772479804273515,PLEKHF1,1.163381592985551,ZNFL2A,0.9450341590064427,RRBP1B,0.729068708825868,RNF213,0.9274305744122795,SI:DKEYP-3B12.7,0.7696306411262567,SESN3,0.6161845860176576,LHX5,0.7089833691758467,LNX1,0.6224688089199127,TM4SF19,0.8536217855116763
26,SKP2,0.8353393830785485,MLXIP,1.1575981693480781,FUT9B,1.1598789134838914,SZL,0.9342996468659445,RAD18,0.7281661747606214,BAALC,0.9152075637722046,SI:DKEY-13I19.8,0.762346293584482,HIGD1A,0.6140497146107451,H2AFX,0.7058557490265278,RPS27.2,0.6185062099095971,ZGC:163040,0.8535471993476749
27,FAM78BB,0.8345038092147646,ASPM,1.1566268674570312,PERP,1.1220301334365732,LEF1,0.9273399625152963,RPAIN,0.7257356907707179,NR6A1B,0.9079832319413049,RPS17,0.7557546918270379,NET1,0.6120676047604118,RPLP1,0.6983143244925828,RGS20,0.6158715882411315,ZNF1125,0.8532141269987181
28,BX511215.1,0.8309326560694702,ZNF1068,1.1537904797229808,CYT1L,1.1210357911599926,LAMB1A,0.8937812842632816,LASP1,0.7252206335835674,RNF220B,0.9039882228343535,PSMA4,0.7550462769313994,LRIG3,0.6054834363469533,FZD7A,0.6978981839998204,FOXI1,0.6147893049560387,SI:CH211-113A14.16,0.849125286911338
29,SI:DKEY-156K2.3,0.8262991811782664,SI:CH211-168H21.2,1.1459675849721718,ELOVL1A,1.1198326410024093,WNT8A,0.8937389941188613,FKBP8,0.72473718567982,CABZ01009880.1,0.897607914896415,CLIP4,0.7536868495993209,CABZ01084942.1,0.6030389711829622,SI:ZFOS-44A5.1,0.6973848001132607,GADD45AA,0.5767234547358304,SI:CH73-36P18.2,0.8455306814725726
