,0,1,2,3,4,5,6,7,8,9,10
SI:DKEY-153M14.1,0.3320809290851799,0.0,0.20507913676997241,0.014051125752942257,0.0,0.0,0.7465115467741249,0.0,0.3488730808794876,0.10761664699401048,0.78347102611915
FXYD6,0.49765746525764665,0.19368805643469816,0.24635637825194664,0.21992786865773153,0.09873895258326924,0.1562999498985911,0.6524197516806651,0.12906113575312828,0.35876026490690077,0.25078384914310625,0.3634082362253054
ZGC:158463,0.35129872555316277,0.0,0.16898107087714961,0.03975238542699801,0.0,0.0,0.6432953672826377,0.0,0.4036862389444851,0.13461882768410563,0.9025568183465061
SI:DKEYP-3B12.10,0.1262477849805843,0.0,0.20350890500982627,0.0,0.0,0.0,0.5841317032909423,0.0,0.4416943613277691,0.18736252732987566,0.864733196320363
C1QB,0.33626742154848677,0.4067563846754851,0.2762431386813798,0.28268485571297414,0.09263129576132786,0.12064511987633855,0.7792731612552484,0.15267602032644753,0.4330103132441935,0.15514419559494896,0.27480180148004757
SI:DKEY-108K21.12,0.19852825766192098,0.0,0.0,0.07088266649274028,0.04710419020610153,0.0,0.7231945925987876,0.0,0.27925791865105565,0.18656108181478975,0.8445846158268717
SI:DKEY-16M19.4,0.6077497452331376,0.0,0.0,0.2646859091575361,0.0,0.0,0.5392243020130552,0.0,0.7456110035069605,0.08578434153732221,0.3448701296876398
ARL14,0.44334569190543605,0.3638196797064983,0.16829154211065964,0.33253026985337303,0.3119344176201603,0.11159640487504165,0.42096661102154087,0.4099236947576748,0.5813436874634659,0.12424303240193953,0.08584361541269353
OTUD4,0.3464040545326797,0.0,0.28843842742458764,0.09271997711066397,0.0,0.0,0.8997452099533967,0.0,0.3450657799724953,0.13207333928781168,0.8706798191101743
RAB34B,0.5329744113131768,0.0,0.28189225911175,0.42918701933203557,0.0,0.0,0.4152862475653659,0.0,0.15529795038069805,0.08716618789671256,0.6969901763301879
SI:CH211-267E7.11,0.5658771992911565,0.0,0.2554906563017158,0.5801247553790349,0.0,0.0,0.3661908841310457,0.0,0.25834610986838463,0.1963641618592543,0.6843865504641922
