,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
0,SI:CH1073-80I24.3,1.0405241761994557,LYRM1,2.4077380458874633,KRT18,1.294253878994427,TA,2.3669086555558048,SI:DKEY-1D7.3,0.7685953426826642,SI:CH211-242H13.4,1.3704658653995345,SI:DKEYP-3B12.7,0.9107138434684939,CHD,1.793946193052682,FP236812.2,1.0188143164633818,BX546500.1,1.1942850098536955,SI:DKEY-261M9.17,1.471700211240514,PHLDA3,1.3640682042613574,HSP90AA1.2,1.7087043621514573,FTH1B,0.7265228913418321,EGLN3,1.3082473658709122,NANOS3,1.5475039100302181,CLIC3,0.5650200529183733,CAMSAP3,0.8450015061255144,MYT1A,0.7722538584608726
1,SI:CH211-139K8.4,0.9585062643294467,AGRP2,2.072712678048613,KRT5,1.2739991785287725,EVE1,2.094884855798145,SPAW,0.7636021837416339,SI:DKEY-234I14.20,0.9391758061754646,SI:DKEYP-3B12.6,0.8563282993611319,FOXD3,1.339690151239737,SI:DKEY-108K21.21,1.018152987312016,CAMSAP2A,1.1036365110842166,HIST2H3C,1.159885049911809,MDM2,1.138805732032798,HSP70.3,1.137874085094511,SI:CH211-235I11.3,0.6636578933909342,DDIT4,1.1211015780814337,TDRD7A,1.3990711041365504,SPAW,0.5600442477005563,EVPLA,0.7720799514870386,CLUHA,0.7473299249274693
2,SI:DKEY-188C14.4,0.9109964834830694,MYO3A,2.065193164491583,KRT4,1.2723175111584801,WNT11,1.9264910116199285,ACO2,0.63340546537023,RNASEP_NUC,0.9358142565573433,CLIP4,0.8341105231234811,ADMP,1.231126329098872,ENSDART00000172356,1.0104599040436726,SYNGAP1A,1.057008622798395,SI:CH211-113A14.10,1.1145501520413237,SI:CH211-260E23.9,1.0645803840169306,HSP70.1,0.8321829737725946,TELO2,0.6492014183595505,BX324155.1,0.7619466104794034,DND1,1.377837926952019,FUT9B,0.5577704281436981,NRXN1B,0.7523757911984653,SI:DKEYP-3B12.6,0.7350007086788417
3,RHEBL1,0.8470658579750631,RAPGEF6,2.042499072372349,MID1IP1A,1.2700216147581378,CDX4,1.8296369251480131,KRCP,0.6265453829515816,PGAM1A,0.9129104777595352,KIAA0101,0.830115491104544,CDH2,0.955014532592142,ZNF995,0.9884458752229951,SI:DKEY-28A3.2,1.0341008447710582,SI:DKEY-23A13.15,1.0511501815540196,APLNRB,0.9979160451107755,CABZ01080568.1,0.7571396397141081,SLC9A8,0.6451358276639133,BX901974.1,0.7286637171324224,ACTL7A,1.3223359573665425,NCKAP5L,0.5541044672576786,JAG1B,0.7511681703467525,CBFA2T2,0.7326895323262278
4,GDF3,0.8399662546207307,CABZ01084942.1,2.013502301664408,KRT92,1.2523221303827667,ZNF703,1.773334515150975,ZNF999,0.6232701821615542,SI:DKEY-48G21.5,0.9081430629629923,SLC35A4,0.7998849339491187,NOTO,0.9435429248438354,SI:DKEYP-3B12.10,0.9666694949651403,SLC7A8A,0.9919596555932753,ENSDART00000129497,0.991460599309319,FOXO3B,0.9973026959960867,HSP70.2,0.7524625672915133,SI:CH211-117I10.10,0.638582864081952,GBGT1L4,0.7017151702041877,DDX4,1.1061435962632236,GNA15.1,0.5341739623811469,AIM1B,0.745510084685945,SI:DKEYP-3B12.7,0.7175123022013005
5,SOX2,0.8386264223629217,SI:CH73-195I19.3,2.0104926599710606,ZGC:101000,1.2495379525655335,TPBGA,1.5244956000955838,NFYC,0.6129201385773757,PPIB,0.8545476777307811,PRKRIP1,0.7758744952561515,PRICKLE1A,0.883395855188699,SI:DKEY-97L11.1,0.9609692214264357,HS3ST3B1B,0.9394966356516337,ZGC:153405,0.9197393784656865,CTSH,0.9823737303164256,HSPA4A,0.6666590828839322,SRRD,0.6382135954830488,BX005448.2,0.6968483895059826,CA15B,1.0381076601051233,MAL,0.5253584929203634,CPE,0.7036249159751485,FOXI1,0.6898030317931314
6,SI:CH211-222L21.1,0.8217129486120143,ANO9A,1.9185418269229442,CLDNE,1.2442893777421555,AXIN2,1.4971823009966332,CABZ01002768.2,0.61084277748232,SI:DKEYP-55H4.2,0.7974750823867068,SI:DKEY-261M9.15,0.7654789353103575,FOXB1A,0.8787208328158038,SI:CH1073-159D7.7,0.9470301517912221,HSD17B2,0.9167746323663029,ZGC:165555,0.9039727993256297,RBL2,0.9450400699679752,ADGRE10,0.6405466336740722,RAB3IL1,0.6154487457152623,BIRC5B,0.6901110738696704,RGS14A,0.9273400473439622,ELOVL1A,0.521768999320289,SI:CH211-69B7.6,0.7021571897252873,SZL,0.6876436651470503
7,SLC38A3B,0.8159723736078927,ZGC:171775,1.767524194287813,LYE,1.2077702658774605,MSX1B,1.4822915294545729,BX640584.2,0.6086318878473497,EIF5,0.7808855473595789,SI:DKEY-23A13.4,0.7603023335582942,ZIC3,0.8730678146908941,ZGC:158463,0.9065088049501413,PLECA,0.8766895395355391,SI:CH211-113A14.24,0.8989417954611886,BCL2L14,0.8898024797045485,SERPINH1B,0.5930493295603771,KIF18A,0.612095613299969,MCL1B,0.6831492442536732,GRA,0.9118294132819511,STYK1,0.5136998339633522,SI:DKEY-234L24.10,0.699166695185174,SI:CH211-208F21.2,0.676915411870068
8,RGCC,0.798746346544022,TOP1,1.7583051417215854,KRT8,1.20051142293986,SP5A,1.4799763595967643,IDE,0.6079594954909616,CDKN1BB,0.7659941282136498,HSP90AB1,0.757509878170181,GSC,0.8365921937991645,SI:DKEY-47K16.4,0.897123879299933,JAG1B,0.8699487435167025,SI:DKEY-261M9.15,0.846715216465424,SESN3,0.8847849630853322,UGCG,0.5645119751484907,TSG101A,0.6093078010428552,SI:CH1073-190K2.1,0.6651162189325327,BTG4,0.8209839405560251,LYE,0.511232468151189,VPS13A,0.6974163500187408,APOC1,0.6588949514769907
9,POLR3GLA,0.7944314508301528,FNIP1,1.7254534244551856,SI:DKEYP-67A8.4,1.1930433989131664,MIXL1,1.3720405476127369,SI:DKEY-7J22.4,0.6077602479686584,TSR2,0.7174034572025381,OTUD4,0.7476925104992912,FOXD5,0.8354560768966864,SI:CH73-36P18.2,0.867802179779969,SI:DKEY-186O21.1,0.8645329496441546,SI:CH211-113A14.15,0.8392167033574626,TP53INP1,0.8499847581004513,SI:DKEY-146C18.5,0.5611279697457843,FBXO30A,0.6090541669688497,RHEBL1,0.6575596157397504,ICE1,0.8033854913629488,KRT97,0.5112242296303328,MYO3A,0.6845828576456681,BX000364.1,0.635516016111889
10,SI:DKEY-16M19.4,0.7913491129132152,DIABLOA,1.7157453237870834,CEBPB,1.1907929112022286,GBX1,1.2921301422425122,SI:DKEY-238D18.15,0.5976412289517352,EPCAM,0.7166310045205047,RPL27,0.7458354647871516,CST3,0.7915661319213575,TM4SF19,0.8660227572469538,TNFAIP8L2A,0.863963559754015,SI:DKEY-108K21.14,0.8225319850295266,CASP8,0.848382491120708,CU655961.2,0.5598457085348876,WDTC1,0.5941291185005702,SI:DKEY-199M13.4,0.6559921145813712,OTX1B,0.7895942684048979,GADD45BB,0.5107804992836976,CABZ01064859.1,0.681945375323869,SI:CH211-113A14.26,0.6228728310625248
11,MAP2K6,0.7867834713404214,ZGC:173587,1.6592922049649466,CLDN23,1.1763104127545576,ZNF503,1.2374668172601062,ZNF995,0.5907932446117599,SI:CH1073-190K2.1,0.7002451926832188,SI:CH211-194E1.8,0.7446052396580254,IER2,0.7889740899457584,SI:DKEY-188I13.8,0.8361004642374864,CPE,0.8581323757470738,HIST1H4D,0.7878672030968296,SESN1,0.8050566202252514,ZNF1060,0.5503646616050293,ZGC:113425,0.5791244744207421,PGAM1A,0.6389144765200496,SI:DKEY-11O15.10,0.7802620587381691,SLBP2,0.5029885715076743,LYRM1,0.6755654391693925,FP236812.1,0.6215381244319202
12,SI:CH73-1A9.3,0.7837341806410401,HNRNPA0B,1.6503536006939503,SI:CH211-125O16.4,1.1698275625269694,DLD,1.1509027271430183,ZNF1136,0.5797662197492024,PRKRIP1,0.6976662046987981,UQCRH,0.7235601204859058,ZEB1A,0.7464710961975976,SI:DKEY-261M9.12,0.8360243188876842,GBP3,0.8498565417874808,SI:CH1073-159D7.7,0.7393130392485153,CDKN1A,0.771026840727237,GDF3,0.5494628042573152,METTL22,0.5769972063162018,SI:CH211-190K17.31,0.6345176306375748,BOKB,0.770179999828128,MTP,0.49445841552813175,MCHR2,0.6733412349321412,SMAD9,0.6168863940139624
13,PFKFB4B,0.7811011009665579,NME2A,1.5566264604446995,KRT97,1.1659705311920212,IM:7138239,1.1255481738178712,VGLL4L,0.5783970767959304,ZGC:173742,0.6937156868790245,SI:CH211-113A14.16,0.7181187687233466,DACT2,0.746053296585616,ZGC:173652,0.8199131086286586,NRXN1B,0.8460066923437521,P4HB,0.6972622367249304,ZGC:64022,0.7704160672401098,SI:RP71-45K5.2,0.5384453826334605,FGF17,0.5655759411523473,ZGC:173702,0.6259108197622395,SKA2,0.7696919464577245,SLC3A2B,0.4943914526675133,RAPGEF6,0.6635269644691348,ULK1B,0.6014534920161965
14,ALDOB,0.7798426300247728,GPRC5BB,1.5444753270800176,FA2H,1.1607706382157543,APOC1,1.1132552512859821,BMP7A,0.5712367772215525,CPN1,0.6909424589706923,EGFRA,0.7098893761955288,FZD8A,0.7076357470831028,SI:DKEYP-3B12.12,0.8148997772207104,KCNK4,0.8411994849603843,TRIM105,0.6679320608641647,EXO5,0.7215872410278278,ZNF1031,0.5312987149874984,SI:DKEY-93M18.3,0.5645827753388172,ZNF1063,0.6228953682981997,KLF2B,0.7378847423079663,KRT4,0.48924799236320954,CNNM1,0.6446329185161677,WDR77,0.5718376660432052
15,SI:DKEY-95P16.2,0.7786547051806194,PON1,1.3658274057689876,EPS8L1,1.1556493328890893,ZIC2A,1.0670996949562443,BX005448.2,0.5706722605762002,FTL,0.6849811453086316,RPL39,0.7091754691468447,LRIG3,0.680982527644468,SI:DKEY-193H7.5,0.8101974742116346,GRB7,0.8315742670378231,SI:DKEY-261M9.11,0.6538804312847287,SLC4A2A,0.7018215718612371,TULP3,0.5300833789122069,TARS2,0.5549503926172393,BX324179.3,0.6168179778637557,BMI1B,0.7311691484050409,CLDNB,0.48720905538978676,DSPA,0.64437218798872,BMP4,0.5553960962349948
16,SI:CH211-170D8.2,0.7779242769946995,HUWE1,1.319930288910442,CLDNB,1.111248485446372,ATP1B3A,1.0668378527876066,ASB11,0.5638504110634333,VGLL4L,0.6840659433022984,SI:CH211-117M22.2,0.7064891964319066,TDGF1,0.6728359870497113,SI:DKEY-108K21.17,0.8042581749892783,JAKMIP2,0.8184070223437812,GBGT1L4,0.6172697781008033,IGF2A,0.6838986565475959,ERCC8,0.5281063054311899,FTR82,0.5515127415554173,SI:DKEY-15H14.4,0.6068191205302262,TRIM35-29,0.7219013848086906,MGLL,0.4826357118986,UPK1A,0.6266045460732281,OTUD4,0.5233429753883904
17,UBA52,0.7752938478703295,CABZ01001464.1,1.3018797191992302,ZNF185,1.0979227953656439,VED,1.0604265507440007,SI:DKEYP-114G9.1,0.5599191981698383,CLDND,0.6815622130018194,TMEM258,0.7039429714307248,NET1,0.6660047953717378,SI:CH211-113A14.15,0.7982266262773666,SCOCB,0.8045319336139158,BX324216.1,0.6136198806636857,SNX11,0.683756527789051,HSP70L,0.5252428330453044,CECR1A,0.5489426797911809,SI:RP71-45K5.2,0.6030918936321774,CHD6,0.7089789508795098,HSD17B14,0.48069969626532444,PPL,0.6108005239098808,HUWE1,0.519332898784347
18,CRABP2B,0.7744961694260545,KLHL22,1.2198173398347103,ZGC:193505,1.0964786780921698,NHSL1B,1.047020704409175,CR450785.2,0.5562106330029783,SI:DKEY-13I19.8,0.6802761801717689,SI:CH211-113A14.10,0.7000959234379817,ETS2,0.6432891751196785,SI:CH211-212K5.1,0.7976865454225945,CNNM1,0.8007952724615252,SI:CH211-113A14.26,0.610802818305547,SI:DKEY-204L11.1,0.6695776579323441,SI:DKEY-11O15.10,0.5237808704959236,SI:DKEYP-117H8.4,0.545551781485521,RPAIN,0.6029031480916965,WDR62,0.6970113196475914,EPS8L1,0.4786791584389264,RNF220B,0.6069507332958491,SI:RP71-62I8.3,0.5148932835914586
