,0,1,2,3,4,5,6,7,8,9,10
SI:DKEY-153M14.1,0.33207924147749895,0.0,0.2050786721831403,0.014050888372820532,0.0,0.0,0.7465112783807587,0.0,0.34887349752662905,0.10761663911942139,0.7834750724209912
FXYD6,0.4976553660704838,0.19368799471047377,0.24635589622605444,0.21992737362418743,0.09873879226259867,0.156299844955075,0.6524194221934324,0.12906109862373272,0.3587601074346233,0.2507838653337965,0.36341011535166423
ZGC:158463,0.3512970473408344,0.0,0.16898063849715775,0.03975213383052044,0.0,0.0,0.6432951748542126,0.0,0.4036869267828364,0.134618816625806,0.9025612253862357
SI:DKEYP-3B12.10,0.1262469753535166,0.0,0.20350836714170153,0.0,0.0,0.0,0.5841315979483546,0.0,0.4416953668618425,0.1873625306171279,0.8647374269385553
C1QB,0.33626584950035177,0.40675624591558174,0.2762425791900061,0.2826841768014605,0.09263112033111928,0.12064486164486038,0.779272792492279,0.15267585554068633,0.4330102723796817,0.15514419136244648,0.27480368575387015
SI:DKEY-108K21.12,0.19852710777704696,0.0,0.0,0.07088233753772259,0.04710408502540688,0.0,0.7231943196653111,0.0,0.27925826010596694,0.18656111610558668,0.8445890226640034
SI:DKEY-16M19.4,0.6077473814916816,0.0,0.0,0.2646853024587417,0.0,0.0,0.5392242943899348,0.0,0.7456115143199105,0.08578427491683885,0.34487174193141806
ARL14,0.44334388518586965,0.36381946334085635,0.16829121023225727,0.33252962101987,0.3119339816065304,0.1115961336070351,0.42096650043175343,0.40992361029365143,0.5813439750903623,0.12424305170553178,0.08584414428035728
OTUD4,0.34640221605231075,0.0,0.28843782877047247,0.09271957409015404,0.0,0.0,0.8997448575978632,0.0,0.34506601988992086,0.13207330445559226,0.8706845127676746
RAB34B,0.5329722857909165,0.0,0.2818917403853894,0.4291863162197499,0.0,0.0,0.4152860807755249,0.0,0.15529780662611278,0.0871660872074714,0.696993311152747
SI:CH211-267E7.11,0.5658750033043228,0.0,0.2554901391680876,0.580123841750097,0.0,0.0,0.36619083574878863,0.0,0.25834626843397324,0.1963640865283572,0.6843894186697281
SI:CH211-130H14.6,0.6352847595014388,0.0,0.05659328807536633,0.11243442426175884,0.0,0.0,0.4240119823218533,0.0,0.490956018554481,0.10364729380467166,0.5724282444366668
SI:CH211-195B11.4,0.7041220277964342,0.0,0.18071777684648355,0.12906754225341022,0.0,0.0,0.33229894569264146,0.000991332869501084,0.5504381349978452,0.1586798783194226,0.6002522737207845
SI:DKEY-261M9.17,0.21133968483832472,0.0,0.07010931016377196,0.0,0.0,0.0,0.4721514743874696,0.06082793338726945,0.0,0.11270020667459708,1.388233282334423
CR450785.2,0.9024356296486302,0.0,0.022947731103090972,0.028527897312580784,0.0,0.0,0.2600953692338078,0.0,0.1820375706219591,0.08641814293847724,0.6492162013692905
CFD,0.49705599229173636,0.6389904633333335,0.0,0.2744136592831628,0.2835702040137577,0.08586114126537286,0.34871061448436835,0.1916650724326411,0.5186000700624316,0.05396199282096069,0.16848172355705163
BX640584.2,0.9049345095529688,0.0,0.0,0.0,0.006229222756190781,0.0,0.282604185243568,0.0,0.21852439250182792,0.15584318109184872,0.5366697914642488
SI:CH1073-418F12.2,0.7343523033254398,0.0,0.01111539095080946,0.0881697531975129,0.0,0.0,0.32854976602403535,0.0,0.23180946256155766,0.21225297865959855,0.4927801531904199
SI:CH1073-159D7.7,0.20187150027560716,0.07968784062364416,0.18803676905826006,0.0706888725446457,0.10383039017072496,0.1294342644829534,0.6047882067858157,0.03543574584566819,0.26942993998233156,0.11252451571100616,1.2447517098308627
DUT,0.49529474799921974,0.0,0.22126065079085944,0.0913389123417903,0.0,0.0,0.7415732770862588,0.002328457959927759,0.321648320192249,0.14069321526565284,0.6314486046044069
ZNF981,0.5700475481682633,0.0,0.0,0.19142793275854286,0.024756010983509047,0.0,0.250097869158423,0.0,0.2921374136373953,0.0,0.7566821110014433
