,0,1,2,3,4,5,6,7,8
SI:DKEY-153M14.1,0.49662756173024186,0.0,0.15774867639217507,0.058611839450750006,0.0,0.0,1.0475423058981777,0.3301963501874519,0.1198243089728928
FXYD6,0.628596239140468,0.2645267352229157,0.21819402600387158,0.16728380901065146,0.05848434109505599,0.1719821681409551,0.7442432290180181,0.23284276999485504,0.22104178765616497
ZGC:158463,0.5165582450439555,0.0,0.11726322574338098,0.1130291952611192,0.0,0.026697262909656006,0.979151855108687,0.4620771880490677,0.1498029633457848
SI:DKEYP-3B12.10,0.2863119311066865,0.0,0.15390574896345255,0.08290134866736999,0.0300300666837415,0.008283811860900455,0.9289363139217427,0.47654896553349113,0.22365100944169816
C1QB,0.5094964048384658,0.504657580306535,0.2430885144263962,0.2054647367788026,0.034923015709265814,0.08364730093341188,0.8919277410751048,0.18198427716805865,0.14855456358709432
SI:DKEY-108K21.12,0.3282124564131044,0.0,0.0,0.12190224876225234,0.11982038243223525,0.0028669559800882684,1.0327435574911568,0.33428061244888657,0.15252828501967786
SI:DKEY-16M19.4,0.7072000205890535,0.0,0.0,0.2598388501138076,0.0,0.0,0.6655601140417772,0.534011558112026,0.13489571232896333
ARL14,0.5759781962434789,0.5080232299599571,0.17682092891055046,0.24670181538168587,0.23203813803608234,0.009808723293691247,0.4848461498878811,0.45082510981458035,0.14683764770202037
OTUD4,0.5357622513264388,0.0,0.22320867165550087,0.1358244700114945,0.0,0.02919383541294918,1.221283106593799,0.3172675075062239,0.11610831572182735
RAB34B,0.6615958611638931,0.0,0.2351264684557569,0.48507471590943824,0.0,0.008630046840778319,0.644999569008915,0.25385719233670495,0.053220768007596835
SI:CH211-267E7.11,0.6855322489654079,0.0,0.21713357101093467,0.6422361411482762,0.0,0.0,0.609459204300277,0.33171135068132984,0.17008291024408312
SI:CH211-130H14.6,0.7365521255074663,0.0,0.043299564254210866,0.14213140873019373,0.0,0.0021944603247721337,0.6071149170456133,0.5008791197369203,0.10743943550864382
SI:CH211-195B11.4,0.7844725554519997,0.0,0.16804187115629318,0.17880187132903091,0.0,0.0,0.5202291997243902,0.6008430179541794,0.1888649095560363
SI:DKEY-261M9.17,0.3666575942787285,0.0,0.0,0.0644712274514681,0.23003051326637336,0.15668348126288398,0.942503589241649,0.370964146073048,0.0
CR450785.2,0.9651292281971116,0.0,0.0,0.06430236616388746,0.02599124909108472,0.026095784516692186,0.43782041303566227,0.3210501535422756,0.09179674589166735
CFD,0.6135124291645219,0.7274917835803539,0.0,0.22755272711732008,0.21291048672042148,0.0,0.42382800583929664,0.3752873854302934,0.09238828284956416
BX640584.2,0.970935563625915,0.0,0.0,0.003078219683392837,0.005293363199483702,0.053642409380089184,0.4091533834907978,0.2750606627866291,0.15804552479708509
SI:CH1073-418F12.2,0.8131488256891131,0.0,0.0,0.10282422859702625,0.0,0.009510499202044737,0.4772916138596274,0.24189255158744125,0.20709542802511746
SI:CH1073-159D7.7,0.259312061580654,0.0,0.12447894990960887,0.21274734350105787,0.2927497162772941,0.48202880604250514,0.8993846647654031,0.5762960219071396,0.10615557517248707
DUT,0.6077343499207727,0.0,0.17521973163775642,0.10275195356171973,0.038301860927526486,0.0,0.9539154195951919,0.29646307325137383,0.12761267729450768
ZNF981,0.6478399741759926,0.0,0.0,0.25875705995407766,0.11462845922892105,0.0,0.5041848548297496,0.4402233205653419,0.0
SI:CH211-113A14.16,0.4576905256314246,0.0,0.0020774511365669376,0.20851471021177492,0.11083560638147653,0.1285962937771174,0.9425217307172664,0.5758083828426893,0.1549579320790239
SI:DKEY-6D5.4,0.7110900058469027,0.0,0.2267141156652985,0.6368312531466034,0.0,0.0,0.6092917964894954,0.3600728290407431,0.17045783988179497
SI:DKEY-23A13.15,0.2842790847098848,0.0,0.0,0.23204262638033255,0.5038018547284304,0.3286117100503227,0.9830290751045112,0.2773542972932647,0.107461690052102
ADGRE10,0.9206168204000705,0.0,0.20311733302808999,0.04942826586339976,0.24907214963478455,0.0,0.4657211908807683,0.3021363228488453,0.08461048695495489
CU655961.2,0.5671987418914837,0.0,0.08232219955744811,0.13852470142580617,0.25597074632740363,0.0,0.5727798553846833,0.2658838342609727,0.0
SI:CH211-190K17.31,1.0407281192955864,0.0,0.060906520499701196,0.15193573047026188,0.0,0.10805708779619617,0.44152123406760907,0.1763672045589235,0.12489912367368276
SI:DKEYP-3B12.8,0.3370112575204671,0.0,0.0,0.11292359978769267,0.0,0.11276262606135547,0.7130370750054268,0.2463340985797807,0.023231545057961656
FAM78BB,0.9214849749395548,0.0,0.05112259081812096,0.16643702003340166,0.0,0.0,0.6166640791747151,0.16917037703321938,0.13483599872871224
CABZ01111915.1,0.7271769142598005,0.0,0.05473214175629935,0.20129124127174275,0.0,0.0,0.2350210540065443,0.5048249170125819,0.16364366923122373
WDR21,0.7532215039997042,0.0,0.0,0.07271127691713883,0.27536735404967216,0.13903762986513463,0.3044956427496017,0.4109409023135528,0.13909592855659622
SI:DKEY-95P16.2,0.7082095015392406,0.0,0.02286526116027538,0.3262769278074163,0.0,0.0,0.5633288331230447,0.6431060548476153,0.1829607838589575
NCALDA,1.0211928447846386,0.0,0.09475676997834895,0.14180107543045736,0.21932806310199535,0.05223681456578289,0.467996061841806,0.32687412406733096,0.07370336684888011
SI:DKEY-15H14.4,1.0686587324161614,0.0,0.0293201743916633,0.061706967353782054,0.0,0.006277812111702931,0.4839827348170526,0.0764506056321091,0.13499296968223048
