,0,1,2,3,4,5
SI:DKEY-153M14.1,1.1272637733531483,0.0,0.09573355195593411,0.07033325833418284,0.0,0.17065607848750663
FXYD6,0.9712299854394144,0.26943186428077254,0.2232991161199632,0.17815754584045865,0.09818882622221659,0.24719643025486365
ZGC:158463,1.1601579491130192,0.0,0.08227325137590034,0.11548467709398555,0.0,0.19762177469150635
SI:DKEYP-3B12.10,0.9888800358470659,0.0,0.10941844024103299,0.09346784993236455,0.0,0.20047802065973566
C1QB,0.9673009047931357,0.5013893409571396,0.2164973113719118,0.22539945933327596,0.0,0.2011058348650378
SI:DKEY-108K21.12,1.0003548570963157,0.0,0.0,0.12930219885575284,0.0,0.24376393108744365
SI:DKEY-16M19.4,1.2000935239001542,0.0,0.013718599156462941,0.24478184746338486,0.0,0.0
ARL14,0.8573046868984727,0.541795324984707,0.18430835395800532,0.2389826850410735,0.28605392734301766,0.031458941437540265
OTUD4,1.2513687973966727,0.0,0.13988327593172495,0.15238453141037497,0.0,0.21796399311975295
RAB34B,0.9587461551112018,0.0,0.2411031622541946,0.4705729242392093,0.0,0.09469412038866161
SI:CH211-267E7.11,1.0307667093216941,0.0,0.2522281415695779,0.6320568198868454,0.0,0.013960045171880105
SI:CH211-130H14.6,1.1003699982565902,0.0,0.08219592992208333,0.12293088375921454,0.07517635702844386,0.04283301010248533
SI:CH211-195B11.4,1.1481610306144374,0.0,0.24006648481703735,0.1547185970589491,0.07312856903756033,0.0
SI:DKEY-261M9.17,0.9443401235577711,0.0,0.0,0.061798920165769614,0.059546922130715024,0.43560114060403626
CR450785.2,0.9737248904462262,0.0,0.013001586576521342,0.060992454547863686,0.35732812448859036,0.008165188948924436
CFD,0.7673064564871265,0.7278310273511749,0.010331586022456724,0.24218995250046993,0.3475540624589347,0.010525645788203041
BX640584.2,0.9601976713125199,0.0,0.0,0.0,0.33165310633399564,0.0366429632174943
SI:CH1073-418F12.2,0.9302365021250908,0.0,0.024097249570111303,0.09622337128497063,0.1897154197730715,0.022642421229748414
SI:CH1073-159D7.7,0.990964011340994,0.06029071893870579,0.09162415977821296,0.19817658964213827,0.05623077150781971,0.6824289336031086
DUT,1.1585411361969684,0.0,0.14319243649118857,0.12243412947962957,0.019753960467446093,0.07979221606149772
ZNF981,0.876854546005429,0.0,0.0,0.2572659632175253,0.25037887076804,0.05583362913501547
SI:CH211-113A14.16,1.1799907097846993,0.022083285750067853,0.0,0.20023524564676518,0.0,0.27525846371798945
SI:DKEY-6D5.4,1.06263547316419,0.0,0.26718178005207854,0.6234173745906321,0.0,0.0141736509730552
SI:DKEY-23A13.15,0.903085024789934,0.07518876939991075,0.0,0.2341248503321173,0.18193102849110077,0.5741435278156913
ADGRE10,0.9149501388891592,0.0,0.21892746487998874,0.061682250661168184,0.5325892383025802,0.007336214943242382
CU655961.2,0.7983337814188302,0.0,0.05202718982110396,0.16300691189236272,0.334611765356794,0.026054232745556207
SI:CH211-190K17.31,0.9516647630859947,0.0,0.09136730060516056,0.1467253223931504,0.3765204158336625,0.049122855366251446
SI:DKEYP-3B12.8,0.7426156912708689,0.0,0.0,0.1065971877499318,0.0,0.24960417341681335
FAM78BB,1.0481144578324288,0.0,0.0647650839577279,0.16369135581841626,0.1988534064209374,0.0
CABZ01111915.1,0.8162855215832858,0.0,0.12353201603814357,0.17122752964112684,0.21985139641053433,0.0
WDR21,0.7464422546445942,0.0,0.0,0.077711789210289,0.5472697056466871,0.1924807866341628
SI:DKEY-95P16.2,1.1839550980684157,0.04726139652647072,0.06637785668170851,0.28412549397098913,0.0016690965777262075,0.0
NCALDA,0.9970183865370497,0.0,0.11765348046608358,0.1474782782321705,0.5279151721455664,0.04522518412002461
SI:DKEY-15H14.4,0.9684228651462929,0.0,0.04928076554941547,0.0531769617551478,0.32811718823693015,0.0
SI:CH211-117M22.2,1.0147527869585322,0.0,0.13542706180532893,0.04127344241303015,0.0,0.18798452295535378
SI:DKEY-23A13.18,0.8201121256190704,0.6247120290705217,0.0828391610683914,0.26622647948523914,0.057163362477541564,0.450053264655762
NDUFB4,0.6595535882896073,0.0,0.027702459984867384,0.04938890349313681,0.2593953160745629,0.0
MCL1B,0.7829074622735834,0.024753548166483588,0.45581742177707074,0.22260928534770213,0.4277339458758345,0.14839792455884696
RPL6,1.1668086837760379,0.04700073513661159,0.15010607621395516,0.2852540320718911,0.06015350188720769,0.0
PDIA3,0.9581497798106348,0.0,0.0,0.3089849408201189,0.2488440352903038,0.2521690982584653
SI:CH1073-190K2.1,0.790093424987327,0.0,0.0,0.09735150331751952,0.0,0.3643151767489026
SI:CH1073-26E8.2,0.7492875526191032,0.0,0.0,0.03217927080984513,0.1557178182275922,0.13226623215326336
HIST1H4D,0.6896304769840637,0.0,0.0,0.02595152234375301,0.0,0.33918947566308605
ZGC:165555,0.6215048167936126,0.0,0.0,0.06558237396648346,0.0,0.4343729702101529
FP016247.1,0.5968269944342439,0.0,0.10843824012932494,0.07562302808493075,0.0,0.2949728028686694
TADA1,0.9586830062945937,0.0,0.0049676083163328185,0.0,0.3411357464055604,0.08981438713940963
SI:DKEY-193H7.5,0.8679147684630859,0.0,0.12325364187853236,0.07071149056230129,0.14491057066372337,0.3774121971809777
SI:CH211-210C8.5,0.556327249284581,0.0,0.10899681027768165,0.22511688891528958,0.3931664027397481,0.0
SI:DKEYP-3B12.15,0.5496305130209833,0.0,0.2263877959191837,0.020129459834204583,0.23430436664991833,0.0
SI:DKEY-77P23.8,0.5931573563829629,0.0,0.20946885298566884,0.006138445909675508,0.1992332571450609,0.0
