,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16
0,GATA2A,1.275888595732997,LYRM1,2.57429189425103,KRT4,1.3575260161631795,TA,2.403658419059266,DDIT4,0.8656717080409211,SI:CH211-242H13.4,1.2921280467359864,SI:DKEYP-3B12.7,1.0870800992971723,CHD,1.5714334814929496,SI:DKEY-95P16.2,0.8136826504524852,BX546500.1,1.190341819251965,SI:DKEY-261M9.17,1.6955752346487027,PHLDA3,1.3943992458852277,BZW1A,1.171217837200837,TELO2,0.7049746557844108,HSP90AA1.2,1.8425399662586066,CAMSAP3,0.8727944976686556,NANOS3,1.579143573456791
1,BMP4,1.2685573413586804,MYO3A,2.2956770737837275,KRT18,1.3571185682872098,EVE1,2.10603741830866,BX324155.1,0.8617875312842238,ZNF1125,0.9085466784139875,SI:DKEYP-3B12.6,0.9523453515955365,ADMP,1.3961891056551363,SI:CH1073-80I24.3,0.7807316229750236,CAMSAP2A,1.081265495161134,HIST2H3C,1.3988212431853555,MDM2,1.199739945674164,PPIB,1.0983798892448002,FTH1B,0.7012354371973367,HSP70.3,1.2030513541550278,AIM1B,0.834356515436935,TDRD7A,1.408824431485844
2,APOC1,1.1541547224793367,RAPGEF6,2.2764153387835204,MID1IP1A,1.3531509102601187,WNT11,1.9561907924319875,RHEBL1,0.8320568629466514,SI:DKEY-234I14.20,0.893405989531867,KIAA0101,0.848767053579389,FOXD3,1.3211083259374652,SI:DKEY-16M19.4,0.7691088385128609,SI:DKEY-28A3.2,1.032050186483835,SI:CH211-113A14.10,1.2860380986423248,SI:CH211-260E23.9,1.0916853716339376,GDF3,1.0962151620253338,SI:CH211-117I10.10,0.6732677951477458,HSP70.1,0.8707277508248319,JAG1B,0.8282745547599843,DND1,1.3842250783091474
3,SZL,1.1315035960265358,SI:CH73-195I19.3,2.214340822450078,KRT5,1.3458600283404765,CDX4,1.826827953307092,SI:DKEY-199M13.4,0.8157359714110937,SI:DKEY-48G21.5,0.8916167280385431,OTUD4,0.8221526202312524,ZIC3,1.3021213019450602,SI:CH211-195B11.4,0.7529693960050055,SYNGAP1A,1.0307198491024423,SI:DKEY-23A13.15,1.140657426203603,APLNRB,1.0357260055588775,P4HB,1.0900057670378573,SRRD,0.6591019546804434,CABZ01080568.1,0.8033584101570684,SI:CH211-69B7.6,0.8060343837670509,ACTL7A,1.3214802517105824
4,BMP7A,1.1209570985129516,CABZ01084942.1,2.2096000529932027,CLDNE,1.319828352772564,ZNF703,1.7866242320469514,CR391944.1,0.8059131549410977,SI:CH1073-190K2.1,0.8693811926587767,HSP90AB1,0.7961156355017173,FZD8A,0.9391752122846981,ENSDART00000172356,0.7426629766195499,SLC7A8A,1.0159843353365392,SI:CH211-113A14.24,1.0953411507703195,FOXO3B,1.0172164219709205,RHEBL1,0.9931015158636798,SI:CH211-235I11.3,0.655742142809675,HSP70.2,0.7722784238638044,EVPLA,0.7772823268392592,DDX4,1.120043172945624
5,FOXI1,1.0272222898187406,AGRP2,2.197692143639472,LYE,1.3147540408615908,SP5A,1.4838459372632404,SI:DKEY-1D7.3,0.8050698548321086,SI:DKEY-97L11.1,0.8186004712857041,PRKRIP1,0.7849502207510014,PRICKLE1A,0.8740269813105565,SI:DKEYP-3B12.12,0.7308528654315848,PLECA,0.9513918898151121,ENSDART00000129497,1.0854780734685616,CTSH,1.0041224711155354,FAM78BB,0.9714820503674958,RAB3IL1,0.6387884024528734,SERPINH1B,0.6718707618771375,DSPA,0.7063029086568978,CA15B,1.0750320828489113
6,TFAP2C,1.0258382264261425,ZGC:171775,2.0221112138503208,ZGC:101000,1.3022727320642613,AXIN2,1.4808110243168433,EGLN3,0.7921773923635723,SI:DKEY-122C11.4,0.814767653361803,SI:CH211-113A14.10,0.7751953255750055,FOXD5,0.8691373906124272,MAP2K6,0.725631597326473,HS3ST3B1B,0.9321560637149133,ZGC:153405,1.0834486369884662,RBL2,0.9952098614203221,BIRC5B,0.9407761433653535,TSG101A,0.6303801843876958,HSPA4A,0.6457042504674653,NRXN1B,0.7052984848750831,GRA,0.9422615460344835
7,PCM1,0.9926575837699233,TOP1,1.9598004227214199,KRT97,1.2886701521079205,TPBGA,1.4728795817820568,SI:CH211-190K17.31,0.7899078566467703,CR388042.3,0.7782733393199727,CLIP4,0.7714247943982349,SESN3,0.8373328005684738,CNIH4,0.7097169778600437,SI:DKEY-186O21.1,0.8931072113881116,ZGC:165555,1.029744548343668,SESN3,0.914021642647268,CDKN1BB,0.9365422840820253,WDTC1,0.6232049156366603,ADGRE10,0.6114317266070495,MCHR2,0.7034293992357169,RGS14A,0.9283724105674753
8,CBFA2T2,0.9846042498446712,DIABLOA,1.909847283271575,KRT92,1.287373840150346,MSX1B,1.4655393839100803,SI:DKEY-15H14.4,0.788335831313159,CPN1,0.7769606661382138,SI:DKEY-23A13.4,0.7376305281411417,FOXB1A,0.830963360548954,SI:DKEY-122C11.4,0.6978297956448068,JAG1B,0.8770390377448627,SI:DKEY-261M9.15,0.9728918109616843,BCL2L14,0.899168170360608,TSR2,0.9316172668571828,SLC9A8,0.6147993712430798,TMEM205,0.6061431332183554,VPS13A,0.7023508472192196,BTG4,0.8174202751485959
9,CLUHA,0.9359864969877423,ANO9A,1.8696606591021967,KRT8,1.2784624590792157,MIXL1,1.3792444711443632,SI:DKEY-30F3.2,0.7871975921610554,SI:DKEY-108K21.21,0.7552995717823834,SI:DKEY-153M14.1,0.7235161183750701,TDGF1,0.8171226740914933,SOX2,0.6910450870130198,TNFAIP8L2A,0.8725537475905693,SI:DKEY-108K21.14,0.9477549084865742,CASP8,0.8720220778762798,MKRN4,0.9239142563333728,FGF17,0.6090332018764495,SI:DKEY-146C18.5,0.5970398631973531,CPE,0.6648860780039281,ICE1,0.7954504072426618
