,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
0,AFP4,1.0030538552865111,LYRM1,2.48759008923694,KRT18,1.352787334197422,TA,2.292789054218871,NANOS3,1.2826235088010314,SI:DKEY-28A3.2,1.4050668301492775,SI:CH211-242H13.4,1.2334632534953556,CHD,1.79043802366452,SI:CH1073-80I24.3,1.0637089162087285,PHLDA3,1.3772306807165753,SI:DKEY-261M9.17,1.406542122073177,NCALDA,1.077084721692034
1,SLC7A8A,0.9799096038565956,MYO3A,2.1747741870786,CLDNE,1.3414191647927864,EVE1,2.075089989204489,HSP90AA1.2,1.1892862185562116,JAG1B,1.2125256871620762,PRKRIP1,1.021617811351281,FOXD3,1.3418140553936655,SI:CH211-139K8.4,0.9747025814659849,MDM2,1.1864996809153925,HIST2H3C,1.3175608600329383,RHEBL1,1.043059533995783
2,SLC3A2B,0.920589829189542,AGRP2,2.140068107364939,KRT4,1.3372504968125833,WNT11,1.9319882601498333,TDRD7A,1.159282868235747,HS3ST3B1B,1.1898201272925253,PPIB,0.9212096510292154,ADMP,1.3216526887996274,SI:DKEY-188C14.4,0.9189211543114142,SI:CH211-260E23.9,1.0526303622533535,SI:CH211-113A14.10,1.2967946986947712,GDF3,1.0321483573613286
3,HNF4A,0.8400429888257841,RAPGEF6,2.132011836559654,KRT5,1.3191783175402942,CDX4,1.8079889945455359,DND1,1.0201758327626254,NRXN1B,1.148257731158183,OTUD4,0.9160835253139916,CDH2,0.9920502805901347,UBA52,0.8368995046201047,FOXO3B,0.9924918512062234,SI:DKEY-108K21.14,1.2421070948166835,SI:CH211-190K17.31,1.0320306339004603
4,CTSLL,0.7866678121126075,SI:CH73-195I19.3,2.085662668950905,KRT92,1.3138625262214103,ZNF703,1.7564398784022819,BTG4,1.006240893776141,SI:DKEY-186O21.1,1.1308638247257747,HSP90AB1,0.9098950569455562,ZIC3,0.9582840621848941,SI:CH211-222L21.1,0.828903348253527,CTSH,0.9901548971159464,SI:CH1073-159D7.7,1.236431062805258,CR391944.1,1.0212759861459804
5,SPAW,0.7649144286095316,CABZ01084942.1,2.060497588446935,LYE,1.3129352277277393,AXIN2,1.4954347178030911,ACTL7A,0.9940805621010377,HSD17B2,1.1051049778365725,GTF2H5,0.8915423331599909,GSC,0.9483119926202006,PRDM14,0.8161437946691755,APLNRB,0.9852290959540013,SI:CH211-113A14.15,1.187611874457689,SI:DKEY-15H14.4,1.010902711536419
6,ANXA1A,0.7472404394804629,ANO9A,2.053420768115475,MID1IP1A,1.2892801975756112,SP5A,1.4890699636584752,CA15B,0.9446833248960798,CPE,1.0930166844006666,EIF5,0.8731488125473225,FOXB1A,0.9301239531146532,MAP2K6,0.8081922252911303,RBL2,0.9713705519073308,ZGC:153405,1.1789822711159759,SI:DKEY-30F3.2,1.0006907801892302
7,FBP1B,0.657314252856979,ZGC:171775,1.8328634675578366,EPS8L1,1.2789562294762227,TPBGA,1.4817626821489285,SI:DKEY-11O15.10,0.9421508122562264,SYNGAP1A,1.082503223177918,FTL,0.846370309015143,PRICKLE1A,0.9088547018456077,RPS15A,0.8023834679446392,SESN3,0.9390994647602188,SI:CH211-113A14.24,1.1644517024723227,BX005448.2,0.9761575796837475
8,FGF17,0.6553452703246466,FNIP1,1.8018822288677605,ZNF185,1.2545700521491,MSX1B,1.47405114400433,FHDC3,0.8772774745609081,CNNM1,1.0714092580734547,SI:DKEY-48G21.5,0.8441585269263309,FOXD5,0.8827341070983329,RPS2,0.7895018152751914,BCL2L14,0.890433279342763,SI:DKEY-108K21.21,1.1250037185069546,BX324155.1,0.9705495395846632
9,TELO2,0.6493068510754872,TOP1,1.784619532651948,KRT8,1.2490575448828751,MIXL1,1.3553636508501445,SKA2,0.8717589687752604,BX546500.1,1.0638300926400972,SI:DKEY-234I14.20,0.8382308203139303,IER2,0.8707610991995491,PSMA4,0.7722261187516445,CASP8,0.8668090830575693,SI:DKEY-23A13.15,1.0825278863269034,BIRC5B,0.9679461416801498
