,0,1,2,3,4,5,6,7,8,9,10,11
SI:DKEY-153M14.1,0.31588057161634536,0.0,0.1476206594189103,0.0157696775121628,0.0,0.0,0.7651081180446035,0.0,0.3787642353474502,0.08713025418047794,0.7596791744441723,0.2935838237487769
FXYD6,0.05399858586641103,0.19613591596247285,0.2648924975830144,0.209220770580417,0.09716945798617745,0.1588541007405789,0.6310277340225933,0.12160297439441159,0.3299598558709473,0.26346217964051305,0.32730660007588114,0.5648304720765801
ZGC:158463,0.24711934418224996,0.0,0.12795898431760366,0.036971032420675384,0.0,0.0,0.6584691548009463,0.0,0.421902191280435,0.11925819116743529,0.8818702363853845,0.339276621715594
SI:DKEYP-3B12.10,0.30004778148883704,0.0,0.13901659121807441,0.0,0.0,0.0,0.6124183027121292,0.0,0.4782170715088152,0.16348924512566756,0.8597790926103615,0.08288408439503599
C1QB,0.10332641103096125,0.4031726664536996,0.2828736269370618,0.27768873115286064,0.09396025746182592,0.12375680403293875,0.7697791565933201,0.15013787666708575,0.43016746095204617,0.15567922876599463,0.24792763471263676,0.3658776397110907
SI:DKEY-108K21.12,0.19798242229200377,0.0,0.0,0.06879486254588407,0.041447639771294564,0.0,0.7458249372525526,0.0,0.2937856272364653,0.1741528387020892,0.8250394398191538,0.1808301448399016
SI:DKEY-16M19.4,0.0,0.0,0.0,0.25440105561083237,0.0,0.0,0.5023155298038854,0.0,0.7193405573277516,0.09992585794638652,0.3154192590535948,0.6903685470171463
ARL14,0.07634326288547658,0.36521683400674076,0.18060591892746258,0.3226112627442947,0.31045895613314434,0.1078685010448195,0.39898072316460687,0.4102964383761148,0.5591633254497208,0.1342220705033967,0.06795437889643816,0.48120031953321984
OTUD4,0.3188566842121113,0.0,0.23586402857246966,0.09253298959248851,0.0,0.0,0.9160835253139916,0.0,0.373291493944848,0.1116574899378889,0.8454477404940685,0.3185035878684684
RAB34B,0.05160900454732301,0.0,0.30525349458669154,0.4193954217806584,0.0,0.0,0.39787311282442017,0.0,0.11923081245720571,0.09764497853383161,0.6612070518140424,0.6033051235263325
SI:CH211-267E7.11,0.0,0.0,0.2965183769151138,0.5653908377789847,0.0,0.0,0.34081053559299085,0.0,0.21097031875811936,0.21236597280288633,0.6545653280460355,0.6551688877074017
SI:CH211-130H14.6,0.18752825615670846,0.0,0.04253428066327207,0.1059411825666153,0.0,0.0,0.40831040699772536,0.0,0.4701833099592595,0.11286662659643842,0.5333001207511067,0.6577757762685378
SI:CH211-195B11.4,0.2402733355489065,0.0,0.16049869815374787,0.12154126290087981,0.0,0.0,0.31518980543921954,0.0,0.5307669055537749,0.15833547864935907,0.5621857678493334,0.7173332342093663
SI:DKEY-261M9.17,0.17120843027959942,0.0,0.03681998463801617,0.0,0.0,0.0,0.5096267054858541,0.05914484336278476,0.0,0.10196940289281661,1.406542122073177,0.19614808233505665
CR450785.2,0.09450796311018554,0.0,0.04150514431564952,0.015975566265843975,0.0,0.0,0.2331238603878076,0.0,0.14415764393095787,0.09323358181145555,0.6022630027429283,0.951106382386275
CFD,0.10050770294474674,0.6419752727969844,0.0,0.2670777328371985,0.2794229969081393,0.07983430406749728,0.33022026817584815,0.18889110604337114,0.503211418349764,0.057249458081108304,0.1517725462133577,0.5197224731037206
BX640584.2,0.08079517567828938,0.0,0.0,0.0,0.020822693571610533,0.0,0.25096998363649214,0.0,0.17667782230855078,0.16874189529747133,0.4749467423100531,0.9644128349415263
SI:CH1073-418F12.2,0.3186897984087209,0.0,0.0,0.08550413029674367,0.0,0.0,0.32063335932475245,0.0,0.21766624506681875,0.2120926012544243,0.44069840474805705,0.7002081766070336
SI:CH1073-159D7.7,0.3204953269491835,0.06742650854708589,0.12562850967256664,0.07793474984682501,0.10909072721292229,0.13580097367443106,0.6457648590442422,0.03773690310880206,0.3072124788805731,0.08316010612018637,1.236431062805258,0.15276906134748416
DUT,0.21605827413579592,0.0,0.20108197767192637,0.08741141717873262,0.0,0.0,0.7425861535361326,0.0,0.32467794545244827,0.1348119726243818,0.5954792561418831,0.4990603849393147
ZNF981,0.0,0.0,0.0,0.17896785347260252,0.024875894350097422,0.0,0.23400249635193268,0.0,0.25551964077016354,0.0,0.7362921079570702,0.6538688964807361
SI:CH211-113A14.16,0.10115909959461795,0.0,0.03370696471297783,0.1411578277185471,0.06374383176179942,0.0,0.6776925840084015,0.03205099620771185,0.5718896659643695,0.11640418783122355,0.8381145950761398,0.34770738624807934
SI:DKEY-6D5.4,0.0,0.0,0.3033652895314636,0.5631368236532881,0.0,0.0,0.3488652090977128,0.0,0.25970664589349757,0.21326887037921533,0.6251217880133515,0.6892926930270166
SI:DKEY-23A13.15,0.0,0.13555174368510148,0.0,0.12499474928086574,0.18096100341431157,0.0,0.8019700688199402,0.15822144614205613,0.0,0.19426918422138592,1.0825278863269034,0.31401892686779065
ADGRE10,0.3237006366479318,0.0,0.172819948203519,0.03400294483529937,0.2275455702750547,0.0,0.30661690582779305,0.01793311883419032,0.2315820221467023,0.09938365399101379,0.47621584124324035,0.8474471662581703
