,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
0,GATA2A,1.3344088853374751,LYRM1,2.430873612101251,KRT18,1.3655542362619049,TA,2.410244037818741,BX324155.1,0.9014975456032895,SI:CH211-242H13.4,1.419265491300666,SI:DKEYP-3B12.7,0.9269648960720271,ADMP,1.3363743966991812,ENSDART00000172356,1.0190458831753673,BX546500.1,1.2484856377061861,SI:DKEY-261M9.17,1.503573373222344,PHLDA3,1.4265742995489465,BZW1A,1.1564941280474748,TELO2,0.7074105943499743,HSP90AA1.2,1.8389661162109172,NANOS3,1.6025006954033416,SI:CH211-69B7.6,0.90283043064066,SI:CH211-276A17.5,0.7264322800996359,CLUHA,0.7808995521108602
1,SZL,1.3036541530639056,MYO3A,2.1627504952122103,MID1IP1A,1.3605195170921769,EVE1,2.14955947790546,BX005448.2,0.8609075583360315,SI:DKEY-48G21.5,0.917535513282259,CLIP4,0.8233826683874848,ZIC3,1.2060517940764521,SI:DKEYP-3B12.10,0.9918444653264237,CAMSAP2A,1.1282044162269365,HIST2H3C,1.2464892654821442,MDM2,1.2198179456489704,GDF3,1.0915420718955375,FTH1B,0.682908319468348,HSP70.3,1.222414033389291,DND1,1.407487652408139,AIM1B,0.8530272190114859,LYRM1,0.7245271307668609,SI:DKEYP-3B12.7,0.7668154337488793
2,APOC1,1.3011354262492447,SI:CH73-195I19.3,2.109735645202348,KRT4,1.3477276985971591,WNT11,2.0208627020506666,DDIT4,0.8538232220622233,RNASEP_NUC,0.8976842441177512,KIAA0101,0.8226101560302566,PRDM14,1.2032779421541162,SI:CH1073-159D7.7,0.9344327095998838,SI:DKEY-28A3.2,1.033943547615019,SI:CH211-113A14.10,1.1670983786215567,SI:CH211-260E23.9,1.1222032483913602,P4HB,1.0410046664751833,SRRD,0.66283396037164,HSP70.1,0.8679188304987596,TDRD7A,1.3737453556399062,CAMSAP3,0.8388035730428042,RYR1A,0.7065422240278568,SI:DKEYP-3B12.6,0.717061526459554
3,BMP4,1.2561043011197675,AGRP2,2.096843674300836,KRT5,1.3331344312385223,CDX4,1.8810805584850259,EGLN3,0.7975701850437532,SI:DKEY-234I14.20,0.8904437198684229,SI:DKEYP-3B12.6,0.8196267670204584,SOX2,1.149896284039731,SI:DKEYP-3B12.12,0.9240263898546771,SYNGAP1A,0.9861116968690943,SI:DKEY-23A13.15,1.0545019048996997,APLNRB,1.0652529551054288,RHEBL1,0.9896236395345658,SI:CH211-117I10.10,0.6558312625607225,CABZ01080568.1,0.8045340592927963,ACTL7A,1.254195681481929,EVPLA,0.8077507172163833,TTNA,0.687413038522046,MYT1A,0.6940871982114961
4,FOXI1,1.1904836436254802,RAPGEF6,2.086982563176614,CLDNE,1.3326753641794389,ZNF703,1.8471962570492126,CR391944.1,0.7825449197019472,CPN1,0.8093066722381445,SLC35A4,0.7842588189722469,SI:CH211-139K8.4,1.0817724784627967,ZGC:113984,0.9189647939669671,SLC7A8A,0.9699079227715518,ENSDART00000129497,1.042742573070397,FOXO3B,1.0396101424598483,FAM78BB,0.9799922232638569,SI:CH211-235I11.3,0.6437466107849771,HSP70.2,0.7874162051688433,CA15B,1.1173713588497678,PLECA,0.7523213246284657,CHD,0.6831397020899188,ULK1B,0.6809080288451655
5,TFAP2C,1.1613196725889394,CABZ01084942.1,2.045930842960463,LYE,1.3188427698548375,AXIN2,1.6134710823472354,SI:DKEY-1D7.3,0.7824465004942813,PGAM1A,0.7987536195743402,PRKRIP1,0.7609498830266622,FOXD3,1.081282423201824,ZGC:158463,0.913067780328717,HS3ST3B1B,0.9275691294427971,ZGC:153405,1.020481657926936,CTSH,1.0185436751966899,SKP2,0.9443725713801377,RAB3IL1,0.6428016184611315,SERPINH1B,0.6742792379895086,DDX4,1.1016184210668551,DSPA,0.7409508107942624,RAPGEF6,0.6397364996573172,SI:CH211-208F21.2,0.6738278158915486
6,VED,1.1063624616152743,ANO9A,2.0311973094423825,ZGC:101000,1.308535178906683,SP5A,1.5623410633443275,SI:DKEY-15H14.4,0.7805376245917465,SI:CH1073-190K2.1,0.7901025953030607,RPL27,0.7606434532205116,SI:DKEY-188C14.4,1.0738564789217586,SI:CH211-113A14.16,0.9059524559948466,PLECA,0.927436759313166,SI:CH211-113A14.24,1.0042881705731632,RBL2,0.998076173154438,SI:DKEY-6D5.4,0.937057442624853,TSG101A,0.6331737152019732,HSPA4A,0.6478552837573738,GRA,0.9758422420560612,JAG1B,0.7318781646794613,CPE,0.6353021312093359,BX000364.1,0.6661163616571435
7,CRABP2B,1.0442968223735598,FNIP1,1.8263984537846443,KRT92,1.3074951787350662,TPBGA,1.5231319119919762,SI:CH211-190K17.31,0.7751789426740963,CR388042.3,0.7698032325579537,NNR,0.7401401504223429,PRICKLE1A,1.0718926726928624,FP236812.1,0.90213638560572,JAKMIP2,0.8667541563839741,ZGC:165555,0.9121558158392506,SESN3,0.9637523742931563,NCALDA,0.9301958784399715,AFP4,0.6267399055127315,ADGRE10,0.621557928940621,RGS14A,0.9207600864384461,MCHR2,0.7163416343791223,AGRP2,0.6342463375654651,CBFA2T2,0.6241109938041915
8,RGCC,1.0192892616219393,ZGC:173587,1.783637094783981,KRT97,1.287049520159154,MSX1B,1.5061405837384507,CR450785.2,0.7411212334219999,ZNF1125,0.7553629378984299,SI:CH211-194E1.8,0.7396493986155693,CDH2,1.0205558382690056,SI:CH73-36P18.2,0.9014642138013542,FTR36,0.857902791499652,SI:DKEY-108K21.14,0.8986959020863865,BCL2L14,0.9360857862085721,MKRN4,0.9265145317323964,FGF17,0.6203998069841641,SI:DKEY-146C18.5,0.6006846559247194,BTG4,0.8042022175649737,ZNF185,0.6657161312723632,NRXN1B,0.6193476088292269,FP236812.1,0.5871892840238203
9,SI:CH211-139K8.4,1.013220465212256,ZGC:171775,1.7419001633758033,KRT8,1.2784192285035558,MIXL1,1.4266146567785103,SI:DKEY-30F3.2,0.7380001849603504,VGLL4L,0.724089804576132,HSP90AB1,0.736172138304466,CHD,1.0005377979278023,ZGC:171759,0.899375619647544,SI:DKEY-186O21.1,0.8419999609810521,SI:DKEY-261M9.15,0.8795552408367309,CASP8,0.8731245486199933,PPIB,0.9247595286683445,WDTC1,0.6151718451011289,TMEM205,0.5924008142717693,ICE1,0.7755355869808216,NRXN1B,0.6378764781157772,UPK1A,0.6152467981292138,SI:CH211-113A14.26,0.581712485195872
10,BAMBIA,1.0015962561201375,HNRNPA0B,1.7044763644431653,EPS8L1,1.2654160222831408,GBX1,1.3616463902890226,SI:DKEY-47K16.4,0.7369279260201819,EIF5,0.7131816635406177,SI:DKEY-23A13.4,0.7243294909500143,SLC38A5B,0.9948140627863551,CNIH4,0.8950158000534866,HSD17B2,0.8410269224919945,SI:CH211-113A14.15,0.868723869353717,TP53INP1,0.8635163631734513,RBM4.3,0.9165495298313016,KIF18A,0.6124896500657075,ZNF1031,0.586184953201002,SI:DKEY-11O15.10,0.7633735224676882,SI:CH211-217K17.9,0.6170829370164994,CABZ01084942.1,0.6119674700530234,LIN52,0.54925006152044
11,SI:DKEY-188C14.4,0.9925816201769521,TOP1,1.7030623363918151,CLDN23,1.2611649123412934,ZNF503,1.239812194424892,SI:RP71-45K5.2,0.73439293291204,EPCAM,0.680578902648399,RPL39,0.7173168017186977,SP5L,0.9752988889626241,SI:DKEY-108K21.21,0.8861781597762952,TNFAIP8L2A,0.8386855771262431,SI:CH1073-159D7.7,0.7930051335219047,SESN1,0.8367959885393513,BIRC5B,0.9081975765662418,FBXO30A,0.6089847187272277,CU655961.2,0.5597467006088893,OTX1B,0.754987671414225,MYLK4B,0.6151885353973543,RBBP8NL,0.5862077660811303,SMAD9,0.5450757674223566
