,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
SI:DKEY-153M14.1,0.22092990976204105,0.0,0.1313456956409901,0.0,0.0,0.45227886063601785,0.7454831319531217,0.0,0.79183669864161,0.0,0.24760095229460186,0.08556050744124427,0.21000559910831457,0.26764761991281494,0.18151275680497508,0.0,0.0,0.26040905953504395,0.0
FXYD6,0.26900485447432515,0.23383256961753368,0.24571721550517345,0.16184227617667835,0.06182454768042887,0.678665556531046,0.3120705450953333,0.059912035404657144,0.33206201774551025,0.14310287310717518,0.23690758520213862,0.28570565954971516,0.18451473675361962,0.07644201780117234,0.3730088914705774,0.0,0.13957773772451684,0.43615114982628095,0.0
ZGC:158463,0.17690434184895099,0.0,0.11617279588795376,0.0,0.0,0.38639677445110904,0.6756812974548697,0.0,0.9719247664464434,0.0,0.25804123264049683,0.11123901578212779,0.231860843795911,0.2541220904202142,0.2393851728451267,0.0,0.0,0.2732400718744213,0.0
SI:DKEYP-3B12.10,0.028306513617107603,0.0,0.14081200397260443,0.0,0.042020441438756204,0.2941051466194772,0.6668711517204363,0.0,1.045632839129812,0.0,0.04535980552850994,0.15007064346326643,0.17560240450654124,0.3293818630075635,0.09856360907205068,0.013989058632286612,0.0,0.18888971278571726,0.0
C1QB,0.23709261324425757,0.383218352521274,0.2803622302379553,0.2610132189529694,0.08942572149921445,0.6182562644956924,0.4829136335435218,0.1617975476561551,0.15396240857387056,0.17689285043447428,0.27741403434876094,0.15642306276480183,0.09515257963868454,0.013213822793745576,0.12955474175710222,0.14383483302623715,0.12067747923012365,0.49942835495763377,0.0
SI:DKEY-108K21.12,0.07531191348138094,0.0,0.0,0.08183683005614993,0.06396657898382489,0.508659236188771,0.46586888265738785,0.0,0.6040791379656956,0.0,0.5917449836548142,0.1992708946804946,0.14207183121131822,0.21469908227012502,0.009386271584801861,0.0,0.0,0.37706278878876226,0.0
SI:DKEY-16M19.4,0.3153747268211966,0.0,0.0,0.19939074536281634,0.0,0.3451497753919425,0.5295614518672455,0.0,0.4369263357413404,0.0,0.17947601008716335,0.038972426302562355,0.12716135664445924,0.0,0.35433392965321026,0.0,0.0,0.8560779136526938,0.0
ARL14,0.33735686545538035,0.43269643922810885,0.14504745693730228,0.23920726077814458,0.2542530998209791,0.3148411064938058,0.36372102395331124,0.23916168639611854,0.20850351512312343,0.14528438710453206,0.16127385246164372,0.08995836241918578,0.23635764699839712,0.0,0.29684099743654274,0.021905272979260468,0.0710531910921381,0.5850116984741811,0.1498060962843663
OTUD4,0.16790381261834264,0.0,0.2517920648452423,0.039123195702975025,0.0,0.5689354217371598,0.8512722903109987,0.0,0.8088977288791321,0.0,0.3207612462216625,0.12151553652115586,0.0,0.3704978807475151,0.32586297656974994,0.0,0.0,0.3344258729107964,0.0
RAB34B,0.2383352214354603,0.0,0.3217224693723497,0.424214043428308,0.0,0.5193774238686253,0.03830151249092715,0.0,0.5317721170738708,0.0,0.44252198090893174,0.11780866001360506,0.09762138063968305,0.15754733209651736,0.27168925704472624,0.0,0.0,0.4166845161999186,0.0
