,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
18,HNRNPA0A,0.559522919930075,SI:CH211-241E1.5,1.2617265963456836,ZGC:193505,1.1249676617067668,SP5L,1.0275067774905926,WDR62,0.6624103538316377,MKRN4,0.6882373875589108,SLC35A4,0.676490401570507,NET1,0.7096001266091266,SI:DKEY-261M9.12,0.8262634372274895,NRXN1B,0.7697026358624071,SI:CH211-113A14.26,0.6097657557911207,SI:CH211-239D6.2,0.6693659599383849,UGCG,0.49035044879572576,FTR82,0.5492403428814417,SI:RP71-45K5.2,0.5983780756850903,HER7,0.769809938878043,ESRP1,0.5497757250100948,APOEB,0.7655925161697797,CNNM1,0.5754194952964555
19,PNP4A,0.5583741740209769,NRXN1B,1.2408062782108547,FUT9B,1.1154683709248736,HES6,1.0174410434889893,ANKRD12,0.6471188982453275,IFI30,0.6868933850275574,ZGC:158463,0.6756812974548697,RASGEF1BA,0.7046971427281319,CNIH4,0.8242341841696037,SI:CH211-171H4.5,0.7687101258167325,BX324216.1,0.6034941055476724,E2F7,0.6634461361862295,RNF7,0.4895596673935528,PALLD,0.535681930525029,SI:DKEY-156K2.3,0.5898169080520853,UBR5,0.7654623241916699,PTPRFB,0.5476978776570647,FAM78BB,0.7617962741476074,CABZ01064859.1,0.5657399857812647
20,BX005448.2,0.5571416001016515,SI:CH211-168H21.2,1.2370709833950666,ZNF185,1.1020605862160875,ATP1B3A,1.0159699819714805,MID1IP1L,0.6466219992338507,FXYD6,0.678665556531046,SI:CH211-194E1.8,0.670947466792199,SOX2,0.699327564649731,CYP2AA12,0.8201488197696275,NCOA7,0.7571136216218471,SI:DKEY-108K21.12,0.5917449836548142,ISG15,0.6605230712195166,BCL2L10,0.4877357735888502,SI:DKEY-1D7.3,0.5337689013409388,CR391944.1,0.5897664299968094,CRABP2B,0.7642537411608208,PPL,0.5408760561998728,UBE2V2,0.7451983880977306,ANO9A,0.5626999472499234
21,SI:CH211-271G18.4,0.5557544090838105,DDC,1.232769840231409,FTR82,1.0973092936914917,PRICKLE1B,1.001712495106197,NEK2,0.6380343599573546,GTF2H5,0.6777464660456087,RPL39,0.6686205295655818,KIF26AB,0.673719319953157,SI:CH211-113A14.16,0.8201159711185746,JAG1B,0.7487321410726876,SI:DKEY-13M3.1,0.5782048151949848,BCL3,0.658184727800364,SI:CH211-210C8.5,0.48639913422016984,ZNRF2,0.5318940093623971,SI:DKEY-15H14.4,0.5814868490179927,VENT,0.7403981997306306,SI:DKEY-28A3.2,0.5395338524348416,TSR2,0.744426747618832,DIABLOA,0.5536933218459367
22,SLC3A2B,0.5547772419754144,ZNF1068,1.2165226298423373,STARD14,1.0765874706372587,ARL4AB,0.976508958802785,MYCLB,0.6352424621153805,SI:CH211-147G21.5,0.6718906584737531,SI:CH211-272F15.5,0.6678737042969481,AMOTL2A,0.6701443152441061,SI:CH211-212K5.1,0.8186956485382887,FTR36,0.748511626501084,SI:DKEYP-114G9.1,0.5590505688892129,IGF2A,0.6521118403683562,TULP3,0.4838800082250867,ANKRD16,0.5313639928541615,EAF2,0.5766837406825277,KLF2B,0.7323944908718045,ALDH9A1A.2,0.538369104533488,CRABP2B,0.7421338639427262,CHD,0.5536684935741009
23,SI:DKEY-56M15.3,0.5543708639552535,HUWE1,1.1764403327795387,FTR83,1.0761017313573755,HER1,0.9760589746168498,ZGC:158852,0.634935671836736,WEE2,0.6710323661217419,SI:DKEYP-3B12.10,0.6668711517204363,LRIG3,0.653154980278747,FP236812.1,0.8108646285391128,SCOCB,0.7426612973230344,SI:CH211-117M22.2,0.5508513088374454,PLEKHN1,0.651869713165535,SLC25A25A,0.48329298333276444,KLF17,0.5293527715503904,DNMT3BB.1,0.5747059542449523,IPO9,0.7289639358891595,RAB35,0.5357834018830884,RPS18,0.7386102785865468,CLINT1A,0.5489905903492517
24,BX324155.1,0.541432123949903,SI:DKEYP-79B7.4,1.1642297800712271,ZGC:153911,1.0660935416058288,MSX3,0.9379131472664027,FHDC3,0.629731143323527,BZW1A,0.6700123301540295,SI:DKEY-108K21.27,0.6667665818516116,SP5L,0.6506757295934287,OTUD4,0.8088977288791321,PKDCCB,0.7339504093183757,SI:CH73-275M14.1,0.5324568517648287,LNX1,0.6466170177337515,DESI2,0.4799879184274567,TDRD7A,0.5234979484868637,NDRG3B,0.5717705848424087,AK4,0.7023028783532895,ZGC:91849,0.5297227534328511,PFKFB4B,0.7362317980295388,KCTD5,0.5424667954297903
25,CTSLL,0.5413979711557021,ZNF1057,1.1561995061785093,GRHL3,1.0590342357421998,LEF1,0.9332866783261842,CLDNG,0.6243678729506332,SI:CH211-268B13.3,0.6662074037290076,DUT,0.6650217558647556,TCF7L1A,0.6266751576503107,SI:CH211-113A14.15,0.8081834884423381,GRB7,0.7315460355598464,BX511215.1,0.5321749755106384,RGS20,0.6006453190112424,ZGC:56231,0.4789940359087128,DUSP4,0.5234148953281959,NCALDA,0.5714769594393206,CAPRIN2,0.6889713990930513,GBP3,0.5272122504500419,RPS2,0.7353108044134259,EPPK1,0.5356670637613697
26,ELOVL7B,0.5393351842900828,CR318603.2,1.149944772515385,ARL13A,1.0563964433297157,SZL,0.9044312546875434,COIL,0.6099363495339684,ATP5B,0.6601087366647821,RPS17,0.6616855628437862,FGFR4,0.6213745736118881,WDR21,0.8054759090898657,NFKBIL1,0.7250685653767067,MCHR2,0.5312712955598656,RASL11B,0.5889824030076385,SI:DKEY-221L21.2,0.4742025618874746,ELP4,0.5232307480094663,SI:CH211-197H24.9,0.5707624538276355,SESN3,0.6843758615365497,TRIM25L,0.523810219259477,RPS6,0.7345922083568555,TOP1,0.5356433343687909
27,SUPT4H1,0.5386338363090254,MLXIP,1.1468384493690171,KLF17,1.0541405842323388,SI:DKEY-149I7.2,0.8865582871143467,VAT1,0.6052361128790626,SI:DKEY-5I16.2,0.6498681374944917,NNR,0.6616781597450873,LLGL1,0.6001493003020917,ZGC:171759,0.8042797486005939,BAALC,0.7224861621353939,SI:DKEY-30F3.2,0.5282556412821533,GADD45AA,0.5818725881183208,ZGC:77112,0.47256779609522526,B3GNT8,0.5176222151959519,CLDN11B,0.5680188856552454,SI:DKEY-261J4.5,0.6785224261637389,CABZ01064859.1,0.5232479823186986,RPS4X,0.7341684017253027,SI:DKEY-234L24.10,0.5330911049739008
28,SI:CH211-190K17.31,0.5377037256557492,SETD2,1.1112288797796608,ELOVL1A,1.051727152821122,SI:DKEY-27I16.2,0.8721091178213024,RRBP1B,0.5976691188190301,NCALDA,0.649647501036294,EGFRA,0.6577392190253265,SEPT12,0.5978665203943343,DUPD1,0.7926685831468804,LAMA1,0.720644492536408,PPIB,0.5239764732438477,RPS27.2,0.5719508846584265,BTG4,0.47089205930820915,SI:CH1073-205C8.3,0.5164647005597497,SI:DKEY-1D7.3,0.5634470647618854,ATXN7L2A,0.6773661697550838,RHD,0.5225027465785926,ADD3B,0.7331619467234115,PON1,0.5299948530833795
29,ZNF995,0.5374423860232608,CPE,1.1065290295270453,PERP,1.0477979632809025,ADGRL2A,0.8640211517585206,DAZL,0.5964528027823195,VGLL4L,0.6442225155463984,RPL11,0.6573366688364307,HIGD1A,0.5963762860986932,SI:DKEY-153M14.1,0.79183669864161,AFP4,0.7052706840134236,GDF3,0.522065056328256,ZGC:92360,0.5548279878824919,FHDC3,0.4664133111263954,AK4,0.5149185489844381,P4HB,0.5600697672619542,BMP2B,0.676151876956231,UPK1A,0.5215846163348405,PSMA4,0.7230800073756367,NFKBIL1,0.5272715367373522
