,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
15,ADGRE10,0.813896731854167,HUWE1,1.4405398918848078,CLDNB,1.2338887017264282,SP5L,1.0766902073910964,RGS14A,0.7940490947535647,GTF2H5,0.6812505667026183,SI:CH1073-159D7.7,0.7396307134045348,SP5L,0.7403455525671389,ALDOB,0.7521312074608412,KCNK4,0.9043634982122775,SI:DKEY-261M9.12,0.9049503357178292,EXO5,0.7244239394604745
16,ZNF1060,0.8127730780311653,PON1,1.402824642972742,FTR83,1.2183048296833943,ATP1B3A,1.0721153874017144,OTX1B,0.7936302842821035,TSR2,0.6784557374810738,PRKRIP1,0.7377886278638796,TDGF1,0.7397867841252848,SI:CH211-170D8.2,0.7489733511903951,JAKMIP2,0.8889880162996512,ENSDART00000172356,0.8982625596993172,PLEKHN1,0.6949204826969206
17,CR450785.2,0.804248556019265,CABZ01001464.1,1.301011661456239,MGLL,1.2148672023135256,ZIC2A,1.0681820944611953,BMI1B,0.7899615900017904,CPN1,0.6749796831703827,RPS17,0.7206169764023587,GRA,0.7342577483569269,CRABP2B,0.7473330348711623,NFKBIL1,0.8800690023461176,SI:DKEYP-14F10.3,0.8925820704589438,IGF2A,0.6938939008380812
18,BZW1A,0.8035893555798188,KLHL22,1.240553139168548,ZGC:193505,1.2139397465541595,HES6,1.0652420665446267,ZGC:56231,0.779261746382441,RND1L,0.6748918290170031,SI:DKEY-23A13.4,0.7140294794186293,DDX4,0.7289527299767072,SLC38A3B,0.7472524549753707,FTR36,0.8771614128214058,SI:CH73-36P18.5,0.8912907263625597,SNX11,0.6841966330874457
19,RHEBL1,0.7981082236594608,SETD2,1.239803875892853,ZNF185,1.2117095814343795,VED,1.0550358466110583,CHD6,0.766283663395656,CLDND,0.6686966054123529,RPL39,0.7060506135708076,ETS2,0.7140286362837378,FAUA,0.7421352828996124,SCOCB,0.8745984998632731,CA9,0.8885905096606438,SI:DKEY-204L11.1,0.6749231349397855
20,IDE,0.7879473223120985,CYR61L2,1.2269157312707442,EVPLA,1.2012078113639344,NHSL1B,1.0387154711987334,SLC25A25A,0.7552960909619999,ATP5B,0.6676633841612779,EGFRA,0.7010450655252247,RASGEF1BA,0.6949096603790572,GNL3,0.7379316147459989,BAALC,0.8667950163263936,ZGC:173652,0.8738026551790246,E2F7,0.6669882045767583
21,ZGC:91910,0.7765245610110989,NRXN1B,1.212556963072621,SI:DKEYP-67A8.4,1.1927865593200913,HER1,1.003240315436927,MID1IP1L,0.740236650237947,GSTO2,0.6669652470472136,UQCRH,0.6995620289442384,SOX2,0.6654211347143788,HSPB1,0.7268297511276445,TNFAIP8L2A,0.8592370740385938,HIST1H4D,0.8701832012912569,SI:CH211-239D6.2,0.6633999748219429
22,BX511215.1,0.7705876362093583,PCNT,1.2112434923339672,GRHL3,1.1864441208340537,PRICKLE1B,0.99106346729569,GRA,0.7312359400846898,SI:CH211-268B13.3,0.6665571743161253,PROCA,0.6981152662255947,KIF26AB,0.6603367125830324,PFKFB4B,0.7267999012966156,KCTD5,0.8573559959147672,ZGC:163040,0.8658580114960076,BCL3,0.6500301660640858
23,ASB11,0.7625939914397676,SI:CH211-241E1.5,1.2086522682245595,FTR82,1.1686538543325449,MSX3,0.9778071514322223,ZGC:158852,0.7242122521620111,SI:DKEY-13I19.8,0.6664318587244096,SLC35A4,0.6940682949014959,AMOTL2A,0.6395193498837851,SI:ZFOS-44A5.1,0.7214671254276772,CABZ01009880.1,0.8551797112097927,SI:CH211-113A14.16,0.8622190061410451,ISG15,0.6454680189508117
24,ZNF1040,0.7612218698416469,SI:DKEYP-79B7.4,1.1853119557389116,FUT9B,1.166841524692072,ARL4AB,0.9419627190529206,RRBP1B,0.7059661564932922,FXYD6,0.6654963174999804,TMEM258,0.6930137917128784,HIGD1A,0.6378798390466615,FZD7A,0.7198884643764285,SI:CH211-171H4.5,0.8341224676375502,ZNF995,0.8617562093328314,LNX1,0.6331682358140628
25,THY1,0.7584500937177432,MLXIP,1.173341415167638,PLEKHF1,1.1638150752328134,ZNFL2A,0.9286857289224079,BCL2L10,0.7034936509362598,NUDT4A,0.6590109424390949,SI:DKEY-153M14.1,0.6882956194924502,ARG2,0.6158250078298216,SOX3,0.7161029554431269,ARID3A,0.8135619549481177,FP236812.1,0.8563265151820376,RASL11B,0.6305653273842058
26,BX640584.2,0.7565118342342505,CPE,1.1725271689793362,KLF17,1.1453560283512205,LEF1,0.9276987753475474,FKBP8,0.6966528314078533,CR388042.3,0.6574551940702877,SI:CH211-113A14.24,0.6869444489202595,FAM13A,0.6097727208459826,SOX19A,0.7143945003387281,KLHL22,0.8102114206672436,SI:CH211-113A14.18,0.8552234653817321,FOXI1,0.6261576484624839
27,DDX17,0.7562886010753734,POLR2A,1.1699438077277315,CYT1L,1.135924658163751,SZL,0.9274235638698483,SI:RP71-45K5.2,0.6899366681795486,SFRP1A,0.6503689437033477,U1,0.6833851827466298,NET1,0.6033089038080908,PSMA4,0.7125641115495722,RNF213,0.8090644388652395,ZGC:158463,0.854034849930878,RGS20,0.6192197596972379
28,WEE2,0.7530908755674781,ASPM,1.1629511526239915,ELOVL1A,1.1294674149448092,SI:DKEY-149I7.2,0.8992198427287126,RAD18,0.6879469339811619,SI:CH211-147G21.5,0.6498231660717292,SI:CH1073-317D10.1,0.6824786999463222,GLT8D1,0.6022501521461353,RPS2,0.7112199666054696,SI:DKEY-58J15.10,0.8083956619165675,TM4SF19,0.8475904132783082,RPS27.2,0.5939947305692523
29,RAC1A,0.7495235203994454,SI:CH211-168H21.2,1.1372725838135112,PERP,1.1223271366279008,WNT8A,0.8852957028366144,LSM4,0.6877875225343105,FTL,0.6496517611740236,SI:DKEY-151G10.6,0.6786556693071216,LRIG3,0.5916375113095835,LHX5,0.7064836029372965,LAMC1,0.8051774251339663,SI:DKEY-97L11.1,0.8364797861487558,GADD45AA,0.5839203436692397
