,0,1,2,3,4,5
SI:DKEY-153M14.1,1.1272637849196092,0.0,0.09573355216719105,0.07033325869759394,0.0,0.17065607877912756
FXYD6,0.9712299960559319,0.26943186391774104,0.22329911664044305,0.17815754628532032,0.09818882585630813,0.24719643098196234
ZGC:158463,1.1601579611488735,0.0,0.08227325154589511,0.1154846775288058,0.0,0.19762177492505256
SI:DKEYP-3B12.10,0.9888800460443908,0.0,0.10941844045047348,0.09346785038061797,0.0,0.20047802100933929
C1QB,0.9673009147666899,0.5013893402497319,0.21649731183598941,0.22539945997666613,0.0,0.20110583556385767
SI:DKEY-108K21.12,1.000354867529661,0.0,0.0,0.12930219938399812,0.0,0.24376393141921407
SI:DKEY-16M19.4,1.2000935360331126,0.0,0.013718599407475033,0.24478184808848055,0.0,0.0
ARL14,0.8573046965708598,0.5417953240690652,0.18430835459428296,0.23898268563992775,0.2860539277387544,0.03145894138439435
OTUD4,1.2513688101202214,0.0,0.1398832762694961,0.15238453201038668,0.0,0.21796399375265638
RAB34B,0.9587461651955845,0.0,0.24110316280306324,0.47057292537751355,0.0,0.09469412021661042
SI:CH211-267E7.11,1.0307667201654953,0.0,0.25222814219224987,0.6320568213951837,0.0,0.013960044632699425
SI:CH211-130H14.6,1.1003700105554606,0.0,0.08219593053037555,0.12293088394945431,0.07517635526829432,0.042833010061112106
SI:CH211-195B11.4,1.1481610433875493,0.0,0.24006648577976886,0.15471859723747905,0.07312856709893976,0.0
SI:DKEY-261M9.17,0.9443401342827177,0.0,0.0,0.061798920366348424,0.05954692148104476,0.43560114130081146
CR450785.2,0.9737249024972974,0.0,0.013001587146491462,0.06099245432032148,0.3573281230009175,0.008165188513933486
CFD,0.7673064654714415,0.7278310261535365,0.010331586378816485,0.2421899529631466,0.34755406293755053,0.010525645697442085
BX640584.2,0.9601976832152915,0.0,0.0,0.0,0.33165310494026257,0.036642962783908176
SI:CH1073-418F12.2,0.930236513079046,0.0,0.024097250061828685,0.09622337131857031,0.18971541825453225,0.022642420976258376
SI:CH1073-159D7.7,0.9909640220323629,0.06029071860564252,0.09162415983301489,0.1981765904560254,0.056230771836403265,0.6824289356159731
DUT,1.158541148314112,0.0,0.14319243696822218,0.12243412986805152,0.01975395984310739,0.0797922162145235
ZNF981,0.8768545567460575,0.0,0.0,0.2572659636806474,0.250378869673885,0.05583362872782727
SI:CH211-113A14.16,1.1799907219983896,0.0220832857376979,0.0,0.20023524631207013,0.0,0.2752584644117068
SI:DKEY-6D5.4,1.0626354842918404,0.0,0.26718178071393683,0.6234173760635198,0.0,0.014173650503726662
SI:DKEY-23A13.15,0.9030850343717343,0.07518876880336482,0.0,0.23412485134205133,0.1819310302496495,0.5741435291733901
ADGRE10,0.9149501503895783,0.0,0.21892746575232142,0.06168225048515042,0.5325892379926591,0.007336214523434412
CU655961.2,0.7983337906650932,0.0,0.05202719012218223,0.16300691221641,0.3346117656481063,0.026054232588996293
SI:CH211-190K17.31,0.951664774860359,0.0,0.09136730129907836,0.1467253224184346,0.3765204145372917,0.04912285521017774
SI:DKEYP-3B12.8,0.7426156991150599,0.0,0.0,0.10659718815574183,0.0,0.2496041738509743
FAM78BB,1.0481144697378506,0.0,0.06476508455958319,0.1636913559814709,0.1988534051421826,0.0
CABZ01111915.1,0.8162855314155997,0.0,0.12353201685758185,0.17122752973051025,0.21985139474076787,0.0
WDR21,0.7464422650173637,0.0,0.0,0.07771178910792098,0.5472697051310753,0.19248078653573317
SI:DKEY-95P16.2,1.1839551110669484,0.047261396913793635,0.06637785708427839,0.2841254943720239,0.0016690945112762337,0.0
NCALDA,0.9970183989418632,0.0,0.11765348115423026,0.14747827821928516,0.5279151717428251,0.0452251838643803
SI:DKEY-15H14.4,0.9684228767628229,0.0,0.049280766153460595,0.05317696153703732,0.32811718688449104,0.0
SI:CH211-117M22.2,1.0147527973900046,0.0,0.13542706205624216,0.04127344272975627,0.0,0.18798452329455598
SI:DKEY-23A13.18,0.8201121342970128,0.6247120279157494,0.08283916117846585,0.26622648036268765,0.05716336323150257,0.45005326600171286
NDUFB4,0.6595535963620586,0.0,0.0277024604217381,0.049388903309105905,0.25939531509441716,0.0
MCL1B,0.782907471496896,0.024753547821076503,0.45581742294823924,0.22260928586395123,0.4277339465235469,0.14839792510417213
RPL6,1.1668086961393735,0.04700073524915562,0.150106076728324,0.28525403269004035,0.060153501138181235,0.0
PDIA3,0.9581497906545443,0.0,0.0,0.308984941601196,0.24884403550047163,0.25216909883324684
SI:CH1073-190K2.1,0.790093433375462,0.0,0.0,0.09735150367885073,0.0,0.364315177549697
SI:CH1073-26E8.2,0.7492875614470038,0.0,0.0,0.03217927081485798,0.15571781748314364,0.1322662321769531
HIST1H4D,0.6896304844077873,0.0,0.0,0.025951522554513717,0.0,0.3391894762144428
ZGC:165555,0.6215048236657734,0.0,0.0,0.06558237423239628,0.0,0.4343729709828512
FP016247.1,0.5968270007996848,0.0,0.108438240228653,0.07562302846304866,0.0,0.2949728034815212
TADA1,0.9586830170947694,0.0,0.004967608487765359,0.0,0.3411357468432537,0.08981438722567454
SI:DKEY-193H7.5,0.8679147790080206,0.0,0.12325364231328201,0.07071149058198614,0.14491056927066598,0.37741219783856544
SI:CH211-210C8.5,0.5563272568430914,0.0,0.1089968109068988,0.22511688904770735,0.39316640182322077,0.0
SI:DKEYP-3B12.15,0.5496305201003274,0.0,0.22638779674016427,0.020129459521984097,0.2343043652580803,0.0
SI:DKEY-77P23.8,0.5931573637199908,0.0,0.20946885376413227,0.006138445607449139,0.19923325581559198,0.0
