,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18,Module 19,Weights 19
20,BIRC5B,0.8938398211989187,SETD2,1.282941893755477,CLDNE,1.072805996178565,ATP1B3A,1.042412859883926,DAZL,0.6613598281481282,SFRP1A,0.6220149160282601,SI:DKEY-151G10.6,0.6764778700969495,PKDCCB,0.8381931804818479,ZGC:110434,0.8390503492576009,BX324155.1,0.5436332078577761,SI:CH211-113A14.26,0.5822857138710004,ISG15,0.6827046884880431,ERCC8,0.526949824345172,DUSP4,0.5380260488456625,ZNF1065,0.5747759705155322,FTR82,0.6376241388067422,RNF220B,0.5348920873850951,ZGC:171775,0.5456159108214804,NRXN1B,0.805990409317135,KAZALD2,0.8413653546005598
21,SI:CH211-267E7.11,0.8904812332335167,CYR61L2,1.2098759972129334,MGLL,1.0668184045083746,HES6,1.01912605987677,COIL,0.6378015634400209,PPIB,0.6219431171266142,TMEM258,0.6743847032490191,MIDN,0.8255622544449563,SI:CH73-368J24.14,0.8381393426279492,ZNF1031,0.5411749215130993,TDRD15,0.5675104030393292,BCL3,0.6774184753630614,DDIT4,0.5231162870598633,KLF17,0.536691010266743,ZNF995,0.5716862258478083,DEPDC7,0.6303530735565516,MYO3A,0.5337544283939019,SCOCB,0.5365037874742211,TRIM45,0.7948823910383181,LAMA1,0.8067480494204469
22,SI:DKEY-54J5.2,0.8750218041163573,POLR2A,1.2079346366741,SI:DKEYP-67A8.4,1.0663929527337876,ARL4AB,1.0139978524251736,NEK2,0.6339782186657984,SI:DKEY-13I19.8,0.6206647292864246,RPL11,0.672844259059521,PPIAB,0.8069686160403026,ZGC:173552,0.8345544283694927,ZNF995,0.5385005036125254,SI:DKEYP-14F10.3,0.5505416158956257,PLEKHN1,0.6743796578852801,MGAT4D,0.5198641694968653,ANKRD16,0.5363100726998407,SI:DKEY-1D7.3,0.5672760975337844,GRHL3,0.6300351464514663,TRIM25L,0.5322243360062028,EPPK1,0.5287754671111251,GBP3,0.7879273350151471,LAMB1A,0.7874433888327561
23,BX640584.2,0.8746574845825775,MLXIP,1.1959675043369613,CLDN23,1.0639488079152601,HER1,1.0077505724840978,CLDNG,0.6335863468262626,GOLGA4,0.6176781342130175,SI:DKEY-261M9.15,0.6676183033755676,FZD8A,0.7871254549873404,SI:DKEYP-3B12.12,0.8295238062428949,SI:DKEY-7J22.4,0.5357061016907454,BX511215.1,0.550286998517522,LNX1,0.6660716439956718,TAOK3A,0.516122562199025,FTR82,0.5358011539374553,MCL1B,0.5593826372686681,PFN1,0.6175660508426585,PPL,0.5275030869598315,CLINT1A,0.5214567119074388,BAALC,0.785015567345115,VENT,0.7672822296466858
24,SRSF1A,0.8723423046204521,PCNT,1.1605191073114982,HSD17B14,1.062806944389815,SI:DKEY-27I16.2,0.9835866770957252,ZGC:158852,0.6276013774585902,SI:CH73-240M14.2,0.6172870646005734,GTF2H5,0.667287804411418,FZD7A,0.7559095868427448,SI:DKEY-261M9.19,0.8290032787890005,SI:RP71-45K5.2,0.5295545407643135,P4HB,0.5478465361562599,SNX11,0.6576329837913845,GTF3AB,0.5076849328056986,ZNRF2,0.5296033084461678,CT573263.1,0.5563029934665075,CST3,0.6116658996055251,DNAI2,0.5266374738359442,SI:DKEY-234L24.10,0.5182388301953825,CNNM1,0.7796388955217596,SFRP1A,0.7648983305849425
25,RPL6,0.8588174240201389,SI:DKEYP-79B7.4,1.158613365346663,CABZ01073832.1,1.0624906534803265,LAMB1A,0.9799897311533107,VAT1,0.6176640535597254,SI:DKEY-19C16.12,0.6152035182587569,U1,0.66243131575435,EPHA2A,0.7413088034749511,DDX3B,0.8209107910804236,CABZ01002768.2,0.529463008879669,SI:CH211-113A14.18,0.5452986643233522,RGS20,0.6236355307736247,BCL2L10,0.5070132558618131,SI:DKEY-1D7.3,0.5295160949537743,RPAIN,0.555643489786595,KRT4,0.6094045328510735,ALDH9A1A.2,0.5264637553643315,LY75,0.517293629618921,GRB7,0.7794115889129959,INSM1B,0.7579546643662843
26,PRMT1,0.8577252567543274,NRXN1B,1.1469711721931442,KRT8,1.058624831493801,MSX3,0.9414993758843717,MID1IP1L,0.6101622768684108,RND1L,0.6129820727588778,FAM133B,0.6587731431247279,LFNG,0.7338918292727067,SI:CH73-36P18.3,0.814975885982866,SI:DKEYP-114G9.1,0.5292126477437955,ZNF985,0.5432789798394925,GADD45AA,0.6045631475125105,ZNF1060,0.5056162557920898,PALLD,0.5288372127624265,ZGC:77112,0.5551409895729084,GATA3,0.6081492074638297,RHD,0.5192598520699284,ZNF1057,0.5154473509224308,NFKBIL1,0.7684573558701706,SOX3,0.7566258084849858
27,ENSDART00000133990,0.8479205779850496,CR318603.2,1.1192763240116068,RABGAP1L2,1.0417759690657298,LEF1,0.9394353014499881,SLC25A25A,0.6094647487622352,GSTO2,0.6093701269847764,UQCRH,0.6562275228383864,FOXA,0.7207023922736557,SI:DKEY-153M14.1,0.8111160344586201,ASB11,0.5283210710316597,RAB35,0.5392397629771213,RASL11B,0.5861894593224104,SLC25A25A,0.5051667833618337,AK4,0.5187672241375262,ZNF981,0.5453380865918246,RIPK4,0.6013824892652485,LYRM1,0.5186913188305737,JAG1B,0.5149915076370097,HCK,0.7582666854846364,HSPE1,0.7464725948832116
28,CDKN1BB,0.8470917648188159,ASPM,1.1099829051775691,TRIM25L,1.0414685291861498,ADGRL2A,0.9134192537485073,FHDC3,0.6054023449103476,SI:DKEY-122C11.4,0.6049806906413158,RPL23,0.6562263188973556,NOTO,0.7128334650342871,TM4SF19,0.8082044083108912,ZGC:92287,0.5265501371500502,SI:DKEY-108K21.21,0.5347744116963806,SI:DKEY-117J14.6,0.5708301299690274,CLDNG,0.5046980421628278,SI:CH1073-205C8.3,0.5077753394729831,ALDH9A1A.2,0.545330776725191,CLDN23,0.6000616291921461,PTPRFB,0.5177079873078327,TIAM1B,0.5128425352872074,CABZ01009880.1,0.7479885566616329,TNS3.2,0.7308198441939242
29,ADGRE10,0.8377620633614316,ZNF1068,1.1079917685433183,EPPK1,1.0390224405630153,VENT,0.8755134149704549,MYCLB,0.6006206981522545,BLF,0.603182984806978,SI:CH211-272F15.5,0.6508966891713232,ADD3B,0.7086238238818459,CNIH4,0.8016832942478544,IDE,0.5262225905472208,ACVR1L,0.5283090081510542,ZGC:92360,0.5671451320653745,MAP7,0.500450865562881,TDRD7A,0.5076186789715668,IDE,0.5368062789817835,TFAP2A,0.5945912751858526,ZGC:91849,0.5166291002650424,SI:CH73-195I19.3,0.5088845196459715,SCOCB,0.746430437409116,CABZ01092285.1,0.7135787016660742
