,0,1,2,3,4,5,6
SI:DKEY-153M14.1,0.6159828295868444,0.0,0.15827753086449345,0.07529866581418809,0.0,0.06429302851474962,1.0176293119069537
FXYD6,0.6512248032317499,0.25290830406117487,0.24197147022610965,0.18881045099993332,0.13041615209451823,0.186844313897765,0.7250087549924294
ZGC:158463,0.6999850617441872,0.0,0.1221723991493802,0.12565052516836983,0.0,0.11699249809133788,0.950097980621651
SI:DKEYP-3B12.10,0.5264371628592913,0.0,0.16624792613419292,0.09740275165128487,0.0,0.10851752049677477,0.9103153071590815
C1QB,0.5194707629828885,0.4844991698078709,0.26016841624971665,0.23072628045471313,0.09872506452585773,0.10170072099369777,0.8575523380632682
SI:DKEY-108K21.12,0.4942900501591939,0.0,0.0,0.13666763696977124,0.06968506129561045,0.09300583390688322,0.9999107753787797
SI:DKEY-16M19.4,0.9272032121276492,0.0,0.0,0.2766920794368768,0.0,0.0,0.6625262697099761
ARL14,0.7241962411631433,0.532832025950183,0.18289707875612518,0.2480989550112632,0.2266814917921227,0.026818059387430326,0.4980400672165575
OTUD4,0.647364821019511,0.0,0.21968343187522102,0.15698066882375603,0.0,0.09311934919341519,1.1788232448387739
RAB34B,0.712288833079306,0.0,0.23281719341308033,0.4923294602344263,0.0,0.06650901993082672,0.5955950672423281
SI:CH211-267E7.11,0.7988843134259539,0.0,0.23478667257013172,0.6588065982779683,0.0,0.0004893595874316981,0.5863028327862625
SI:CH211-130H14.6,0.9056424809290197,0.0,0.05891488080907234,0.14681709631409623,0.0,0.06222665932145419,0.5894042863272807
SI:CH211-195B11.4,1.008855497740708,0.0,0.19297300569948322,0.18609252654543937,0.0,0.04563464681604009,0.5180744709267613
SI:DKEY-261M9.17,0.5111508770392102,0.0,0.0,0.06289426894851301,0.14243697354119167,0.2974269115400687,0.893990556297489
CR450785.2,0.9914443250497381,0.0,0.0,0.07031732505998826,0.09430835271033713,0.06422736173861482,0.40679924783604804
CFD,0.7022587084697376,0.7297222136625797,0.004233375970075307,0.2380811957219652,0.25749534532474094,0.0,0.4209556296481576
BX640584.2,0.9885946357428644,0.0,0.0,0.007393179147277035,0.08142191650430913,0.08531732827898271,0.375010329476618
SI:CH1073-418F12.2,0.8553899301497817,0.0,0.007991788678131901,0.11347278656777801,0.024527309999100452,0.04678228429177199,0.45184824714118416
SI:CH1073-159D7.7,0.5155897558177603,0.015376417305296207,0.13125837574688393,0.2124748718640011,0.19624178403801815,0.590623634951668,0.8964909725021699
DUT,0.6872307214572482,0.0,0.18295182950764377,0.12379893009081801,0.06989972242686017,0.0,0.944418547795655
ZNF981,0.7762017416417668,0.0,0.0,0.2641517656223794,0.11380958853028418,0.04132666278922711,0.493039547476667
SI:CH211-113A14.16,0.7115738610784741,0.00018972105125340978,0.01998778222110391,0.2200338373829771,0.04916195659699593,0.2231937499691097,0.9340401812774916
SI:DKEY-6D5.4,0.8344691881165106,0.0,0.24447633904754815,0.651520653857061,0.0,0.011444594598830925,0.5830153642886028
SI:DKEY-23A13.15,0.37606251902212634,0.01888579917079762,0.0,0.2410008400152982,0.46017252537897035,0.3924774712373236,0.9689371043922508
ADGRE10,0.9264649914678418,0.0,0.20922560184522734,0.05865764446427486,0.319877019502256,0.020789192640389115,0.4412666334272801
CU655961.2,0.6024321246211017,0.0,0.07424661135051212,0.1507658576421946,0.2965252375283281,0.0,0.5663756583288921
SI:CH211-190K17.31,0.9738794596002226,0.0,0.06752029200957002,0.15911729914999695,0.11308644163161799,0.10600199544383784,0.40761603581460304
SI:DKEYP-3B12.8,0.41645462341806866,0.0,0.0,0.1183183767442602,0.0,0.17020274292353024,0.6828393609795557
FAM78BB,0.8947188057422114,0.0,0.05981256887164564,0.1796526853457895,0.06359219496276663,0.0,0.5826027396954638
CABZ01111915.1,0.9110377079751592,0.0,0.08446920871723995,0.20614722620604237,0.0,0.0,0.2500162603123772
WDR21,0.8514946520002503,0.0,0.0,0.07245718367376779,0.2915750542624329,0.22129191881611726,0.2864973344175771
SI:DKEY-95P16.2,0.9742939649564646,0.03587927919722252,0.03248225902693766,0.32634199366365674,0.0,0.0,0.5851212773588197
NCALDA,1.0283081382797021,0.0,0.09819665969675406,0.14645527624677407,0.2954724615162084,0.07417740402668029,0.43816124123158345
SI:DKEY-15H14.4,0.960258256621433,0.0,0.03342609801179104,0.07123400025069115,0.11107932901381279,0.0,0.4418198779088327
SI:CH211-117M22.2,0.4850546949850305,0.0,0.20395927753028995,0.03904628872784535,0.08514271911838613,0.04365425271676872,0.9933506685771067
SI:DKEY-23A13.18,0.45526768868332984,0.5940690433721926,0.10791347672050185,0.27716823075622105,0.17303537119441897,0.38547755148642515,0.7039249233924386
NDUFB4,0.7187677069208824,0.0,0.013079006106159901,0.06646523692137404,0.05900753387371663,0.0,0.2477838286110704
MCL1B,0.7047232899697544,0.012419987469246229,0.46944450286699363,0.21376254234606865,0.33048802581286785,0.12161518181143462,0.47514170886751317
RPL6,0.829885619790843,0.029585023028595465,0.16232306611787495,0.3030759876431171,0.05479415576172313,0.0,0.7588831251936897
PDIA3,0.6802639786054072,0.0,0.0117798396619263,0.30732636902106514,0.25927382672889343,0.17409427473302194,0.7149033668670973
SI:CH1073-190K2.1,0.37405518698750867,0.0,0.0,0.09958201278856996,0.0,0.24685720662098434,0.8509944745722862
SI:CH1073-26E8.2,0.583821898467645,0.0,0.0,0.03555379525615416,0.10765884801411162,0.09566744008987992,0.4971980815641271
HIST1H4D,0.3037682048979417,0.0,0.0,0.027464466557848427,0.12866417651931383,0.19038328079975703,0.7299073993652706
