,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16
0,SI:CH211-139K8.4,1.2490004540531765,LYRM1,2.4513704430994907,KRT18,1.3379751537568492,TA,2.364760800576523,SPAW,0.8750375814771584,SI:CH211-242H13.4,1.4050383795963532,KIAA0101,0.8945445492781307,CHD,1.5149765158583144,SI:DKEYP-3B12.10,1.0835521068981588,BX546500.1,1.2211658608488234,SI:DKEY-261M9.17,1.4848463829314338,PHLDA3,1.3853443979084088,HSP90AA1.2,1.7832770934143425,FTH1B,0.7228321872118936,RHEBL1,0.9986459814481594,CAMSAP3,0.8447208529368574,NANOS3,1.5956773408005682
1,SI:DKEY-188C14.4,1.212251543013426,MYO3A,2.153294443340942,MID1IP1A,1.316158190646813,EVE1,2.159617631695136,SI:DKEY-1D7.3,0.6734720652097014,RNASEP_NUC,0.9428094085991271,SI:DKEYP-3B12.7,0.8739432546098489,ADMP,1.4199135766313553,FP236812.1,1.0494681704048923,SI:DKEY-28A3.2,1.0680681121349658,HIST2H3C,1.2262858894346853,MDM2,1.1610824731959863,HSP70.3,1.2071826129473167,SI:CH211-235I11.3,0.6823904443673021,NCALDA,0.9817704886278882,EVPLA,0.8224623580976985,TDRD7A,1.3603712564210737
2,APOC1,1.131686021536877,AGRP2,2.1520286069405667,KRT5,1.305385951051012,WNT11,1.95419850150905,SI:DKEY-238D18.15,0.6417774704469852,SI:DKEY-48G21.5,0.9369898904764514,PRKRIP1,0.8439959081298106,FOXD3,1.3092788491124032,SI:CH1073-159D7.7,1.0190956346820732,SYNGAP1A,1.0147253846839,SI:CH211-113A14.10,1.1916589209076711,SI:CH211-260E23.9,1.07535840454412,HSP70.1,0.8639898396593525,TELO2,0.6726372872330612,SI:DKEY-15H14.4,0.9413673723617421,SI:CH211-69B7.6,0.818297015292104,DND1,1.3484043551598468
3,FOXI1,1.0160927796276098,SI:CH73-195I19.3,2.133066396409523,KRT4,1.2952807718175083,CDX4,1.883136767781929,SI:DKEY-261J4.3,0.626286429683304,SI:DKEY-234I14.20,0.9309282427176393,HSP90AB1,0.8116108772973273,ZIC3,1.1096745441202076,ENSDART00000172356,0.9982196491117075,CAMSAP2A,1.005786248280388,ENSDART00000129497,1.0274508157017164,APLNRB,1.0211375351931355,CABZ01080568.1,0.7958049988015136,KIF18A,0.6349826464673645,GDF3,0.9322079101243448,AIM1B,0.7610354328363551,ACTL7A,1.2535731864873438
4,TFAP2C,0.9794886441438166,RAPGEF6,2.1149319038999828,CLDNE,1.2895487716782275,ZNF703,1.8242700861650925,BX005448.2,0.6207021188274412,PGAM1A,0.8320086389371305,OTUD4,0.7948549894228855,PRICKLE1A,1.0877310418259383,ZGC:113984,0.9918938044548493,PLECA,0.9279815379010227,ZGC:153405,1.025273884803823,FOXO3B,1.014610692000311,HSP70.2,0.7903903032362748,SI:CH211-117I10.10,0.6345794767621987,SI:CH211-190K17.31,0.9218720377206955,JAG1B,0.7563778087841189,DDX4,1.1168669271472793
5,LAMA1,0.9733406971845877,ANO9A,2.071512558737169,LYE,1.2838431393721428,AXIN2,1.607596924808333,NR0B2A,0.5956923580962118,SI:DKEYP-55H4.2,0.7892956306841453,SI:DKEY-23A13.4,0.7898209285786764,CDH2,1.0398117041460646,ZGC:158463,0.9669437326861489,SLC7A8A,0.9249993641808592,SI:DKEY-23A13.15,1.0234627344937965,CTSH,0.9993692408674001,HSPA4A,0.6695838207779473,FBXO30A,0.6327719592138303,SKP2,0.8993704808555318,NRXN1B,0.7020043964426371,CA15B,1.0647704956087969
6,RGCC,0.9727473536525532,CABZ01084942.1,2.043454181300812,KRT92,1.2832005639128625,TPBGA,1.5251188572255128,NFYC,0.5878296260329132,SI:CH1073-190K2.1,0.7826044379136143,CLIP4,0.7896397424984744,FOXB1A,0.9123378858547857,SI:CH211-113A14.25,0.9236206399493658,HS3ST3B1B,0.9210260462557082,SI:CH211-113A14.24,1.0189983297297602,RBL2,0.9708425097556842,ADGRE10,0.6450076855402436,SRRD,0.630767556472929,P4HB,0.8988701721360682,DSPA,0.6943859197869834,RGS14A,0.9283471855543952
7,CRABP2B,0.9508421063667145,FNIP1,1.880085468171688,ZGC:101000,1.2774770357443466,SP5A,1.4988206408437124,AFP4,0.5866573866254959,EIF5,0.7688482591720059,RPS17,0.7793284299578178,NOTO,0.8985370035565987,SI:CH211-113A14.16,0.9181004206807885,JAG1B,0.9134416880674274,ZGC:165555,0.928503455731078,SESN3,0.9188406351212784,SERPINH1B,0.625692176475505,SLC9A8,0.6216524584600346,DDIT4,0.8919336966168796,MCHR2,0.691887845418354,GRA,0.9112460572110548
8,FZD7A,0.9181022021594624,ZGC:173587,1.8121302818307343,EPS8L1,1.2549772223282147,MSX1B,1.4909942173502562,ACO2,0.5801640868770924,CPN1,0.7666899003484918,SI:DKEYP-3B12.6,0.776040671816028,SP5L,0.8778845290443757,SI:DKEY-108K21.27,0.9142854226648707,TNFAIP8L2A,0.8995853227153578,SI:DKEY-108K21.14,0.9155571561295209,BCL2L14,0.8960134071653013,UGCG,0.5942328167619425,TSG101A,0.610001041617687,CR391944.1,0.8906317659610424,VPS13A,0.6588926073736527,BTG4,0.8655347267473024
9,FGFR4,0.9081281467757593,ZGC:171775,1.7694656996648706,KRT8,1.2386074506003417,MIXL1,1.399301972848766,SLC7A8A,0.578449340827958,CR388042.3,0.7190466984414298,TMEM258,0.7650490197153946,SOX2,0.8694381163719346,ZGC:171759,0.8903170414338626,HSD17B2,0.8984742971066104,SI:CH211-113A14.15,0.8896592921870046,TP53INP1,0.8577710819808044,SI:DKEY-146C18.5,0.5740902203816932,WDTC1,0.607815332368637,MCL1B,0.8891985461953185,PLECA,0.6567052203543428,SI:DKEY-11O15.10,0.8174398498720253
