,0,1,2,3,4
SI:DKEY-153M14.1,1.1205215669325235,0.0,0.15689795330590384,0.07980856284744522,0.0
FXYD6,0.9903485404998519,0.28467160980465545,0.26759991710161574,0.1938363721447807,0.09560730469886874
ZGC:158463,1.1631838740624623,0.0,0.14659477540941404,0.12300919360858757,0.0
SI:DKEYP-3B12.10,1.0030571708906562,0.0,0.17010013205722133,0.09709544332326035,0.0
C1QB,0.9537330715039763,0.49959577609898975,0.26800015992088055,0.2534875068365077,0.0
SI:DKEY-108K21.12,1.0530952892137546,0.0,0.0,0.14530273126436863,0.0
SI:DKEY-16M19.4,1.1093587480702491,0.0,0.06872711480966152,0.26369720501341054,0.0
ARL14,0.7722867972643138,0.5108640040230983,0.23047458122482356,0.2694458724047738,0.30525414237995047
OTUD4,1.2495318616772664,0.0,0.21274307289942593,0.16770697424148254,0.0
RAB34B,0.9262662576867581,0.0,0.28671158736433366,0.46766801595862034,0.0
SI:CH211-267E7.11,0.9610798601765589,0.0,0.29398671100225193,0.622228422126811,0.0
SI:CH211-130H14.6,1.0481070882108963,0.0,0.13598733427900983,0.12891517456584523,0.06204483193005528
SI:CH211-195B11.4,1.072266425392199,0.0,0.29290830710977256,0.1616936326651408,0.05390625343942855
SI:DKEY-261M9.17,1.0651398152920373,0.0,0.0,0.08805901180071787,0.09326746737565031
CR450785.2,0.9197220047454576,0.0,0.06639143710411556,0.05826820355358932,0.3397996113629689
CFD,0.6729565861004021,0.6864699926345237,0.05787528865061657,0.27732719177553694,0.3751554875451136
BX640584.2,0.9339901463761653,0.0,0.0,0.0,0.324338840456907
SI:CH1073-418F12.2,0.8826606719489177,0.0,0.06904871083779811,0.09869297232123134,0.178241847431474
SI:CH1073-159D7.7,1.2248083935226501,0.16649065778799427,0.12390965368656202,0.17956490795559568,0.011210879299243103
DUT,1.1114288679666384,0.0,0.19402375122675317,0.13088023958241343,0.020880472552166764
ZNF981,0.8577040696123475,0.0,0.0,0.25825904477750644,0.2484429815223802
SI:CH211-113A14.16,1.218795024297215,0.046007668865631714,0.04064258881343199,0.20708860715906433,0.0
SI:DKEY-6D5.4,0.9894176606113829,0.0,0.3108795104055988,0.6165813876454093,0.0
SI:DKEY-23A13.15,1.1095279938030118,0.16472422737296097,0.0,0.21022961262900022,0.14980683826607466
ADGRE10,0.854852358291837,0.0,0.26147890600801627,0.06434588702802717,0.5226345083650306
CU655961.2,0.753049881952879,0.0,0.0895552534747912,0.16721214461296655,0.3314149999068857
SI:CH211-190K17.31,0.9100927750001383,0.0,0.14030192801107394,0.1493745064641248,0.3624723228333487
SI:DKEYP-3B12.8,0.8085221406904131,0.0,0.0,0.12669760178563055,0.0
FAM78BB,0.9740935671405552,0.0,0.11011116319152205,0.17658223543962426,0.1928822491783442
CABZ01111915.1,0.7500653178034534,0.0,0.16083865163709388,0.19093856911237797,0.2084213651873081
WDR21,0.7793639203492908,0.0,0.030814993094785085,0.08236673662809073,0.5481487484894607
SI:DKEY-95P16.2,1.0890107054765257,0.014188556076102496,0.13502397265137484,0.313591371892851,0.004012010582760713
NCALDA,0.9477144683260709,0.0,0.16326217097247564,0.15420451681235775,0.5196705535065815
SI:DKEY-15H14.4,0.9041333349792406,0.0,0.09582480586249896,0.060797924063642594,0.3172525243748276
SI:CH211-117M22.2,1.0205783042047094,0.0,0.1905093300066299,0.053611779669214835,0.0
SI:DKEY-23A13.18,0.9293566539736617,0.6716647924252978,0.11628633858440704,0.27132063813335294,0.04776850706268136
NDUFB4,0.6116395361702204,0.0,0.06095939171339347,0.06117306136898728,0.24925511458900027
MCL1B,0.7707331905182165,0.03365206931185672,0.48329714696056975,0.24009325900274708,0.42996484577862254
RPL6,1.0639956241917905,0.012798387609393095,0.21378439231496021,0.3165525997687369,0.0796878110646239
PDIA3,0.9967817143816066,0.016870862727705792,0.042402133564600715,0.3131522342521107,0.24640857280332118
SI:CH1073-190K2.1,0.9048020808336369,0.0,0.0,0.11502391802739502,0.0
SI:CH1073-26E8.2,0.765872877726153,0.0,0.0,0.03797592849716254,0.16475881781258836
HIST1H4D,0.8006340519363787,0.0,0.0,0.04002715465722452,0.0
ZGC:165555,0.7673759001298509,0.0,0.0,0.08902206144958894,0.012548305206045697
FP016247.1,0.6718114046600984,0.0,0.15539776303048722,0.08855620543682903,0.0
TADA1,0.9324646876181083,0.0,0.05904258046946705,0.0,0.33909533482060616
SI:DKEY-193H7.5,0.9583254206771838,0.0,0.18761132832402955,0.08455575458361102,0.14413269459821273
SI:CH211-210C8.5,0.5208339105557922,0.0,0.1378230123130679,0.21922438810453376,0.38108760700727934
SI:DKEYP-3B12.15,0.5073858409783184,0.0,0.25291255782353034,0.01990836731134804,0.23343291119433182
SI:DKEY-77P23.8,0.5481895920590277,0.0,0.23620087226984424,0.006936435817666893,0.19935028029549223
SI:DKEYP-3B12.13,0.5271840965284037,0.0,0.23401511492772628,0.049856492050314914,0.2056728156183685
SUPT4H1,0.904693742576226,0.12420797254459244,0.2519445871835519,0.3057594403890911,0.3764867383313186
TMED9,0.7722979974875751,0.0,0.22452774351238824,0.1555845898250925,0.4644162117889472
ZGC:92287,0.8428551798920555,0.0,0.2955445683593134,0.1256555540619552,0.27588730632293756
SI:DKEYP-14F10.3,0.8298049874145959,0.0,0.06184611137592915,0.03211689563281989,0.2093873318557875
SI:DKEY-23A13.10,1.0031838028502238,0.20655610516668083,0.1752553605876736,0.2397637725374425,0.20512006816341782
CDKN1BB,1.0136242936839337,0.0973063505063173,0.15685032464642537,0.27680292447023386,0.2448877208738858
