,0,1,2,3,4,5,6,7,8,9,10,11
SI:DKEY-153M14.1,0.2935914400459931,0.0,0.14762151110139962,0.015769529623534836,0.0,0.0,0.7651051181164734,0.0,0.37877412273897004,0.3158807821114298,0.7596608444876145,0.08713087091246148
FXYD6,0.564839473013137,0.1961388243463888,0.2648935983470413,0.20921943054404638,0.09716895480860072,0.15885325425718483,0.631025921716786,0.12160104589141524,0.3299554297971453,0.05400075586402142,0.32729919625483667,0.2634611131221395
ZGC:158463,0.33928511583750093,0.0,0.12796036687741102,0.03697066193739582,0.0,0.0,0.6584660751644436,0.0,0.4219116478148715,0.24711880111857054,0.8818516238658494,0.11925876933351562
SI:DKEYP-3B12.10,0.0828929494454057,0.0,0.13901793360001424,0.0,0.0,0.0,0.6124149521813597,0.0,0.47822824144682663,0.30004657926893497,0.8597589281128536,0.16349037902511174
C1QB,0.3658882104578871,0.40317809466523347,0.2828741572967841,0.2776851112847702,0.09395809651473078,0.12375475828657051,0.7697758334813188,0.15013282435824019,0.43016382134243714,0.1033303150409318,0.2479218583897931,0.15567895665611667
SI:DKEY-108K21.12,0.1808365610246468,0.0,0.0,0.06879509325169833,0.04144852041617305,0.0,0.7458230734883643,0.0,0.29379562201242704,0.1979814876207428,0.8250212877780255,0.17415298463218595
SI:DKEY-16M19.4,0.6903868118021015,0.0,0.0,0.2543993189277228,0.0,0.0,0.502310113696632,0.0,0.7193378368229866,0.0,0.3154061327551433,0.09992698985675698
ARL14,0.48121358612603937,0.36522229825163033,0.18060611777285274,0.32260749445327275,0.3104578329403217,0.10786816198624204,0.3989775659564795,0.41029204860078156,0.5591545228785916,0.0763469642872184,0.0679505676930135,0.1342220947750189
OTUD4,0.31851150697642483,0.0,0.2358657054530711,0.0925325608112186,0.0,0.0,0.9160801426411225,0.0,0.37330258860358095,0.3188550583073029,0.8454282471549838,0.11165804428254922
RAB34B,0.60331029680541,0.0,0.3052557129269087,0.41939531917280715,0.0,0.0,0.39787183405417376,0.0,0.11923368596114264,0.05160725555162482,0.6611971875862532,0.09764375698086493
SI:CH211-267E7.11,0.6551753215666353,0.0,0.2965203912866271,0.5653902223932156,0.0,0.0,0.34080881487429115,0.0,0.21097378378002982,0.0,0.6545542660755015,0.21236487276628307
SI:CH211-130H14.6,0.6577865144978755,0.0,0.04253518438164019,0.10594044650431955,0.0,0.0,0.40830716088950975,0.0,0.47018429325262123,0.18752820873759254,0.533288581519307,0.11286624968816532
SI:CH211-195B11.4,0.7173449957895821,0.0,0.16050008264658047,0.12154013887837369,0.0,0.0,0.3151867865413195,0.0,0.5307654045209661,0.2402740378583315,0.5621747509025977,0.15833547272124715
SI:DKEY-261M9.17,0.1961480109634065,0.0,0.03682470621893394,0.0,0.0,0.0,0.5096271367657838,0.05914396593415971,0.0,0.1712048489444703,1.4065336924829466,0.10196894286431105
CR450785.2,0.9511112658952025,0.0,0.041505949573769206,0.01597614297853452,0.0,0.0,0.23312269649392978,0.0,0.14415365241104452,0.09450950632034932,0.602259019923626,0.09323222082376365
CFD,0.5197346608726673,0.6419810348971312,0.0,0.2670745556304397,0.27942159463785105,0.079833285564123,0.3302176078880786,0.1888880496395492,0.5032023342495923,0.10051039412690109,0.1517698934193065,0.05724975676294985
BX640584.2,0.9644209208220573,0.0,0.0,0.0,0.020822438233657207,0.0,0.2509688257425734,0.0,0.17667232871238134,0.08079575204598695,0.47494187826267253,0.16874023162204183
SI:CH1073-418F12.2,0.700214880412903,0.0,0.0,0.08550453407834589,0.0,0.0,0.3206325383898367,0.0,0.21766405690481538,0.3186886791320139,0.44069150587522166,0.2120915609718067
SI:CH1073-159D7.7,0.1527730948661751,0.06742683308694182,0.1256309645567233,0.07793444752355615,0.10909214824895735,0.13579830169338125,0.6457629257139642,0.03773443010428342,0.30722225254225255,0.320496207193379,1.236413901913553,0.08316047926472508
DUT,0.499067807690217,0.0,0.20108335433131685,0.08741131061903425,0.0,0.0,0.7425836732293128,0.0,0.3246844316215335,0.21605770928126164,0.595464395335342,0.13481195786128397
ZNF981,0.653873747272778,0.0,0.0,0.17896779123966444,0.02487772547132531,0.0,0.2340006807277554,0.0,0.25552397548863476,0.0,0.7362818907948874,0.0
SI:CH211-113A14.16,0.34771867555068536,0.0,0.03370867740281677,0.14115613441858307,0.06374623924195115,0.0,0.6776881041438113,0.032049265160513506,0.5718957354942554,0.10115906993113793,0.8380972440354656,0.11640528018777323
SI:DKEY-6D5.4,0.6893002947229329,0.0,0.3033673964870891,0.5631360279556524,0.0,0.0,0.34886318514559594,0.0,0.2597095559092829,0.0,0.6251104129368513,0.2132678230809881
SI:DKEY-23A13.15,0.3140202792354202,0.13555071891626383,0.0,0.12499696563104927,0.18096284131633666,0.0,0.8019700463693289,0.1582223423086623,0.0,0.0,1.0825177518295863,0.19426871893205439
ADGRE10,0.8474531810652757,0.0,0.17282043707157319,0.03400363611091729,0.22754635053938174,0.0,0.30661568863684524,0.017935117285529597,0.2315811098213513,0.3237004588734207,0.4762072848979581,0.09938234172945155
CU655961.2,0.5313952040853298,0.0,0.08302846300016029,0.12100694374112474,0.2998803308603128,0.0,0.39925897669820487,0.0,0.3909945164992576,0.0,0.34959980177009914,0.0
SI:CH211-190K17.31,1.0320349906524746,0.0,0.11061204506695946,0.15548013501242597,0.0,0.0,0.33022125010315806,0.020639370336111892,0.0683303785260254,0.1433281131756887,0.42384457747593934,0.18367716303105988
